HOF equation,Train RMSE,Test RMSE
1,85.73512996442774,75.56416739109059
2,22.623603970015473,19.449696642084167
3,21.880746807789603,18.752828352796126
4,17.71980706116948,18.252879393672625
5,17.573463082802892,18.04551920126574
6,16.932181478951172,17.568903311992486
7,16.894652625086653,17.276209741784704
8,16.74739615287927,17.19121733919393
9,16.482479055497414,16.833655703024206
10,16.39183715624001,16.79577151065066
11,16.37084504197303,16.64940544290519
12,16.335670825374553,17.007453504209515
13,16.276799644284313,16.72017348538396
