HOF equation,Train RMSE,Test RMSE
1,84.81360914715631,74.63375151948098
2,22.62360397000345,19.449670407038337
3,21.880746807713546,18.75281431899801
4,17.573470355446595,18.050545855851173
5,17.35137627272652,16.25978410304612
6,17.07731991769905,18.663668845625466
7,16.85289003751342,17.611638079976554
8,16.447164158293123,15.866805177761595
9,16.408764200767152,18.351680058908148
10,16.38865960660756,18.469662177413515
11,16.249650897958528,17.643846380514347
12,16.197425935921448,17.023523749000876
13,16.19580952373896,17.569078388354637
