HOF equation,Train RMSE,Test RMSE
1,85.77422698362183,75.6036390504404
2,22.623603972196516,19.449829224687182
3,19.963045172112224,17.623682922230074
4,18.672663041644295,17.789784183272673
5,17.918667060523514,17.559533643214735
6,17.805202867914918,17.727731836343896
7,17.285123913041964,18.530233572519677
8,17.166802039577693,18.801771162735847
9,16.981023487024096,18.363218820269292
10,16.860566832611113,18.57725119631096
11,16.84020142386983,18.272033256269545
12,16.588694937331393,18.486374419812144
