Feature,Importance
P,0.14073511340914785
Eugenol,0.08871646286649039
Cr,0.06179702512488842
Retene,0.05838696193209454
Guaiacol,0.05283540925032135
NO3,0.05111986858519935
Ti,0.04968099602178202
Vanillin,0.04438151657355259
Isoeugenol,0.0428427435400202
Propylguaiacol,0.039111814607563064
Coniferyl aldehyde,0.033293455709236155
Dibenzofuran,0.033189053431757924
Si,0.03289506405477333
Naphthalene,0.026914685384771448
Cl,0.02684746307152427
Acenaphthylene,0.02341868139030642
Pentacosane,0.019117099503666593
Ni,0.01823959631742066
Ba,0.015351770943546648
Methoxymethyl phenol,0.015066656698154943
K,0.015059380845515705
Chrysene,0.014254268533574732
Fe,0.013694550792830456
Fluoranthene,0.013589916212280187
PO4,0.012764477844263633
Na,0.012177810083843155
Ethylguaiacol,0.012010158347856622
Pyrene,0.011965269571526027
Syringealdehyde,0.00731696322683969
Benzo(b)fluoranthene,0.006752982545072006
Benzo(k)fluoranthene,0.006472783580179926
