Feature,Importance
Propylguaiacol,0.121297464
Eugenol,0.0743183
Na,0.059596267
Cr,0.058723874
Fluoranthene,0.05237308
P,0.045548547
Dibenzofuran,0.04525246
Ethylguaiacol,0.041384626
Ni,0.038401745
Vanillin,0.034509514
Isoeugenol,0.03358148
Methoxymethyl phenol,0.03000575
Si,0.029578878
K,0.02878933
NO3,0.02868435
Chrysene,0.028680498
Retene,0.028359486
Coniferyl aldehyde,0.02438682
Pyrene,0.02299423
Ba,0.022792362
Cl,0.022310529
Guaiacol,0.022016415
Fe,0.018472167
Syringealdehyde,0.01710937
Pentacosane,0.016981585
Naphthalene,0.015179578
Ti,0.014693307
PO4,0.010528303
Acenaphthylene,0.0074372
Benzo(k)fluoranthene,0.006012385
Benzo(b)fluoranthene,0.0
