Feature,Importance
Propylguaiacol,0.095535435
Eugenol,0.057144787
Cl,0.049356464
NO3,0.033002418
Cu,0.03004679
Pb,0.029046796
Pyrene,0.028232994
Nonacosane,0.02782947
Na,0.026428452
Fluoranthene,0.025080163
P,0.024190024
Levoglucosan,0.02133001
Guaiacol,0.019751847
1-Methylnaphthalene,0.017472893
Ti,0.017371168
Squalane,0.015984634
Sb,0.015964322
Cd,0.015321314
Ba,0.014953354
SO4,0.014578751
Methoxymethyl phenol,0.014191115
Cr,0.01416402
Tetradecane,0.014036515
Dibenzofuran,0.013798461
"3,5-Dimethoxyphenol",0.013428516
Ca,0.01329616
S,0.013205772
Phenanthrene,0.012948575
Chrysene,0.0129263615
Anthracene,0.012896802
Al,0.012646404
NH4,0.01096439
Isoeugenol,0.010916215
Mg,0.010754488
Pentadecane,0.0103060035
Retene,0.0101399105
Fe,0.0100131575
Triacontane,0.0099323
Vanillin,0.009873226
Syringealdehyde,0.009862058
Acetosyringone,0.009756596
Fluorene,0.009747869
Si,0.009713992
Nonadecylcyclohexane,0.009670295
Tricosane,0.009162826
Hentriacontane,0.00868467
Nonadecane,0.008644666
Ethylguaiacol,0.008623892
Coniferyl aldehyde,0.008134048
Methylfluorene,0.007107791
Dodecylcyclohexane,0.006182354
Acenaphthylene,0.0059502036
Hexadecane,0.005902516
Eicosane,0.005874045
2-Methylnaphthalene,0.005675855
Heptacosane,0.0055731894
Hexacosane,0.005299462
Naphthalene,0.005103784
Tetracosane,0.0050819516
Benz(a)anthracene,0.0049412055
1-Methylchysene,0.0046398765
Octadecane,0.0045355894
Heptadecane,0.00443539
Pentacosane,0.0040545007
Heneicosane,0.0032901908
"Indeno[1,2,3-cd]pyrene",0.0030217627
Docosane,0.0024058868
2-Methylnonadecane,0.0022925942
3-Methylnonadecane,0.0022223126
Benzo[ghi]perylene,0.0019495003
Benzo(a)pyrene,0.0017308188
Tridecane,0.0016678245
Phytane,0.0
Octacosane,0.0
9-Methylanthracene,0.0
Benzo(k)fluoranthene,0.0
Benzo(e)pyrene,0.0
"2,6-Dimethylnaphthalene",0.0
Perylene,0.0
Benzo(b)fluoranthene,0.0
K,0.0
Ni,0.0
Mn,0.0
Sr,0.0
Zn,0.0
PO4,0.0
