HOF equation,Train RMSE,Test RMSE
1,22.62360397060904,19.44960294606979
2,19.729242251970145,19.604671856322646
3,19.474360895383413,20.536243471821507
4,19.17290979830422,19.26336105131443
5,18.87551922560207,20.481093957547927
6,17.31016026550329,22.576582563306985
7,15.726604205354569,23.500231082586836
8,15.173670829423326,25.04248130611844
9,14.716316978134506,24.231769831582742
10,14.109314293611535,23.506624001726635
11,13.663621643983117,22.22794563975451
12,12.851677554279929,23.919459864397137
13,12.584318818603073,24.014580783809272
14,12.452873469117504,21.27881910289872
15,11.975616182217422,22.98697653006838
16,11.544636587471137,22.47821444493749
17,11.07453288369553,22.27776357260253
