HOF equation,Train RMSE,Test RMSE
1,84.81360914715631,74.63375151948097
2,78.97510963453811,68.77744466921006
3,22.623604001707765,19.44912006226943
4,21.801088635527837,19.09878785042953
5,19.724460644869595,16.7497074499681
6,19.066066487363063,20.1617118498164
7,16.36426239988647,16.84496065416463
8,16.363646115456707,16.848350123653844
9,15.141370110038215,15.117139226095208
10,14.556735860068592,18.78785641847189
11,12.32719618416065,26.091378037642
12,12.062459670062125,26.659323050411736
13,11.686691906525274,25.854491456338476
14,11.621763144676846,26.39462886713328
15,10.505580516401626,25.593666618331948
