Feature,Importance
Slc26a4_56472,0.14436756
Wdr72_57018,0.09866967
Hfe2_69619,0.06686637
Muc5b_58389,0.048189644
Tgm1_60333,0.046875004
Gm21190_82342,0.043590173
Tacr1_72530,0.04338766
Rhof_64396,0.03373247
Tmem117_56678,0.027675608
Omd_75393,0.024669107
Gpc1_58802,0.022354098
Gm13238_30264,0.022280846
Gm5737_59680,0.018388161
Tspan4_30708,0.017837306
Asb14_29409,0.016529158
Hcn2_57591,0.015353549
Dnajc28_64398,0.014216424
Ighv2-6_70078,0.013952259
Maff_30224,0.013819893
Gdnf_29292,0.012181788
Ly6g6d_70681,0.010552388
Slit2_63410,0.010206933
C2_73108,0.009889589
Serpina3n_29367,0.008997832
Wt1_63516,0.008840553
Btbd9_60652,0.008679252
Il4i1_31821,0.008196944
Creb1_71798,0.007678408
Cyp1b1_72511,0.007504977
Notum_69460,0.0067710835
Pstk_65222,0.006562086
Nrg1_67125,0.006434767
Aldh1a2_60261,0.0062681497
Ly75_62085,0.0061910204
Trp53bp2_78430,0.0061837807
Socs3_79479,0.004905864
Fam69a_64595,0.0048864074
Lvrn_57576,0.0043775053
Csf2_61958,0.004049852
Cyp1a1_79654,0.0040150904
Cxcl10_29431,0.0040112645
Fosl1_30439,0.0039281985
Egr1_58083,0.00350701
Igkv6-15_64030,0.0033684461
Alg11_64834,0.0033602489
Rgs22_79648,0.003348539
Sh2d1b1_55581,0.0032286379
Sgcg_29583,0.0031602662
Bdkrb2_54168,0.0031526263
Lmod2_64472,0.0031358462
Mt2_76492,0.0031181748
Acod1_54942,0.0029199035
Rsph3b_31489,0.0026597357
Arntl_59197,0.0025166173
Acta1_74234,0.002504714
Hspa1b_32188,0.0023413515
Chil3_30648,0.002322348
Actr3b_60038,0.0021916635
Zmiz2_62411,0.002079611
Nog_54804,0.002021238
Trmt61a_77219,0.0017941503
Ugt8a_79952,0.0017690582
Esm1_60954,0.0016785907
Adamts5_56833,0.0016481142
Art1_56953,0.0016474832
Il4i1_71608,0.0016327945
Myc_30907,0.0015069623
C2_63618,0.0014704418
Abtb2_59723,0.0014701022
Arf1_31811,0.0014463409
AI661384_31503,0.0013444248
Adora1_56938,0.0012625605
Cyfip2_73223,0.0012362186
Kdm6a_65647,0.00120355
Ifit1_72951,0.0011607986
Gm15448_82247,0.0010913378
Clhc1_59972,0.0010340721
Stab1_67351,0.0010182657
Msln_61916,0.0009889328
Arhgap40_61637,0.0008829912
Ubash3a_72205,0.0008769189
Plscr4_55764,0.00087602244
Cacng7_59342,0.0008756738
Cdkn1a_66319,0.00081891526
Slc2a4_76116,0.0008180877
Pigr_58167,0.0007669543
Kbtbd7_76521,0.00076093595
Bcl3_75627,0.00073809165
9930111J21Rik1_66397,0.0007143339
Mt1_76728,0.0007086169
Alg11_67845,0.00065365876
Actn2_32214,0.0006431842
Zwilch_31068,0.0006362721
Lipo5_56386,0.0006183911
Zfp280b_78252,0.0006146691
Iqcb1_56811,0.0005931357
Rsad2_65054,0.00058470445
Gja1_75237,0.00057842146
Islr_61666,0.00055530603
Wnt7a_61150,0.0005383565
Bnc1_57800,0.00051594194
Cxcl2_63751,0.0004958951
Gm3604_56243,0.0004780886
Ephb6_66860,0.00047759013
Gsta1_31374,0.00045431516
Fam19a1_59360,0.00045292836
Zfp672_67722,0.00044454547
Kcnj5_59968,0.00039667
Adam33_72301,0.00039188986
2310061I04Rik_71692,0.000370893
Srxn1_30173,0.00037036653
Ate1_68840,0.00035736075
B3gnt2_60493,0.0003494472
Il1f9_29621,0.00034335646
Myl3_75394,0.00033565363
Slc7a11_30093,0.0003209087
Aldh3a1_60545,0.00030312449
Abcg2_77190,0.00027419347
Abcc4_30363,0.00026572024
Stx11_67128,0.00025443314
AC132444.6_82305,0.00024845856
Ccl7_30624,0.00024752182
Dydc1_55826,0.00023506647
Gdpd2_59601,0.00021845142
Cdkn2a_67661,0.00021749272
Csrnp1_69505,0.00020444731
Hif3a_63907,0.00019997476
Cdon_64083,0.00019671995
Nrap_65543,0.00019010149
Myc_66507,0.00018113044
Dnajc6_77826,0.00016567968
Fpr2_31644,0.00016518089
Hmox1_31505,0.00015738765
Car3_29855,0.00015248715
Gadd45g_64460,0.00013746515
C530008M17Rik_76670,0.00013179767
2010309G21Rik_29518,0.00012825923
Zfp760_55727,0.00012422953
Srm_62972,0.00012002268
Cklf_70787,0.000119962264
Art5_55361,0.00011942105
Zfp990_67367,0.00011052114
Rgs16_60383,0.00010923472
Cxcl1_29501,0.0001045208
Ccdc186_58520,0.00010193533
3110001I22Rik_68551,0.00010068574
Alox15_61552,9.957945e-05
Rpl3l_76369,9.492576e-05
Hsph1_73551,9.227007e-05
Galnt17_63802,8.977254e-05
Cebpd_68861,8.412674e-05
Ccl6_74906,8.0631704e-05
Syt14_59917,6.636493e-05
Igkv16-104_74538,6.577598e-05
Acyp1_74193,6.419505e-05
Zfp942_55918,6.214947e-05
Chpt1_78785,5.375841e-05
Arg2_81876,5.1492247e-05
Atp6v0d2_76694,4.9882274e-05
Nqo1_29503,4.8740676e-05
Bhlhe41_56554,4.451186e-05
Adam22_79503,4.0954812e-05
Pprc1_31385,3.8549537e-05
Slurp1_55564,3.0429388e-05
Ky_60676,3.0174475e-05
Stpg1_80557,2.994507e-05
Adgrd1_56894,2.8898536e-05
Aplp1_78493,2.8718776e-05
5430427O19Rik_60267,2.808776e-05
Gm43302_29203,2.7852933e-05
Ccl17_77970,2.6910953e-05
Klrd1_63559,2.6604785e-05
Snx11_32113,2.6360136e-05
Cyp1a1_29719,2.6342193e-05
Btnl9_55542,2.5765275e-05
Chil3_66072,2.1471977e-05
Gbp4_67875,2.0345406e-05
Nr4a1_31133,1.8866378e-05
EAR12_31077,1.8783972e-05
Zfp994_73585,1.8772862e-05
Gpx1_30525,1.8599723e-05
Il18_31667,1.6887574e-05
Tbc1d7_65739,1.5279093e-05
Cpt1b_31741,1.4814151e-05
Wnt2b_62005,1.4212978e-05
Eef1a2_67152,1.3126308e-05
Slc12a4_60641,1.2571652e-05
Umad1_66790,1.2103372e-05
Ifi44_55588,1.12045955e-05
Spib_29254,1.0964244e-05
Upk3b_57520,1.044343e-05
Hsph1_69147,1.0217462e-05
Tm2d2_70064,1.0017212e-05
Myl2_32080,9.230774e-06
Gdnf_74188,8.760935e-06
Tmem68_65264,8.375303e-06
Zhx3_63695,8.301635e-06
Hebp2_68529,8.142455e-06
D630045J12Rik_62087,7.731982e-06
mt-Nd1_82075,7.408194e-06
Hmox1_55177,7.3624283e-06
Marco_61146,6.7928554e-06
Lrrn4_58063,6.3653533e-06
Chrm2_55332,6.256139e-06
Dram2_71194,5.608524e-06
Klra4_78746,5.4558545e-06
Lrrc10_60238,5.177328e-06
Noct_77181,5.1128773e-06
Ankrd1_58025,4.7009285e-06
H2-M5_73158,4.651741e-06
Sema7a_72108,4.231901e-06
Sult1d1_55051,3.9473584e-06
Cask_29837,3.2592266e-06
Nppa_58684,3.2322819e-06
Entpd8_29407,3.2291987e-06
Fscn1_74998,3.142348e-06
Cnot10_70213,3.098742e-06
Tfdp2_69536,2.9325952e-06
Lhfpl2_60768,2.7293006e-06
Rbm12b2_72856,2.4314052e-06
Atf3_72119,1.8093182e-06
mt-Nd3_82088,1.7643043e-06
Ckm_31031,1.3020474e-06
Nr4a1_74357,1.2287351e-06
Fpr1_30738,1.1703645e-06
Fam83h_59213,8.004248e-07
Osgin1_30257,7.9961603e-07
Atf2_65871,7.836305e-07
Snrpd1_63068,7.3989264e-07
Gm13889_55024,5.0735184e-07
Dusp11_79084,4.7425092e-07
Gm3776_29765,4.675334e-07
Folr2_70164,4.619817e-07
Slc35f3_61620,4.476872e-07
Mypn_29309,3.0972038e-07
Zfp943_68358,2.521014e-07
Mcur1_30741,1.9313512e-07
Klhdc2_30951,1.8050213e-07
Rad1_77614,1.7982583e-07
Thnsl1_66164,1.4149444e-07
Atf3_29935,1.13486436e-07
Mettl14_68520,9.5892766e-08
Myocd_76752,8.7259785e-08
Osgin1_79857,7.443925e-08
Nkain4_82157,5.5519205e-08
Fpr1_72651,4.8279034e-08
Calcb_60189,3.791994e-08
Cenpw_64386,3.7800845e-08
Idi1_63868,2.9120606e-08
Dcp1b_29958,2.7121112e-08
Srxn1_75314,2.1751857e-08
Tnip1_29881,2.13853e-08
Parp11_69369,1.9052306e-08
Gbp4_72637,1.6096692e-08
Siglec1_74052,1.606571e-08
Grrp1_59421,1.574115e-08
Hist1h2bc_29206,1.4003558e-08
Slc25a25_72214,1.0579386e-08
Picalm_80276,1.0392595e-08
Sfn_31323,9.9458894e-09
Sppl3_71185,8.922157e-09
Zfp975_78027,8.774999e-09
Trim25_58251,7.895719e-09
Hint3_54352,7.793135e-09
Tbx20_77085,6.50329e-09
Elovl6_74600,5.449983e-09
mt-Nd3_82089,5.200914e-09
Lmo7_70010,5.1329248e-09
Timp1_30249,4.7660293e-09
