Feature,Importance
Gm21190_82342,0.2722365
Asb14_29409,0.22857933
Lipo5_56386,0.06007068
Cacng7_59342,0.058515113
Ky_60676,0.037181452
Dydc1_55826,0.032259062
Hcn2_57591,0.026509812
Cyp1a1_79654,0.025898628
Hist1h2bc_29206,0.025727697
Ugt8a_79952,0.024971297
Slurp1_55564,0.02008461
Rsph3b_31489,0.019249791
Igkv6-15_64030,0.018951016
Aldh3a1_60545,0.018921066
Tacr1_72530,0.018129006
March3_58049,0.014332039
Myl2_32080,0.013673065
Slc35f3_61620,0.009948885
Myc_30907,0.009255012
Egr1_58083,0.00914541
Myl3_75394,0.008132794
Arf1_31811,0.007951151
Rpl3l_76369,0.0072754514
Syt14_59917,0.007230738
Eef1a2_67152,0.0051094643
AC132444.6_82305,0.004994104
Nkain4_74119,0.0048857336
Fam76b_71997,0.0037729659
Igkv16-104_74538,0.0029192783
Ephb6_66860,0.00256902
Mettl14_68520,0.0015198756
