HOF equation,Train RMSE,Test RMSE
1,84.81360914715631,74.63375151948097
2,76.74776793909976,66.30372907100573
3,22.623603970250084,19.44963058622711
4,21.24676349886666,25.434419053042678
5,17.92434495475775,17.99966862259663
6,17.89010526126637,18.539449008290763
7,15.800845069129611,26.100107659933602
8,15.192979162328212,19.9393576170172
9,13.87235784803342,21.548090576364082
10,13.659693050378657,26.62833624056158
11,13.250487048475998,25.284354652596324
12,13.058289641620764,25.86312615236072
13,12.652532580833396,30.969422973961
14,12.324722524772948,26.042580471126993
15,11.563324040622144,26.022010455647493
16,11.388494181215794,23.454237765765637
