HOF equation,Train RMSE,Test RMSE
1,22.623603970091253,19.449649793876322
2,21.04400112084266,21.83744160854976
3,17.613865300370612,18.05480903651814
4,17.40474855239918,19.429042348841655
5,15.987386327312473,20.400442148508645
6,14.46839967848095,29.46435589197797
7,13.552555480386234,23.38020281436513
8,13.275594306525255,25.127951241270093
9,12.952704066837134,25.679243394124168
10,12.518007453107266,28.520398525728048
11,12.119121773353656,27.733394559580162
12,11.84372019465735,28.569978820441303
13,11.794901361617152,30.72600931986703
