Feature,Importance
Gm21190_82342,0.10254344669909736
Asb14_29409,0.09673082477374849
Eugenol,0.05381401766251279
Slc26a4_56472,0.041698925357432415
Rgs22_79648,0.040665061854823985
Tgm1_60333,0.03476292155903411
Cyp1a1_79654,0.03427876171614684
Adamts5_56833,0.032900740850328715
Guaiacol,0.03141079941545089
Gm5737_59680,0.025068688781510886
Pstk_65222,0.024730555807057325
Myc_30907,0.023055806400847697
Acod1_54942,0.02108104583485643
Kbtbd7_76521,0.02021738118645031
Csf2_61958,0.019435839107204877
Tacr1_72530,0.015982983969010517
Isoeugenol,0.014803384355832847
Hist1h2bc_29206,0.014772998254241833
Fpr1_72651,0.013647090497148563
K,0.013406670747683041
Hfe2_69619,0.013282867491396781
Sh3gl2_31946,0.011943198624743785
Muc5b_58389,0.011554441595212905
Dydc1_55826,0.011420242317193244
Alg11_64834,0.011160671528961847
Atp6v0d2_76694,0.011019817370961091
Gm13238_30264,0.010744125295489166
Cxcl10_29431,0.010652186609157597
Plscr4_55764,0.01047748153029942
mt-Nd3_82089,0.010437177793226388
Sema7a_72108,0.010206948634793472
Vanillin,0.009200337289677623
Cdkn2a_67661,0.008518918695229647
Snx11_32113,0.008382167989393573
Btnl9_55542,0.008322636020991033
Myl3_75394,0.007437894350568219
Coniferyl aldehyde,0.007126845329547341
Rsph3b_31489,0.006724877824681677
Lsamp_31051,0.0064608869836933185
Egr1_58083,0.006307317441246008
mt-Nd4l_82096,0.0061948357717412144
Serpina3n_29367,0.005981541378110923
Alox15_61552,0.0059552457813333345
Sgcg_29583,0.005594997933101424
Mt1_76728,0.005495412231174865
AC132444.6_82305,0.005141046095380081
Lipo5_56386,0.004911112714973846
Ethylguaiacol,0.004845562058892535
Igkv16-104_74538,0.004798866497831675
Zmiz2_62411,0.004682693592404771
Rpl3l_76369,0.00467843655449954
Mypn_29309,0.004659629826570643
Methoxymethyl phenol,0.004311503604923435
Tcap_31038,0.004247500955702004
Kdm6a_65647,0.004095776822803876
Syt14_59917,0.003988851376728125
Cyp1a1_29719,0.0038690882874118965
Rps26_78862,0.003739034853495802
EAR12_31077,0.003734232680186989
Arf1_31811,0.0036044559556770383
Ephb6_66860,0.003176828925730221
Ckmt2_30858,0.0029043962886007696
Zfp52_62706,0.0026584973294685333
Eef1a2_67152,0.002281369845963083
Rraga_80101,0.0022773248746012814
Ifi44_55588,0.002231815534254888
Fpr1_30738,0.0021459571887849924
Actn2_32214,0.0020507181800281608
Nkain4_74119,0.0020391891297994254
Siglecf_71530,0.0019304803022884693
Zfp994_73585,0.0018245335223392816
Nkain4_82157,0.0018235769397195634
Acyp1_74193,0.001807150111837225
Mettl14_68520,0.0018027516929926591
March3_58049,0.0015529436447631103
Dusp11_79084,0.0014920245255165936
Mcur1_30741,0.0014023422457654189
Ccdc186_58520,0.0013219553518807833
Trdmt1_72939,0.0011939076920395304
Gbp4_72637,0.0011634261537979411
