Feature,Importance
Eugenol,0.16934872
Slc26a4_56472,0.14593966
P,0.08361669
Hfe2_69619,0.07244158
Tmem117_56678,0.045044683
Gm5737_59680,0.032143734
SO4,0.030033458
Wdr72_57018,0.02731009
Tgm1_60333,0.027095398
Gm21190_82342,0.024384879
Tspan4_30708,0.022591176
Tacr1_72530,0.020203602
Guaiacol,0.019610967
Asb14_29409,0.017904589
Lgals2_59528,0.016695281
Gm13238_30264,0.014203009
Atf3_29935,0.013430546
Sfn_31323,0.013097892
Dnajc28_64398,0.012836247
Cd,0.012162345
Maff_30224,0.011832316
Gdnf_29292,0.00990111
Pstk_65222,0.008504494
Rhof_64396,0.00713981
Serpina3n_29367,0.0052398825
Timp1_30249,0.0051966105
Creb1_71798,0.005120033
Rgs22_79648,0.005094493
Hist1h2bc_29206,0.0050100447
Fam19a1_59360,0.0046960176
Muc5b_58389,0.0046319463
Hmox1_55177,0.004624578
Ighv2-6_70078,0.0044021774
Bdkrb2_54168,0.004096302
Cyp1b1_72511,0.0037136893
Fosl1_30439,0.0036763365
Hcn2_57591,0.0030944538
Hspa1b_32188,0.0028475204
Osgin1_79857,0.0027808326
Srm_62972,0.002700114
Btbd9_60652,0.0024237796
Elovl6_74600,0.0023618368
Cyp1a1_79654,0.0023462712
Csf2_61958,0.0023109901
Fcer1g_31620,0.0022580232
Alg11_67845,0.0022453917
Cxcl10_29431,0.0020558536
Dydc1_55826,0.0020320385
Esm1_60954,0.0019200705
Aldh1a2_60261,0.001911523
Art1_56953,0.001910701
Nt5c_33336,0.0018402914
Sgcg_29583,0.0017374667
Gpc1_58802,0.0016358915
Lipo5_56386,0.0015443366
Fpr2_31644,0.0013857125
Myc_30907,0.0013811646
Adora1_56938,0.0013163373
Il6_60343,0.0012769648
Calcb_60189,0.001257967
Aplp1_78493,0.001248783
Stpg1_80557,0.0012365929
Nog_54804,0.0012287706
Tnfrsf9_66723,0.0011967509
Trmt61a_77219,0.0011534678
Dcp1b_29958,0.0010788538
Gm15448_82247,0.0010734743
Acod1_54942,0.0010149804
Adam22_79503,0.0010082135
Ckm_31031,0.0009914978
Ubash3a_72205,0.0009700022
Cask_29837,0.0009163111
AC132444.6_82305,0.00091610657
Actr3b_60038,0.00088616414
Adamts5_56833,0.0008671961
Arg2_81876,0.00079825736
Ly6g6d_70681,0.00078728865
