Equation
0.982602*var13 + 71.8556*(0.111018*var13 + 0.0311332)*exp(-4.25249*var10) + 13.5399*(0.253471*var2 - 0.0062638)*(0.881253*var6 + 0.0194718) - 0.388909
0.986573*var13 - 29.7718*(0.000877113 - 0.108489*var6)*(0.94224*var2 - 0.0385814) - 429.065*(-0.0176647*var13 - 0.00648822)*exp(-4.15189*var10) - 0.191583
1.01669*var13 - 14.0472*(0.0193165 - 0.934846*var2)*(0.230148*var6 + 0.00700589) - 348.558*(-0.0234707*var13 - 0.00670861)*exp(-4.37249*var10) - 0.490101
0.991391*var13 + 71.5373*(0.10626*var13 + 0.0375553)*exp(-4.16304*var10) + 27.8579*(0.498233*var2 - 0.0207596)*(0.219098*var6 - 0.00131907) - 0.107517
0.858888*var13 - 2.69211*(0.171059 - 1.01922*var6)*(1.1426*var2 - 0.158291) - 37.9755*(-0.152533*var13 - 0.102768)*exp(-3.36065*var10) + 1.34221
-47.4431*(0.00129816 - 0.0994425*var13)*exp((0.196087 - 3.22542*var10)*(0.642825 - 0.296496*var9)) - 47.4431*(0.0249995 - 0.372664*var2)*(0.173737*var6 - 0.0116417) + 0.501194
32.3492*(0.01073 - 0.172916*var2)*(0.0361227 - 0.548968*var6) + 14.7617*(0.291753*var13 - 0.0117343)*exp(-1.76929*var10 + 0.689686*var9) + 0.44011
6.88303*(0.716148*var13 + 0.537057)*exp(-1.87423*var10) + 14.373*(0.123331*var6 - 0.00729104)*(1.72985*var2 + 0.0193371*var5 - 0.162771) - 0.266113
-35.5383*(0.000770118*var1 - 0.643941)*(0.15647*var2 - 0.0200446)*(0.874768*var6 - 0.0770369) - 36.8542*(-0.137633*var13 - 0.0345893)*exp(-1.80499*var10) + 0.722798
-44.2918*(-0.00250753*var5 - 0.995351)*((0.018087 - 0.252*var6)*(0.0205827 - 0.275011*var2) + 1.7366*(0.0657324*var13 + 0.0453354)*exp(-1.93027*var10)) - 0.0194435
