Equation
0.661024*var5 - 14.5101*(0.653815 - 1.02803*var6)*(0.225944*var2 - 0.103301) - 14.5101*(0.0760348*var13 + 0.00596867)*log(0.563893*var10 - 0.112213) + 5.36922
18.8703*(2.46575 - 1.94933*var10)*log(0.096771*var13 + 0.0560544*var5 + 0.868553) + 18.8703*(0.315918*var2 - 0.150462)*(0.573748*var6 - 0.43428) + 7.56856
8.11768*var10 - 10.9707*(0.3027 - 0.797891*var2)*(0.368334*var6 - 0.111148) - 10.9707*(0.117671*var13 + 0.325153)*log(0.538192*var10 - 0.0735478) - 5.58906
-34.4673*(0.139027*var6 - 0.0512432)*(-0.660608*var2 + 0.00261671*var8 + (0.110756*var7 - 0.177259)*log(0.958157 - 0.0768845*var13) + 0.196694) + 5.06243
20.4783*(0.122783 - 0.293501*var2)*(0.350272 - 0.5532*var6) + 20.4783*sqrt(0.0711825*var5 + (0.0752039 - 0.331084*var13)*(1.15502*var10 - 1.33511) + 0.465788) - 9.43258
17.8529*(0.0399756 - 0.0910962*var6)*(0.0106638*var15 - 1.98425*var2 + (0.307291*var7 - 0.561308)*log(0.955266 - 0.080288*var13) + 0.705641) + 5.66891
24.7189*(0.168736*var6 - 0.0773217)*(0.767863*var2 + 0.0102578*var5 + (0.233438 - 0.134877*var7)*log(0.96118 - 0.0762223*var13) - 0.281698) + 5.36418
9.94957*(1.55937*var10 - 2.22518)*(-0.144899*var13 + 0.965583*sqrt(var10 - 0.166583) - 0.182364) + 9.94957*(0.898778*var2 - 0.403881)*(0.370142*var6 - 0.151876) + 10.9307
-3.47445*(0.0334122*var11 + 1.56794)*(0.659981*var6 - 0.31832)*(-0.903551*var2 + (0.132051*var7 - 0.180411)*log(0.962086 - 0.0816106*var13) + 0.405407) + 6.4934
0.799962*var5 + 8.4067*(0.702727 - 0.582305*var10)*(0.577315*var13 + 0.274019) + 8.4067*(0.47396*var2 - 0.231779)*(0.875341*var6 - 0.729533) + 5.68837
