Equation
1.31542*var13 + 8.45841*var6 + 16.0236*(1.32901*var2 - 3.60728)*(0.133282*var6 + 0.0126232 + 2.22031*exp(-5.45118*var10)) - 1.64149
1.30428*var13 + 8.45264*var6 - 22.7736*(0.873921 - 0.322148*var2)*(0.386588*var6 + 0.0354437 + 6.30607*exp(-5.36563*var10)) - 1.64113
-28.4099*(-0.198162*var13 - 0.0460144)*exp(-1.85059*var10) - 19.3018*(0.369622*var2 + 0.00646867)*(0.457393*var6 + 0.0239848)*(0.00456583*var7 - 0.949709) - 1.00435
-28.2847*(0.984107 - 0.00473027*var7)*(-0.6764*var2 - 0.00796483)*(0.164885*var6 + 0.00741601) - 17.5366*(-0.318527*var13 - 0.0817065)*exp(-1.84165*var10) - 0.962609
11.938*(0.627048 - 0.00297524*var7)*(1.60105*(0.465077*var13 + 0.2192)*exp(-1.80515*var10) + (0.758894*var2 - 0.0182689)*(0.551256*var6 + 0.00119031)) - 0.726992
-14.3654*(-0.36334*var13 - 0.194573)*exp(-1.78989*var10) - 5.33564*(0.552868*var6 - 0.0354971)*(-1.03956*var2 + 0.0186466*var7 - 0.0548391) - 0.108735
-0.232191*var7 - 6.97922*(0.0837328 - 0.572407*var6)*(0.782074*var2 - 0.115558) - 20.8196*(-0.252358*var13 - 0.130932)*exp(-1.8326*var10) + 2.68641
-4.43967*(7.49236*var10 - 1.18959 + 18.1614*exp(-1.28641*var10))*(-0.030009*var13 + (-0.287011*var2 - 0.0512333)*(0.196735*var6 + 0.0627142) + 0.700377) + 31.5446
-36.8155*(-0.137076*var13 - 0.0892512)*exp(-1.70922*var10) - 10.0487*(1.17293*var6 - 0.279361)*(-0.26909*var2 + 0.00478016*var7 + 0.013469) + 1.43104
8.13678*(-1.86129*var10 + 1.06161*exp(0.821394*var10) + 1.1957)*(0.103242*var13 + (1.47134*var2 - 0.229045)*(0.146441*var6 - 0.00922269) - 1.07216) + 16.2885
