Equation
-61.5035*(0.0118389 - 0.136062*var13)*sqrt(0.551389 - var10)*(0.117546*var8 - 0.147054) - 73.3063*(0.150819*var2 + 0.112307)*(-0.221496*var6 - 0.237664) - 9.11144
-77.6976*sqrt((1.70563*var10 - 1.00462)*(-0.0134049*var14 - 0.338035))*(0.06267 - 0.0991941*var13) - 77.6976*(-0.151368*var2 - 0.10982)*(0.20872*var6 + 0.218871) - 8.35722
52.7594*sqrt(0.547114 - var10)*(0.0291182*var13 + 0.000122784)*(1.53014*var5 - 0.327466) + 46.9974*(0.25427*var2 + 0.18866)*(0.203013*var6 + 0.223878) - 8.74526
15.3001*sqrt((2.74673 - 0.573118*var7)*(0.483568*var10 - 0.275844))*(0.441883*var13 + 0.0391614) + 15.3001*(0.988615*var2 + 0.389281)*(0.173321*var6 + 0.12652) - 4.46214
16.5291*(4.02598 - 0.0165108*var1)*(-0.511917*var2 - 0.167766)*(-0.0795596*var6 + 0.570103*sqrt(0.613109 - var10)*(-0.0473549*var13 - 0.148865) - 0.0413414) - 3.78389
39.0475*(0.0797408*var6 + 0.0436781)*(0.86696*var2 + (1.86373*var10 - 2.18548)*(0.190451*var13 - 0.204781)*(-0.0191479*var14 - 0.388329) + 0.225414) - 1.64727
-12.7603*(-0.16668*var6 - 0.0675316)*(1.30829*var2 + (0.503842 - 0.463819*var13)*(1.34552 - 1.13801*var10)*(-0.0199933*var14 - 0.387218) + 0.143476) + 0.167617
-32.8075*sqrt(0.604832 - var10)*(-0.155091*var13 - 0.263378) - 65.0272*(0.257327*var2 + 0.237325)*(-0.137794*var6 - 0.196478) - 13.4936
-19.4913*sqrt(0.604152 - var10)*(-0.263802*var13 - 0.427339) - 37.0229*(0.361969*var2 + 0.302018)*(-0.176189*var6 - 0.229506) - 12.1493
17.4486*sqrt(0.606611 - var10)*(0.260754*var13 + 0.454522) + 23.4977*(0.00239418*var13 + 1.05503)*(0.894414*var2 + 0.410385)*(0.116108*var6 + 0.093253) - 6.21103
