Equation
-1.38776*var10 + 2.18454*var13 + 13.7899*var2 + 10.5373*var6 - 47.6379
-1.43395*var10 + 2.17554*var13 + 13.7619*var2 + 10.4919*var6 - 47.3249
-1.40551*var10 + 2.17213*var13 + 13.7546*var2 + 10.4886*var6 - 47.2751
-1.41049*var10 + 2.17269*var13 + 13.7568*var2 + 10.4891*var6 - 47.2798
-1.41459*var10 + 2.17749*var13 + 13.7655*var2 + 10.4975*var6 - 47.3417
-1.41793*var10 + 2.17433*var13 + 13.7561*var2 + 10.4877*var6 - 47.2804
-1.40558*var10 + 2.17129*var13 + 13.757*var2 + 10.4903*var6 - 47.3139
-1.43238*var10 + 2.17459*var13 + 13.7612*var2 + 10.4897*var6 - 47.3165
-1.41687*var10 + 2.17498*var13 + 13.76*var2 + 10.4911*var6 - 47.3148
-1.40757*var10 + 2.17328*var13 + 13.7575*var2 + 10.4909*var6 - 47.2758
