Equation
-20.7066*(0.00998465 - 0.280658*chem2)*(0.51954*chem6 - 0.00342933) - 20.7066*(1.58296 - 1.03271*chem10)*(0.445047*chem10 - 0.083364*chem13 - 0.0631566) + 4.72723
-9.10244*(0.0381731 - 1.56382*chem6)*(0.213016*chem2 - 0.0096908) - 9.10244*(0.411146*chem10 - 0.603873)*(-2.40367*chem10 + 0.521898*chem13 + 0.462228) + 3.96446
-4.72743*(0.0044669 - 0.531484*chem6)*(1.20113*chem2 - 0.0382388) - 4.72743*(1.08526 - 0.713801*chem10)*(2.88031*chem10 - 0.539282*chem13 - 0.372581) + 4.81159
5.80718*(0.648056*chem10 - 0.969564)*(2.48075*chem10 - 0.497319*chem13 - 0.404703) + 5.80718*(0.545608*chem2 - 0.0205842)*(0.955275*chem6 - 0.015027) + 4.33225
-3.65049*(0.0295415 - 0.911707*chem2)*(0.907248*chem6 - 0.00866086) - 3.65049*(2.76277 - 1.82482*chem10)*(1.44696*chem10 - 0.275265*chem13 - 0.198772) + 4.68616
33.6886*(0.775487 - 0.515292*chem10)*(-0.549145*chem10 + 0.107334*chem13 + 0.0810875) + 33.6886*(0.344872*chem2 - 0.0122249)*(0.260097*chem6 - 0.00327652) + 4.52944
10.4885*(0.00304584 - 0.336333*chem6)*(0.0266767 - 0.855977*chem2) + 10.4885*(1.08436*chem10 - 1.62705)*(0.843803*chem10 - 0.16418*chem13 - 0.123889) + 4.51621
16.6126*(0.298631*chem10 - 0.486975)*(2.17948*chem10 - 0.327431*chem13 - 0.00290322) + 16.6126*(0.387901*chem2 - 0.0107938)*(0.466673*chem6 + 0.00198854) + 7.14602
39.1091*(0.459664*chem10 - 0.869072)*(1.00838*chem10 - 1.90533)*(0.0609009*chem13 - 0.0122246) + 39.1091*(0.262732*chem2 - 0.00625019)*(0.293854*chem6 - 0.00723746) + 0.542177
35.9177*(0.0272941 - 0.133191*chem13)*(1.19893 - 0.634605*chem10)*(0.363942*chem10 - 0.687503) + 35.9177*(0.122917*chem2 - 0.00292903)*(0.68401*chem6 - 0.0175027) + 0.549539
