Equation
5.68728*(1.05482*var10 - 1.52862)*(1.95754*var10 - 0.331035*var13 - 0.238534) + 5.68728*(1.11742*var2 - 0.0609636)*(0.478119*var6 - 0.0250028) + 5.64837
-26.588*(0.00759744 - 0.376922*var6)*(0.300975*var2 - 0.00902587) - 26.588*(0.446599*var10 - 0.640118)*(-0.983628*var10 + 0.170984*var13 + 0.12491) + 5.14317
41.6131*(0.272969 - 0.193049*var10)*(-1.44201*var10 + 0.259467*var13 + 0.201675) + 41.6131*(0.389217*var2 - 0.012056)*(0.186649*var6 - 0.00425004) + 4.85218
-9.79315*(0.00763839 - 0.152967*var6)*(2.02815*var2 - 0.0954169) - 9.79315*(0.431936*var10 - 0.625937)*(-2.83293*var10 + 0.474139*var13 + 0.296111) + 5.82025
-15.3873*(0.00440829 - 0.464244*var6)*(0.421583*var2 - 0.0075814) - 15.3873*(1.38944 - 0.98334*var10)*(0.769217*var10 - 0.138773*var13 - 0.104506) + 4.73065
4.52193*(1.55345 - 1.11519*var10)*(-2.24663*var10 + 0.432165*var13 + 0.352394) + 4.52193*(0.686334*var2 - 0.0145351)*(0.971841*var6 - 0.0149287) + 4.34964
-35.6501*(0.0142042 - 0.703014*var2)*(0.120266*var6 - 0.00119711) - 35.6501*(0.0640181 - 0.148705*var13)*(1.69167*var10 - 2.26727)*(-0.0953545*var11 - 0.255092) + 0.638923
-52.4509*(0.00350705 - 0.196828*var6)*(0.292406*var2 - 0.00665947) - 52.4509*(0.042164 - 0.110721*var13)*(0.273863*var10 - 0.468357)*(0.963375*var10 - 1.65058) + 0.645687
22.2118*(0.0700239 - 0.161852*var13)*(2.06151 - 1.53908*var10)*(-0.154901*var11 - 0.413627) + 22.2118*(0.279024*var2 - 0.00552392)*(0.486325*var6 - 0.00531536) + 0.645077
29.6299*(2.15183 - 1.60647*var10)*(0.067408*var11 + 0.178882)*(0.268976*var13 - 0.1165) + 29.6299*(0.14658*var2 - 0.00293421)*(0.694508*var6 - 0.00773943) + 0.644249
