Input,Operators,Level,RMSE,Equation,time
Noise=0.25,"['log:1', 'exp:1', 'sqrt:1', 'squared:1', 'inverse:1', 'linear:1', 'tanh:1', 'gaussian:1', 'gaussian:2', 'multiply:2']",4,4.093807303,2.09046*chem13 + 0.0874051*chem14 + 14.1272*chem2 + 10.7794*chem6 - 0.454825*chem8 - 48.7891,25834.66439
Noise=0.5,"['log:1', 'exp:1', 'sqrt:1', 'squared:1', 'inverse:1', 'linear:1', 'tanh:1', 'gaussian:1', 'gaussian:2', 'multiply:2']",4,4.283373874,5.89018*chem10 + 1.8543*chem13 + 0.0929169*chem14 + 14.5201*chem2 + 11.2969*chem6 - 61.0171,25834.66439
Noise=0.75,"['log:1', 'exp:1', 'sqrt:1', 'squared:1', 'inverse:1', 'linear:1', 'tanh:1', 'gaussian:1', 'gaussian:2', 'multiply:2']",4,4.267341202,2.26098*chem13 + 0.0879417*chem14 + 14.8019*chem2 + 10.951*chem6 - 0.340279*chem8 - 53.1958,25834.66439
Noise=1,"['log:1', 'exp:1', 'sqrt:1', 'squared:1', 'inverse:1', 'linear:1', 'tanh:1', 'gaussian:1', 'gaussian:2', 'multiply:2']",4,4.444180154,1.93799*chem13 + 0.099072*chem14 + 14.1193*chem2 + 11.0955*chem6 - 0.519093*chem8 - 49.8246,25834.66439
Noise=1.25,"['log:1', 'exp:1', 'sqrt:1', 'squared:1', 'inverse:1', 'linear:1', 'tanh:1', 'gaussian:1', 'gaussian:2', 'multiply:2']",4,4.355767456,0.424807*chem1 + 2.01009*chem13 + 0.0736408*chem14 + 15.0093*chem2 + 11.6088*chem6 - 61.5753,25834.66439
Noise=1.5,"['log:1', 'exp:1', 'sqrt:1', 'squared:1', 'inverse:1', 'linear:1', 'tanh:1', 'gaussian:1', 'gaussian:2', 'multiply:2']",4,4.272796152,6.01923*chem10 + 2.08014*chem13 + 0.0886339*chem14 + 14.898*chem2 + 11.069*chem6 - 60.6247,25834.66439
Noise=1.75,"['log:1', 'exp:1', 'sqrt:1', 'squared:1', 'inverse:1', 'linear:1', 'tanh:1', 'gaussian:1', 'gaussian:2', 'multiply:2']",4,4.889190511,2.19993*chem13 + 0.076023*chem14 + 14.1985*chem2 + 10.1125*chem6 - 0.523297*chem8 - 45.705,25834.66439
Noise=2,"['log:1', 'exp:1', 'sqrt:1', 'squared:1', 'inverse:1', 'linear:1', 'tanh:1', 'gaussian:1', 'gaussian:2', 'multiply:2']",4,4.6311563,0.680607*chem1 + 2.51961*chem13 + 0.097471*chem14 + 14.836*chem2 + 10.8663*chem6 - 59.7091,25834.66439
No_noise_all_var,"['log:1', 'exp:1', 'sqrt:1', 'squared:1', 'inverse:1', 'linear:1', 'tanh:1', 'gaussian:1', 'gaussian:2', 'multiply:2']",4,4.0978016,2.07141*chem13 + 0.0841186*chem14 + 14.3161*chem2 + 10.6337*chem6 - 0.439219*chem8 - 48.9001,25834.66439
No_noise_rel_var,"['log:1', 'exp:1', 'sqrt:1', 'squared:1', 'inverse:1', 'linear:1', 'tanh:1', 'gaussian:1', 'gaussian:2', 'multiply:2']",3,4.629199985,#NAME?,25834.66439
Noise=0.25,"['log:1', 'exp:1', 'sqrt:1', 'squared:1', 'inverse:1', 'linear:1', 'tanh:1', 'gaussian:1', 'gaussian:2']",4,0.490294102,23.4338*(0.00586784 - 0.107423*chem6)*(0.0342843 - 1.20581*chem2) + 23.4338*(0.0566671 - 0.184275*chem13)*(0.610947*chem10 - 0.842841)*(0.00922708*chem14 + 0.796662) + 0.696816,25834.66439
Noise=0.5,"['log:1', 'exp:1', 'sqrt:1', 'squared:1', 'inverse:1', 'linear:1', 'tanh:1', 'gaussian:1', 'gaussian:2']",2,0.454355754,18.007*(1.27325*chem10 - 1.71939)*(0.569448*chem10 - 0.104007*chem13 - 0.079917) + 18.007*(0.230431*chem2 - 0.00473638)*(0.730221*chem6 - 0.011443) + 4.55861,25834.66439
Noise=0.75,"['log:1', 'exp:1', 'sqrt:1', 'squared:1', 'inverse:1', 'linear:1', 'tanh:1', 'gaussian:1', 'gaussian:2']",4,0.727134976,#NAME?,25834.66439
Noise=1,"['log:1', 'exp:1', 'sqrt:1', 'squared:1', 'inverse:1', 'linear:1', 'tanh:1', 'gaussian:1', 'gaussian:2']",4,1.170140963,#NAME?,25834.66439
Noise=1.25,"['log:1', 'exp:1', 'sqrt:1', 'squared:1', 'inverse:1', 'linear:1', 'tanh:1', 'gaussian:1', 'gaussian:2']",4,1.552443831,#NAME?,25834.66439
Noise=1.5,"['log:1', 'exp:1', 'sqrt:1', 'squared:1', 'inverse:1', 'linear:1', 'tanh:1', 'gaussian:1', 'gaussian:2']",4,1.41143136,#NAME?,25834.66439
Noise=1.75,"['log:1', 'exp:1', 'sqrt:1', 'squared:1', 'inverse:1', 'linear:1', 'tanh:1', 'gaussian:1', 'gaussian:2']",4,1.49173183,#NAME?,25834.66439
Noise=2,"['log:1', 'exp:1', 'sqrt:1', 'squared:1', 'inverse:1', 'linear:1', 'tanh:1', 'gaussian:1', 'gaussian:2']",4,2.107479983,#NAME?,25834.66439
No_noise_all_var,"['log:1', 'exp:1', 'sqrt:1', 'squared:1', 'inverse:1', 'linear:1', 'tanh:1', 'gaussian:1', 'gaussian:2']",2,0.334006304,17.9616*(1.47592 - 0.972326*chem10)*(-0.548153*chem10 + 0.104252*chem13 + 0.0766085) + 17.9616*(0.408704*chem2 - 0.015672)*(0.411598*chem6 - 0.00602686) + 4.70031,25834.66439
No_noise_rel_var,"['log:1', 'exp:1', 'sqrt:1', 'squared:1', 'inverse:1', 'linear:1', 'tanh:1', 'gaussian:1', 'gaussian:2']",2,0.334366837,#NAME?,25834.66439
Noise=0.25,"['squared:1', 'inverse:1', 'linear:1', 'tanh:1', 'gaussian:1', 'gaussian:2']",4,0.205745938,#NAME?,25834.66439
Noise=0.5,"['squared:1', 'inverse:1', 'linear:1', 'tanh:1', 'gaussian:1', 'gaussian:2']",4,0.406474968,10.549*(0.00431805 - 0.94404*chem2)*(-0.300624*chem6 - 0.0076435) + 10.549*(0.181848*chem13 + 0.0161996)*(-0.0121301*chem1 + 0.472152 + 4.24323*exp(-3.90856*chem10)) - 0.16058,25834.66439
Noise=0.75,"['squared:1', 'inverse:1', 'linear:1', 'tanh:1', 'gaussian:1', 'gaussian:2']",3,0.611492744,0.918873*chem13 + 11.3906*(0.0147558 - 0.278623*chem6)*(0.0823663 - 0.969506*chem2) + 348.433*(0.0190279*chem13 + 0.0111527)*exp(-3.79838*chem10) + 0.271028,25834.66439
Noise=1,"['squared:1', 'inverse:1', 'linear:1', 'tanh:1', 'gaussian:1', 'gaussian:2']",3,0.937313574,0.8118*chem13 - 11.7946*(0.230213 - 1.26776*chem2)*(0.209042*chem6 - 0.0413597) - 533.938*(-0.0221746*chem13 - 0.00276042)*exp(-4.60648*chem10) + 2.52434,25834.66439
Noise=1.25,"['squared:1', 'inverse:1', 'linear:1', 'tanh:1', 'gaussian:1', 'gaussian:2']",4,1.311628438,6.27829*(2.31955 - 0.437278*chem10)*(0.120565*chem13 + (1.45833*chem2 - 0.495991)*(0.182885*chem6 - 0.0495988) - 1.60301 + 5.5644*exp(-0.664515*chem7)) + 22.151,25834.66439
Noise=1.5,"['squared:1', 'inverse:1', 'linear:1', 'tanh:1', 'gaussian:1', 'gaussian:2']",4,1.418854472,#NAME?,25834.66439
Noise=1.75,"['squared:1', 'inverse:1', 'linear:1', 'tanh:1', 'gaussian:1', 'gaussian:2']",4,1.31346049,0.989687*chem5 - 6.24919*(0.564348 - 1.10219*chem2)*(0.49736*chem6 - 0.400251) - 21.9357*(-0.223187*chem13 - 0.139608)*exp(-1.92292*chem10) + 5.44261,25834.66439
