Input,Operators,RMSE,Level,Equation,time
Noise=0.25,"['log:1', 'exp:1', 'sqrt:1', 'squared:1', 'inverse:1', 'linear:1', 'tanh:1', 'gaussian:1', 'gaussian:2', 'multiply:2']",4.062269201733083,4,2.06977*var13 + 0.0815541*var14 + 14.527*var2 + 10.7169*var6 - 0.448754*var8 - 49.7442,22152.97901
Noise=0.5,"['log:1', 'exp:1', 'sqrt:1', 'squared:1', 'inverse:1', 'linear:1', 'tanh:1', 'gaussian:1', 'gaussian:2', 'multiply:2']",4.228345374280542,4,2.2583*var13 + 0.0900861*var14 + 14.5951*var2 + 10.9152*var6 - 0.356445*var8 - 52.2537,22152.97901
Noise=0.75,"['log:1', 'exp:1', 'sqrt:1', 'squared:1', 'inverse:1', 'linear:1', 'tanh:1', 'gaussian:1', 'gaussian:2', 'multiply:2']",4.339427352,4,2.02483*var13 + 0.0947519*var14 + 14.0829*var2 + 11.0342*var6 - 0.503894*var8 - 49.6513,22152.97901
Noise=1,"['log:1', 'exp:1', 'sqrt:1', 'squared:1', 'inverse:1', 'linear:1', 'tanh:1', 'gaussian:1', 'gaussian:2', 'multiply:2']",4.385308072748968,4,1.89107*var13 + 0.0694042*var14 + 14.2925*var2 + 11.1851*var6 - 0.322143*var8 - 51.8567,22152.97901
Noise=1.25,"['log:1', 'exp:1', 'sqrt:1', 'squared:1', 'inverse:1', 'linear:1', 'tanh:1', 'gaussian:1', 'gaussian:2', 'multiply:2']",4.244061973501715,4,5.58899*var10 + 2.16244*var13 + 0.0838593*var14 + 14.4727*var2 + 10.9396*var6 - 58.3522,22152.97901
Noise=1.5,"['log:1', 'exp:1', 'sqrt:1', 'squared:1', 'inverse:1', 'linear:1', 'tanh:1', 'gaussian:1', 'gaussian:2', 'multiply:2']",4.787234882267323,4,2.24087*var13 + 0.0766234*var14 + 14.1306*var2 + 10.1359*var6 - 0.512985*var8 - 45.7497,22152.97901
Noise=1.75,"['log:1', 'exp:1', 'sqrt:1', 'squared:1', 'inverse:1', 'linear:1', 'tanh:1', 'gaussian:1', 'gaussian:2', 'multiply:2']",4.46399818,4,0.5739*var1 + 2.317*var13 + 0.092885*var14 + 14.4681*var2 + 10.9452*var6 - 57.8111,22152.97901
Noise=2,"['log:1', 'exp:1', 'sqrt:1', 'squared:1', 'inverse:1', 'linear:1', 'tanh:1', 'gaussian:1', 'gaussian:2', 'multiply:2']",4.317372662268118,4,1.02765*var13 + 0.0888008*var14 - 0.673386*var15 + 16.8006*var2 + 10.3454*var6 - 55.4587,22152.97901
No_noise_all_var,"['log:1', 'exp:1', 'sqrt:1', 'squared:1', 'inverse:1', 'linear:1', 'tanh:1', 'gaussian:1', 'gaussian:2', 'multiply:2']",4.097801599929721,4,2.07141*var13 + 0.0841186*var14 + 14.3161*var2 + 10.6337*var6 - 0.439219*var8 - 48.9001,22152.97901
No_noise_rel_var,"['log:1', 'exp:1', 'sqrt:1', 'squared:1', 'inverse:1', 'linear:1', 'tanh:1', 'gaussian:1', 'gaussian:2', 'multiply:2']",4.629199985199707,3,=-1.43395*VAR10 + 2.17554*VAR13 + 13.7619*VAR2 + 10.4919*VAR6 - 47.3249',22152.97901
Noise=0.25,"['log:1', 'exp:1', 'sqrt:1', 'squared:1', 'inverse:1', 'linear:1', 'tanh:1', 'gaussian:1', 'gaussian:2']",0.33866739192333956,2,=-26.588*(0.00759744 - 0.376922*VAR6)*(0.300975*VAR2 - 0.00902587) - 26.588*(0.446599*VAR10 - 0.640118)*(-0.983628*VAR10 + 0.170984*VAR13 + 0.12491) + 5.14317',22152.97901
Noise=0.5,"['log:1', 'exp:1', 'sqrt:1', 'squared:1', 'inverse:1', 'linear:1', 'tanh:1', 'gaussian:1', 'gaussian:2']",0.56602658,2,49.7372*(0.158515*var6 - 0.0219413)*(0.395557*var2 + (0.597682 - 0.440592*var10)*(1.53681 - 0.117291*var6)*(0.160016*var13 + 0.0564781) - 0.0687899) + 1.49893,22152.97901
Noise=0.75,"['log:1', 'exp:1', 'sqrt:1', 'squared:1', 'inverse:1', 'linear:1', 'tanh:1', 'gaussian:1', 'gaussian:2']",0.8970174291839389,4,37.2338*(0.0742756 - 0.166494*var13)*(3.78649*var10 - 4.84764)*(0.001673*var14 + 0.102244) + 37.2338*(0.250075*var2 - 0.0517824)*(0.343279*var6 - 0.093865) + 3.24358,22152.97901
Noise=1,"['log:1', 'exp:1', 'sqrt:1', 'squared:1', 'inverse:1', 'linear:1', 'tanh:1', 'gaussian:1', 'gaussian:2']",1.2324728871770396,2,8.42011*var6 - 9.29834*(2.18618 - 0.758988*var10)*(-0.0864708*var13 + (1.98696 - 0.742072*var2)*(0.268498*var6 + 0.0685094) + 0.270718) + 2.08413,22152.97901
Noise=1.25,"['log:1', 'exp:1', 'sqrt:1', 'squared:1', 'inverse:1', 'linear:1', 'tanh:1', 'gaussian:1', 'gaussian:2']",1.1940646470050593,4,13.3386*(0.0883035*var13 + 0.819121*var6 - 0.157223)*(0.279437*var2 + (1.1873*var10 - 1.02318)*(0.284973*var12 - 0.150213) - 0.0187444) + 1.85704,22152.97901
Noise=1.5,"['log:1', 'exp:1', 'sqrt:1', 'squared:1', 'inverse:1', 'linear:1', 'tanh:1', 'gaussian:1', 'gaussian:2']",1.2264066691573239,4,=-24.2851*(0.250737 - 0.286806*VAR6)*(0.504108*VAR2 - 0.26116) - 24.2851*(0.472546 - 0.380843*VAR10)*(-0.284036*VAR13 - 0.194041*VAR5 + 0.324783) + 8.11156',22152.97901
Noise=1.75,"['log:1', 'exp:1', 'sqrt:1', 'squared:1', 'inverse:1', 'linear:1', 'tanh:1', 'gaussian:1', 'gaussian:2']",1.837355531951473,4,1.18925*var13 - 20.7372*(0.0891988 - 0.379444*var6)*(0.417205*var2 - 0.218264) - 20.7372*(1.55953 - 0.280517*var15)*(0.611397*var10 - 0.548454) + 6.09636,22152.97901
Noise=2,"['log:1', 'exp:1', 'sqrt:1', 'squared:1', 'inverse:1', 'linear:1', 'tanh:1', 'gaussian:1', 'gaussian:2']",1.7808894431461675,4,19.5879*(0.34428*var6 + 0.421813)*(0.357822*var2 + (1.39078*var10 - 1.49311)*(-0.0742861*var13 - 0.00253741*var14 + 0.216303) + 0.300988) - 9.50382,22152.97901
No_noise_all_var,"['log:1', 'exp:1', 'sqrt:1', 'squared:1', 'inverse:1', 'linear:1', 'tanh:1', 'gaussian:1', 'gaussian:2']",0.3340063044748993,2,17.9616*(1.47592 - 0.972326*var10)*(-0.548153*var10 + 0.104252*var13 + 0.0766085) + 17.9616*(0.408704*var2 - 0.015672)*(0.411598*var6 - 0.00602686) + 4.70031,22152.97901
No_noise_rel_var,"['log:1', 'exp:1', 'sqrt:1', 'squared:1', 'inverse:1', 'linear:1', 'tanh:1', 'gaussian:1', 'gaussian:2']",0.33436683661444355,2,=-9.10244*(0.0381731 - 1.56382*VAR6)*(0.213016*VAR2 - 0.0096908) - 9.10244*(0.411146*VAR10 - 0.603873)*(-2.40367*VAR10 + 0.521898*VAR13 + 0.462228) + 3.96446',22152.97901
Noise=0.25,"['exp:1', 'squared:1', 'inverse:1', 'linear:1', 'tanh:1', 'gaussian:1', 'gaussian:2']",0.21565433150285573,2,=-14.8006*(0.0726997 - 1.51405*VAR6)*(0.135308*VAR2 - 0.00646805) - 14.8006*(1.10316 - 0.771054*VAR10)*(1.02017*VAR10 - 0.179188*VAR13 - 0.134654) + 5.33678',22152.97901
Noise=0.5,"['exp:1', 'squared:1', 'inverse:1', 'linear:1', 'tanh:1', 'gaussian:1', 'gaussian:2']",0.41289552,2,26.4502*(0.0196065*var13 - 1.31207)*(0.0430135*var13 + 0.0110171)*log(0.600115*var10 - 0.0751035) + 26.4502*(0.246682*var2 - 0.0269098)*(0.473536*var6 - 0.0457282) + 0.613572,22152.97901
Noise=0.75,"['exp:1', 'squared:1', 'inverse:1', 'linear:1', 'tanh:1', 'gaussian:1', 'gaussian:2']",0.6948485460635804,2,=-16.4336*(0.178607 - 0.691152*VAR6)*(0.280498*VAR2 - 0.0531506) - 16.4336*(0.0783613*VAR13 - 0.0118257)*LOG(0.712228*VAR10 - 0.152971) + 2.83352',22152.97901
Noise=1,"['exp:1', 'squared:1', 'inverse:1', 'linear:1', 'tanh:1', 'gaussian:1', 'gaussian:2']",1.1525409861145837,4,=-12.7853*(1.5435*VAR10 - 1.78862)*LOG(0.308178*VAR13 + 0.890155) - 12.7853*(0.127491*VAR2 - 0.0244155)*(0.697577*VAR6 - 0.112324)*(0.0153394*VAR7 - 2.87217) + 2.16228',22152.97901
Noise=1.25,"['exp:1', 'squared:1', 'inverse:1', 'linear:1', 'tanh:1', 'gaussian:1', 'gaussian:2']",1.2619353314238715,4,39.7774*(0.12171*var2 - 0.00501348)*(0.614213*var6 + (1.30671 - 0.0330299*var3)*(-0.0475731*var13 - 0.166201)*log(0.243194 - 0.210249*var11) - 0.296244) + 0.546112,22152.97901
Noise=1.5,"['exp:1', 'squared:1', 'inverse:1', 'linear:1', 'tanh:1', 'gaussian:1', 'gaussian:2']",1.1227584943814235,4,18.8703*(2.46575 - 1.94933*var10)*log(0.096771*var13 + 0.0560544*var5 + 0.868553) + 18.8703*(0.315918*var2 - 0.150462)*(0.573748*var6 - 0.43428) + 7.56856,22152.97901
Noise=1.75,"['exp:1', 'squared:1', 'inverse:1', 'linear:1', 'tanh:1', 'gaussian:1', 'gaussian:2']",1.7989956304190613,4,1.19164*var13 + 13.024*(4.55731*var10 - 4.09122)*(0.0599777*var15 - 0.333336) + 13.024*(1.09039*var2 - 0.565989)*(0.231104*var6 - 0.0529684) + 5.92968,22152.97901
Noise=2,"['exp:1', 'squared:1', 'inverse:1', 'linear:1', 'tanh:1', 'gaussian:1', 'gaussian:2']",1.735303827896826,4,=-77.6976*SQRT((1.70563*VAR10 - 1.00462)*(-0.0134049*VAR14 - 0.338035))*(0.06267 - 0.0991941*VAR13) - 77.6976*(-0.151368*VAR2 - 0.10982)*(0.20872*VAR6 + 0.218871) - 8.35722',22152.97901
No_noise_all_var,"['exp:1', 'squared:1', 'inverse:1', 'linear:1', 'tanh:1', 'gaussian:1', 'gaussian:2']",0.053650934,4,10.7644*(0.0478582*var13 - 0.00620439)*(0.0189612*var7 - 2.30613)*log(0.538261*var10 - 0.112506) + 10.7644*(0.65163*var2 - 0.00895872)*(0.429267*var6 - 0.00650032) + 0.330216,22152.97901
No_noise_rel_var,"['exp:1', 'squared:1', 'inverse:1', 'linear:1', 'tanh:1', 'gaussian:1', 'gaussian:2']",0.012576928204492242,2,4.84441*sqrt(0.807565 - var10)*(2.11716*var10 - 3.59514)*(-0.298638*var13 - 0.0135088) + 22.1494*(1.21638*var2 - 0.00287882)*(0.111475*var6 - 0.000538375) + 0.00181884,22152.97901
