complexity,loss,score,equation,sympy_format,lambda_format
1,62.28065,0.0,-0.4620748,-0.462074800000000,PySRFunction(X=>-0.462074800000000)
2,61.072105,0.01959556836509581,sqrt(var10),sqrt(var10),PySRFunction(X=>sqrt(var10))
3,25.256592,0.8829680243279167,var6 + 50.875492,var6 + 50.875492,PySRFunction(X=>var6 + 50.875492)
5,15.019731,0.25986122711704346,(var6 + var2) * var6,var6*(var2 + var6),PySRFunction(X=>var6*(var2 + var6))
7,2.554091,0.8858341746811195,((var6 * 2.980477) * var2) + var13,var13 + var6*2.980477*var2,PySRFunction(X=>var13 + var6*2.980477*var2)
9,1.45866,0.2800890906510492,(var13 + (var6 * (var2 / 0.3363531))) + var13,var13 + var13 + var2*var6/0.3363531,PySRFunction(X=>var13 + var13 + var2*var6/0.3363531)
11,0.00072623434,3.8025780094552837,((var13 / var10) + ((2.9999917 * var6) * var2)) + -0.00057525653,2.9999917*var2*var6 - 0.00057525653 + var13/var10,PySRFunction(X=>2.9999917*var2*var6 - 0.00057525653 + var13/var10)
13,0.0003708709,0.3360093607493442,(0.002741214 / var8) + (((var6 * var2) / 0.3333372) + (var13 / var10)),var2*var6/0.3333372 + 0.002741214/var8 + var13/var10,PySRFunction(X=>var2*var6/0.3333372 + 0.002741214/var8 + var13/var10)
16,0.00033871282,0.03023380463318894,(0.002741214 / sqrt(var2 * var7)) + ((var13 / var10) + ((var6 * var2) / 0.3333372)),2.99996520040368*var2*var6 + 0.002741214/sqrt(var2*var7) + var13/var10,PySRFunction(X=>2.99996520040368*var2*var6 + 0.002741214/sqrt(var2*var7) + var13/var10)
18,0.00012410033,0.5020311291798947,((var13 / var10) + ((3.0000064 * var6) * var2)) + (((log(var2) / -1.1729813) + 1.0420032) * 3.8466285e-5),3.0000064*var2*var6 - 3.27936046380279e-5*log(var2) + 4.0081992062112e-5 + var13/var10,PySRFunction(X=>3.0000064*var2*var6 - 3.27936046380279e-5*log(var2) + 4.0081992062112e-5 + var13/var10)
