complexity,loss,score,equation,sympy_format,lambda_format
1,61.529892,0.0,var11,var11,PySRFunction(X=>var11)
2,26.601398,0.8385593347119207,myfunction(55.849075),55.8490750000000,PySRFunction(X=>55.8490750000000)
4,25.256592,0.025938289920976965,myfunction(var6 - -50.877193),var6 - 1*(-50.877193),PySRFunction(X=>var6 - 1*(-50.877193))
6,23.944548,0.0266732669657105,myfunction((45.89613 + var6) + var6),var6 + var6 + 45.89613,PySRFunction(X=>var6 + var6 + 45.89613)
8,22.670956,0.02732801156242116,myfunction((var6 - -40.927673) + (var6 + var6)),var6 + var6 + var6 - 1*(-40.927673),PySRFunction(X=>var6 + var6 + var6 - 1*(-40.927673))
10,21.442667,0.027850955888153332,((var6 - -35.953495) + (var6 + var6)) + myfunction(var6),var6 + var6 + var6 + var6 - 1*(-35.953495),PySRFunction(X=>var6 + var6 + var6 + var6 - 1*(-35.953495))
11,20.533161,0.04334153314406701,var13 + (((var6 + (var6 + var6)) - -34.4272) + var6),var13 + var6 + var6 + var6 + var6 - 1*(-34.4272),PySRFunction(X=>var13 + var6 + var6 + var6 + var6 - 1*(-34.4272))
12,20.267921,0.013001799142817785,myfunction(((var6 + (var6 + var6)) - -30.979332) + (var6 + var6)),var6 + var6 + var6 + var6 + var6 - 1*(-30.979332),PySRFunction(X=>var6 + var6 + var6 + var6 + var6 - 1*(-30.979332))
13,19.21133,0.053539180678779115,((var6 + ((var6 + (var6 - -27.45407)) + var6)) + var6) + var6,var6 + var6 + var6 + var6 + var6 + var6 - 1*(-27.45407),PySRFunction(X=>var6 + var6 + var6 + var6 + var6 + var6 - 1*(-27.45407))
14,19.156574,0.0028542626239845435,myfunction((((var6 + var6) + var6) - ((-26.00459 - var6) - var6)) + var6),var6 + var6 + var6 + var6 - (-var6 - var6 - 26.00459),PySRFunction(X=>var6 + var6 + var6 + var6 - (-var6 - var6 - 26.00459))
15,18.22957,0.049600945614180714,var6 + (((var13 + var6) + var6) + ((24.478085 + (var6 + var6)) + var6)),var13 + var6 + var6 + var6 + var6 + var6 + var6 + 24.478085,PySRFunction(X=>var13 + var6 + var6 + var6 + var6 + var6 + var6 + 24.478085)
16,18.12029,0.006012696017464143,myfunction(var6 + (var6 + ((var6 + var6) - (((-21.029987 - var6) - var6) - var6)))),var6 + var6 + var6 + var6 - (-var6 - var6 - var6 - 21.029987),PySRFunction(X=>var6 + var6 + var6 + var6 - (-var6 - var6 - var6 - 21.029987))
17,17.172667,0.05371331299238258,(var6 + ((((var6 + var6) + var6) + ((var6 + var6) + var6)) + var6)) - -16.055548,var6 + var6 + var6 + var6 + var6 + var6 + var6 + var6 - 1*(-16.055548),PySRFunction(X=>var6 + var6 + var6 + var6 + var6 + var6 + var6 + var6 - 1*(-16.055548))
19,16.059454,0.033510640739022664,var6 + ((var6 + (var6 + ((((var3 + var6) + (var6 + var6)) + var6) + var6))) + var6),var3 + var6 + var6 + var6 + var6 + var6 + var6 + var6 + var6 + var6,PySRFunction(X=>var3 + var6 + var6 + var6 + var6 + var6 + var6 + var6 + var6 + var6)
