complexity,loss,score,equation,sympy_format,lambda_format
2,56.8013,0.0,myfunction(var6),var6,PySRFunction(X=>var6)
3,47.134094,0.18656260951114054,var6 + 11.081155,var6 + 11.081155,PySRFunction(X=>var6 + 11.081155)
5,42.2597,0.05458134501339248,var6 - (-11.081159 - var6),var6 - (-var6 - 11.081159),PySRFunction(X=>var6 - (-var6 - 11.081159))
6,42.259144,1.3156829263104295e-05,myfunction((var6 - -11.081831) + var6),var6 + var6 - 1*(-11.081831),PySRFunction(X=>var6 + var6 - 1*(-11.081831))
7,37.48115,0.11998261649149329,((var6 + var6) + var6) - -11.080851,var6 + var6 + var6 - 1*(-11.080851),PySRFunction(X=>var6 + var6 + var6 - 1*(-11.080851))
8,37.480373,2.0730635369469334e-05,myfunction(var6 + ((var6 + var6) - -11.081831)),var6 + var6 + var6 - 1*(-11.081831),PySRFunction(X=>var6 + var6 + var6 - 1*(-11.081831))
9,32.83947,0.13218626369614728,((var6 + var6) + var6) - (-11.081159 - var6),var6 + var6 + var6 - (-var6 - 11.081159),PySRFunction(X=>var6 + var6 + var6 - (-var6 - 11.081159))
10,29.252897,0.11565253409043953,myfunction(var6 + ((var6 + (var6 + var6)) - -16.05535)),var6 + var6 + var6 + var6 - 1*(-16.05535),PySRFunction(X=>var6 + var6 + var6 + var6 - 1*(-16.05535))
11,27.552183,0.05989684129917528,(((var6 + var6) - (-16.055687 - var6)) + var6) + var13,var13 + var6 + var6 + var6 - (-var6 - 16.055687),PySRFunction(X=>var13 + var6 + var6 + var6 - (-var6 - 16.055687))
12,26.124733,0.05319928007226942,myfunction((var6 + var6) - ((-9.285392 - var6) + (-11.744712 - var6))),var6 + var6 - (-var6 - var6 - 11.744712 - 9.285392),PySRFunction(X=>var6 + var6 - (-var6 - var6 - 11.744712 - 9.285392))
13,23.534037,0.10443473390313214,((((var6 + var6) + var6) - (-16.055687 - var6)) + var6) + var13,var13 + var6 + var6 + var6 + var6 - (-var6 - 16.055687),PySRFunction(X=>var13 + var6 + var6 + var6 + var6 - (-var6 - 16.055687))
14,19.156576,0.20580170529770725,((myfunction(var6) - ((-26.004654 - (var6 + var6)) - var6)) + var6) + var6,var6 + var6 + var6 - (-var6 - (var6 + var6) - 26.004654),PySRFunction(X=>var6 + var6 + var6 - (-var6 - (var6 + var6) - 26.004654))
15,18.12029,0.05561374603444138,(((var6 + (var6 + (var6 + var6))) - (-21.030214 - var6)) + var6) + var6,var6 + var6 + var6 + var6 + var6 + var6 - (-var6 - 21.030214),PySRFunction(X=>var6 + var6 + var6 + var6 + var6 + var6 - (-var6 - 21.030214))
17,17.172667,0.02685665649619129,(((var6 + var6) + (var6 + (var6 + (var6 + var6)))) - (-16.055687 - var6)) + var6,var6 + var6 + var6 + var6 + var6 + var6 + var6 - (-var6 - 16.055687),PySRFunction(X=>var6 + var6 + var6 + var6 + var6 + var6 + var6 - (-var6 - 16.055687))
19,16.312382,0.02569727028455945,var13 + ((((var6 + ((var6 + var6) + var6)) + (var6 + var6)) - (-16.055687 - var6)) + var6),var13 + var6 + var6 + var6 + var6 + var6 + var6 + var6 - (-var6 - 16.055687),PySRFunction(X=>var13 + var6 + var6 + var6 + var6 + var6 + var6 + var6 - (-var6 - 16.055687))
20,16.240793,0.004398287749628625,myfunction(((((var6 + (((var6 + var6) + var6) + (var6 + var6))) + var6) + var6) - -14.529939) + var13),var13 + var6 + var6 + var6 + var6 + var6 + var6 + var6 + var6 - 1*(-14.529939),PySRFunction(X=>var13 + var6 + var6 + var6 + var6 + var6 + var6 + var6 + var6 - 1*(-14.529939))
