complexity,loss,score,equation,sympy_format,lambda_format
1,56.336384,0.0,var1,var1,PySRFunction(X=>var1)
2,26.558617,0.7519863261654808,myfunction(55.828667),55.8286670000000,PySRFunction(X=>55.8286670000000)
3,25.21537,0.05190052324306631,50.854156 + var6,var6 + 50.854156,PySRFunction(X=>var6 + 50.854156)
4,25.215368,7.931670557379245e-08,myfunction(var6 + 50.854046),var6 + 50.854046,PySRFunction(X=>var6 + 50.854046)
5,23.905113,0.05336128079815293,(var6 + 45.879585) + var6,var6 + var6 + 45.879585,PySRFunction(X=>var6 + var6 + 45.879585)
7,22.633583,0.02732879617395499,var6 + (var6 - (-40.909534 - var6)),var6 + var6 - (-var6 - 40.909534),PySRFunction(X=>var6 + var6 - (-var6 - 40.909534))
8,22.633581,8.836427225102988e-08,myfunction(var6 - (-40.90459 - (var6 + var6))),var6 - (-(var6 + var6) - 40.90459),PySRFunction(X=>var6 - (-(var6 + var6) - 40.90459))
9,21.732054,0.04064637489805451,(var13 - ((-39.37843 - var6) - var6)) + var6,var13 + var6 - (-var6 - var6 - 39.37843),PySRFunction(X=>var13 + var6 - (-var6 - var6 - 39.37843))
10,21.407677,0.015038717486851545,myfunction(var6 + (var6 + ((var6 + var6) + 35.930614))),var6 + var6 + var6 + var6 + 35.930614,PySRFunction(X=>var6 + var6 + var6 + var6 + 35.930614)
11,20.23569,0.05630171893505832,(var6 + ((var6 + (var6 + var6)) + var6)) - -30.957802,var6 + var6 + var6 + var6 + var6 - 1*(-30.957802),PySRFunction(X=>var6 + var6 + var6 + var6 + var6 - 1*(-30.957802))
12,20.235687,1.4825292471257686e-07,myfunction(var6 - (-30.955677 - ((var6 + (var6 + var6)) + var6))),var6 - (-(var6 + var6 + var6 + var6) - 30.955677),PySRFunction(X=>var6 - (-(var6 + var6 + var6 + var6) - 30.955677))
13,19.127531,0.056319018000641784,((var6 + (((var6 + var6) + var6) + var6)) - -25.981636) + var6,var6 + var6 + var6 + var6 + var6 + var6 - 1*(-25.981636),PySRFunction(X=>var6 + var6 + var6 + var6 + var6 + var6 - 1*(-25.981636))
15,18.094938,0.027748240088385074,((var6 + (var6 - (-21.005335 - (var6 + (var6 + var6))))) + var6) + var6,var6 + var6 + var6 + var6 - (-(var6 + var6 + var6) - 21.005335),PySRFunction(X=>var6 + var6 + var6 + var6 - (-(var6 + var6 + var6) - 21.005335))
17,17.151562,0.026771491233613547,((var6 + var6) + (var6 + (var6 - (-16.03214 - ((var6 + var6) + var6))))) + var6,var6 + var6 + var6 + var6 + var6 - (-(var6 + var6 + var6) - 16.03214),PySRFunction(X=>var6 + var6 + var6 + var6 + var6 - (-(var6 + var6 + var6) - 16.03214))
18,17.15156,1.1660746204586944e-07,myfunction(((var6 + (var6 + var6)) + ((var6 + ((var6 + var6) + var6)) + var6)) - -16.032537),var6 + var6 + var6 + var6 + var6 + var6 + var6 + var6 - 1*(-16.032537),PySRFunction(X=>var6 + var6 + var6 + var6 + var6 + var6 + var6 + var6 - 1*(-16.032537))
19,16.035479,0.06728542672065753,((((var6 + var6) + var3) + (var6 + var6)) + ((var6 + var6) + (var6 + var6))) + var6,var3 + var6 + var6 + var6 + var6 + var6 + var6 + var6 + var6 + var6,PySRFunction(X=>var3 + var6 + var6 + var6 + var6 + var6 + var6 + var6 + var6 + var6)
