complexity,loss,score,equation,sympy_format,lambda_format
2,54.548687,0.0,myfunction(var3),var3,PySRFunction(X=>var3)
3,48.124626,0.12529962117936022,var3 + var7,var3 + var7,PySRFunction(X=>var3 + var7)
5,42.671238,0.06013445550590919,var3 + (var6 + var3),var3 + var3 + var6,PySRFunction(X=>var3 + var3 + var6)
7,37.798862,0.0606230568925569,((var8 + var1) + var3) + var7,var1 + var3 + var7 + var8,PySRFunction(X=>var1 + var3 + var7 + var8)
8,36.439903,0.03661458587402121,myfunction(var6) + ((var3 + var3) + var3),var3 + var3 + var3 + var6,PySRFunction(X=>var3 + var3 + var3 + var6)
9,21.687878,0.5189109235282251,((var6 + var6) + (var3 - -33.2315)) + var6,var3 + var6 + var6 + var6 - 1*(-33.2315),PySRFunction(X=>var3 + var6 + var6 + var6 - 1*(-33.2315))
10,20.982727,0.03305391149441599,myfunction(var6 - (-36.20427 - ((var6 + var6) + var6))),var6 - (-(var6 + var6 + var6) - 36.20427),PySRFunction(X=>var6 - (-(var6 + var6 + var6) - 36.20427))
11,20.460281,0.025214080911069237,((var6 + var6) + ((var6 + var3) - -28.2565)) + var6,var3 + var6 + var6 + var6 + var6 - 1*(-28.2565),PySRFunction(X=>var3 + var6 + var6 + var6 + var6 - 1*(-28.2565))
12,19.825283,0.03152745222006663,myfunction(((var6 + var6) + ((var6 + var6) + var6)) - -31.229757),var6 + var6 + var6 + var6 + var6 - 1*(-31.229757),PySRFunction(X=>var6 + var6 + var6 + var6 + var6 - 1*(-31.229757))
14,19.289038,0.013710543524775522,myfunction(((var6 + var6) - (-23.28207 - var6)) + ((var6 + var6) + var3)),var3 + var6 + var6 + var6 + var6 - (-var6 - 23.28207),PySRFunction(X=>var3 + var6 + var6 + var6 + var6 - (-var6 - 23.28207))
15,17.72373,0.08463253563527094,(var6 + (var6 - ((((-21.280596 - var6) - var6) - var6) - var6))) + var6,var6 + var6 + var6 - (-var6 - var6 - var6 - var6 - 21.280596),PySRFunction(X=>var6 + var6 + var6 - (-var6 - var6 - var6 - var6 - 21.280596))
17,16.934395,0.022778829419135886,(((((var6 + var6) + var6) + var6) + var6) - (-17.798122 - var6)) + (var6 + var2),var2 + var6 + var6 + var6 + var6 + var6 + var6 - (-var6 - 17.798122),PySRFunction(X=>var2 + var6 + var6 + var6 + var6 + var6 + var6 - (-var6 - 17.798122))
18,16.806318,0.007591873660705525,myfunction(((var6 + ((var6 + (var6 + var6)) + var6)) + ((var6 + var6) + var6)) - -16.30614),var6 + var6 + var6 + var6 + var6 + var6 + var6 + var6 - 1*(-16.30614),PySRFunction(X=>var6 + var6 + var6 + var6 + var6 + var6 + var6 + var6 - 1*(-16.30614))
19,15.784274,0.06274075921976513,var6 + ((((var6 + var6) + var6) + var6) + ((var6 + (var6 + var6)) + (var6 + var3))),var3 + var6 + var6 + var6 + var6 + var6 + var6 + var6 + var6 + var6,PySRFunction(X=>var3 + var6 + var6 + var6 + var6 + var6 + var6 + var6 + var6 + var6)
