complexity,loss,score,equation,sympy_format,lambda_format
1,56.38388,0.0,var1,var1,PySRFunction(X=>var1)
2,26.826883,0.7427788202819997,myfunction(55.738754),55.7387540000000,PySRFunction(X=>55.7387540000000)
3,26.732405,0.0035279818504896357,56.074696 - var12,56.074696 - var12,PySRFunction(X=>56.074696 - var12)
4,14.924136,0.582896731759852,myfunction(var6 / 0.08734893),var6/0.08734893,PySRFunction(X=>var6/0.08734893)
6,3.6553257,0.7033972840585239,myfunction((var2 / 0.31836945) * var6),var2*var6/0.31836945,PySRFunction(X=>var2*var6/0.31836945)
7,3.1970425,0.1339590363365238,(var2 * (var6 / 0.33877954)) + var13,var13 + var2*var6/0.33877954,PySRFunction(X=>var13 + var2*var6/0.33877954)
8,2.472755,0.2568932500261922,myfunction((var6 * (3.0508022 * var2)) + var13),var13 + var6*3.0508022*var2,PySRFunction(X=>var13 + var6*3.0508022*var2)
9,2.0458932,0.18949844692249898,(((var6 * var2) / 0.33305597) + var13) + var13,var13 + var13 + var2*var6/0.33305597,PySRFunction(X=>var13 + var13 + var2*var6/0.33305597)
10,1.1342356,0.5898755228860038,myfunction((var6 * (2.9993496 * var2)) + (var13 / var10)),var6*2.9993496*var2 + var13/var10,PySRFunction(X=>var6*2.9993496*var2 + var13/var10)
11,1.1127431,0.01913071582664387,(((var6 / 0.33080274) * var2) + (var13 / var10)) - 0.51145846,var2*var6/0.33080274 - 1*0.51145846 + var13/var10,PySRFunction(X=>var2*var6/0.33080274 - 1*0.51145846 + var13/var10)
12,1.095528,0.015591789208673434,myfunction((var13 / var10) + (((var6 + -0.094878316) / 0.3279735) * var2)),var2*(var6 - 0.094878316)/0.3279735 + var13/var10,PySRFunction(X=>var2*(var6 - 0.094878316)/0.3279735 + var13/var10)
13,1.0954202,9.840488249520053e-05,myfunction((((myfunction(var6) / 0.328078) + -0.28234664) * var2) + (var13 / var10)),var2*(var6/0.328078 - 0.28234664) + var13/var10,PySRFunction(X=>var2*(var6/0.328078 - 0.28234664) + var13/var10)
14,1.0907309,0.00429001196843161,((var6 * (var2 * myfunction(3.0231411))) + (var13 / var10)) + (-0.10399568 * var15),-0.10399568*var15 + var6*var2*3.0231411 + var13/var10,PySRFunction(X=>-0.10399568*var15 + var6*var2*3.0231411 + var13/var10)
15,1.0700622,0.019131244355855885,myfunction(myfunction((((0.051961984 * var15) - (var2 * var6)) * -3.0231419) + (var13 / var10))),(0.051961984*var15 - var2*var6)*(-3.0231419) + var13/var10,PySRFunction(X=>(0.051961984*var15 - var2*var6)*(-3.0231419) + var13/var10)
