complexity,loss,score,equation,sympy_format,lambda_format
2,37.90207,0.0,myfunction(28.86251),28.8625100000000,PySRFunction(X=>28.8625100000000)
3,25.930061,0.37960277597588005,var2 + 52.395794,var2 + 52.395794,PySRFunction(X=>var2 + 52.395794)
5,20.996105,0.10553300385258052,var4 + (var3 * var6),var3*var6 + var4,PySRFunction(X=>var3*var6 + var4)
6,4.4275293,1.5564952359470605,myfunction(2.997293 * (var6 * var2)),2.997293*var2*var6,PySRFunction(X=>2.997293*var2*var6)
8,2.616333,0.26303399465562827,myfunction((2.976757 * (var6 * var2)) + var13),var13 + 2.976757*var2*var6,PySRFunction(X=>var13 + 2.976757*var2*var6)
10,1.6506755,0.23029456049937233,myfunction((var2 * (var6 / 0.34078085)) + (var13 + var13)),var13 + var13 + var2*var6/0.34078085,PySRFunction(X=>var13 + var13 + var2*var6/0.34078085)
11,1.489812,0.10253466057299733,myfunction(myfunction(((2.975245 * var6) * var2) + (1.9425411 * var13))),1.9425411*var13 + 2.975245*var2*var6,PySRFunction(X=>1.9425411*var13 + 2.975245*var2*var6)
12,1.3416183,0.10477336563688171,myfunction(((var13 / (var10 * var2)) + (var6 * var2)) * 2.997293),(var13/((var10*var2)) + var2*var6)*2.997293,PySRFunction(X=>(var13/((var10*var2)) + var2*var6)*2.997293)
14,0.7782029,0.27232228187667623,myfunction(2.997289 * (((var13 / 0.74928653) / (var2 * var10)) + (var6 * var2))),2.997289*(var13/(0.74928653*((var10*var2))) + var2*var6),PySRFunction(X=>2.997289*(var13/(0.74928653*((var10*var2))) + var2*var6))
16,0.68515843,0.06366859545018652,myfunction(((var6 * var2) + ((var13 / 0.7492904) / ((var2 * var10) + var12))) * 2.997293),(var13/(0.7492904*(var10*var2 + var12)) + var2*var6)*2.997293,PySRFunction(X=>(var13/(0.7492904*(var10*var2 + var12)) + var2*var6)*2.997293)
18,0.49708596,0.16044356365197038,myfunction((((var2 / (0.7129601 - 0.22436042)) * var6) + (var2 * var6)) - ((var10 - var13) / var10)),var2*var6 + var2*var6/(0.7129601 - 1*0.22436042) - (var10 - var13)/var10,PySRFunction(X=>var2*var6 + var2*var6/(0.7129601 - 1*0.22436042) - (var10 - var13)/var10)
20,0.46045607,0.03827275702557859,myfunction((((var2 / (0.7129601 - 0.22436042)) * var6) + ((var2 * var6) + var9)) - ((var10 - var13) / var10)),var2*var6 + var2*var6/(0.7129601 - 1*0.22436042) + var9 - (var10 - var13)/var10,PySRFunction(X=>var2*var6 + var2*var6/(0.7129601 - 1*0.22436042) + var9 - (var10 - var13)/var10)
