chem,equation,parital derivative w/ respect to chem,integrated_derivative,complexity,loss,score,sympy_format,lambda_format,Dataset,Directory
var13,((((var6 * 2.6794329) * var2) + (var3 + var13)) + var13) + 0.16662271,2,17.336064454358603,13.0,4.832089,0.1487322293931763,var13 + var13 + var6*2.6794329*var2 + var3 + 0.16662271,PySRFunction(X=>var13 + var13 + var6*2.6794329*var2 + var3 + 0.16662271),Noise=0.5,high
var13,(-1.0870528 + ((((var6 * 2.6794329) * var2) + (var3 + var13)) + var13)) - 0.55600303,2,17.336064454358603,15.0,3.9753556,0.0975823380562484,var13 + var13 + var6*2.6794329*var2 + var3 - 1.0870528 - 1*0.55600303,PySRFunction(X=>var13 + var13 + var6*2.6794329*var2 + var3 - 1.0870528 - 1*0.55600303),Noise=0.5,high
var13,((var13 + ((var3 + var13) + ((2.6794329 * var6) * var2))) - sqrt(var1)) + -0.11975962,2,17.336064454358603,16.0,3.735223,0.0623066809334636,-sqrt(var1) + 2*var13 + 2.6794329*var2*var6 + var3 - 0.11975962,PySRFunction(X=>-sqrt(var1) + 2*var13 + 2.6794329*var2*var6 + var3 - 0.11975962),Noise=0.5,high
var13,((var2 + (((var3 + 0.74340576) + var13) + (var2 * (2.6794329 * var6)))) - var3) + var13,2,17.336064454358603,17.0,2.7339842,0.3120475630843147,var13 + var13 + var2*2.6794329*var6 + var2 - var3 + var3 + 0.74340576,PySRFunction(X=>var13 + var13 + var2*2.6794329*var6 + var2 - var3 + var3 + 0.74340576),Noise=0.5,high
var13,((var2 + (((var3 + sqrt(0.74340576)) + var13) + (var2 * (2.6794329 * var6)))) - var3) + var13,2,17.336064454358603,18.0,2.6972406,0.0135307087945956,2*var13 + 2.6794329*var2*var6 + var2 + 0.862209812052728,PySRFunction(X=>2*var13 + 2.6794329*var2*var6 + var2 + 0.862209812052728),Noise=0.5,high
var13,((var2 + (((var3 + 0.74340576) + var13) + (var2 * (2.6794329 * var6)))) - (var3 + -1.3986633)) + var13,2,17.336064454358603,19.0,2.6297057,0.0253573116246005,var13 + var13 + var2*2.6794329*var6 + var2 + var3 - (var3 - 1.3986633) + 0.74340576,PySRFunction(X=>var13 + var13 + var2*2.6794329*var6 + var2 + var3 - (var3 - 1.3986633) + 0.74340576),Noise=0.5,high
var13,(((var2 + (((var3 + -1.5769128) + var13) + (var2 * (var6 * 2.9134398)))) - var3) - log(2.5714607)) + var13,2,17.336064454358603,20.0,1.6842571,0.4455473624116436,2*var13 + 2.9134398*var2*var6 + var2 - 2.52138690320724,PySRFunction(X=>2*var13 + 2.9134398*var2*var6 + var2 - 2.52138690320724),Noise=0.5,high
var13,((3.01185 * var6) * var2) + var13,1,8.668032227179301,7.0,2.2963305,2.142055122765725,var13 + 3.01185*var2*var6,PySRFunction(X=>var13 + 3.01185*var2*var6),Noise=0.5,high
var13,(((3.01185 * var6) * var2) + var13) + var13,2,17.336064454358603,9.0,1.7016902,0.1498452108296926,var13 + var13 + 3.01185*var2*var6,PySRFunction(X=>var13 + var13 + 3.01185*var2*var6),Noise=0.5,high
var13,((var13 / var10) + (var2 * (var6 * 3.033896))) + -0.85596937,1/var10,12.300509102747341,11.0,0.5257904,0.5872373085887521,var2*var6*3.033896 - 0.85596937 + var13/var10,PySRFunction(X=>var2*var6*3.033896 - 0.85596937 + var13/var10),Noise=0.5,high
