chem,equation,parital derivative w/ respect to chem,integrated_derivative,complexity,loss,score,sympy_format,lambda_format,Dataset,Directory
var13,var2 + (var2 + (var13 + (var6 * (var6 + var2)))),1,8.668032227179301,11.0,9.103251,0.0520565708979923,var13 + var2 + var2 + var6*(var2 + var6),PySRFunction(X=>var13 + var2 + var2 + var6*(var2 + var6)),Noise=2,high
var13,(var2 * (((var6 - (-1.0465488 - var6)) + (var6 + log(0.34451705))) + var9)) + var13,1,8.668032227179301,16.0,2.959534,0.1601079781958002,var13 + var2*(3*var6 + var9 - 0.0190628977356968),PySRFunction(X=>var13 + var2*(3*var6 + var9 - 0.0190628977356968)),Noise=2,high
var13,(var2 * (((var6 + log(0.34451705)) + (var6 - (-1.0465488 - var6))) + sqrt(var9))) + var13,1,8.668032227179301,17.0,2.9488158,0.0036281574789088,var13 + var2*(3*var6 + sqrt(var9) - 0.0190628977356968),PySRFunction(X=>var13 + var2*(3*var6 + sqrt(var9) - 0.0190628977356968)),Noise=2,high
var13,(var2 + ((((var2 - -0.68384165) - (log(var10) - (var2 / 0.6027088))) * var6) + -0.762565)) + var13,1,8.668032227179301,18.0,2.4633856,0.1798670021019607,var13 + var2 + var6*(2.65917603990517*var2 - log(var10) + 0.68384165) - 0.762565,PySRFunction(X=>var13 + var2 + var6*(2.65917603990517*var2 - log(var10) + 0.68384165) - 0.762565),Noise=2,high
var13,((((((var2 - -0.92841655) - (log(var10) - (var2 / 0.6027088))) * var6) + -1.6220764) + -0.762565) + var2) + var13,1,8.668032227179301,20.0,2.4552152,0.0016611243414901,var13 + var2 + var6*(2.65917603990517*var2 - log(var10) + 0.92841655) - 2.3846414,PySRFunction(X=>var13 + var2 + var6*(2.65917603990517*var2 - log(var10) + 0.92841655) - 2.3846414),Noise=2,high
var13,var13 + 54.575706,1,8.668032227179301,3.0,25.240732,0.8544845789002833,var13 + 54.575706,PySRFunction(X=>var13 + 54.575706),Noise=2,high
var13,(var13 + (var6 * (var2 / 0.34164152))) + var5,1,8.668032227179301,9.0,3.206763,0.3736486186396705,var13 + var2*var6/0.34164152 + var5,PySRFunction(X=>var13 + var2*var6/0.34164152 + var5),Noise=2,high
var13,(var13 + ((var2 / 0.34207046) * var6)) - log(0.18041806),1,8.668032227179301,10.0,3.2024367,0.0013500283528642,var13 + 2.92337432469322*var2*var6 + 1.71247856549963,PySRFunction(X=>var13 + 2.92337432469322*var2*var6 + 1.71247856549963),Noise=2,high
var13,((var13 / var10) + ((var2 / 0.34207046) * var6)) + 1.6331385,1/var10,12.300509102747341,11.0,1.9444007,0.4989581825881162,var2*var6/0.34207046 + 1.6331385 + var13/var10,PySRFunction(X=>var2*var6/0.34207046 + 1.6331385 + var13/var10),Noise=2,high
var13,(((var2 / 0.34164152) * var6) + (var13 / var10)) + log(4.632474),1/var10,12.300509102747341,12.0,1.9438854,0.0002650525140198,2.92704469878251*var2*var6 + 1.53309106664139 + var13/var10,PySRFunction(X=>2.92704469878251*var2*var6 + 1.53309106664139 + var13/var10),Noise=2,high
