chem,equation,parital derivative w/ respect to chem,integrated_derivative,complexity,loss,score,sympy_format,lambda_format,Dataset,Directory
var2,myfunction(var6 * (var6 + var2)),var6,93.39697239614974,6.0,15.019731,0.0141432416346017,var6*(var2 + var6),PySRFunction(X=>var6*(var2 + var6)),No_noise_all_var,med
var2,(var6 + var11) * (var6 + var2),var11 + var6,73.31646490444089,7.0,13.434606,0.111530821470428,(var11 + var6)*(var2 + var6),PySRFunction(X=>(var11 + var6)*(var2 + var6)),No_noise_all_var,med
var2,myfunction((var2 * 2.581347) * (-0.04211813 + var6)),2.581347*var6 - 0.10872150852111,239.1511600348434,8.0,11.883355,0.1226952337786828,var2*2.581347*(var6 - 0.04211813),PySRFunction(X=>var2*2.581347*(var6 - 0.04211813)),No_noise_all_var,med
var2,((myfunction(var2) - -1.4524927) * 2.581347) * (-0.45731953 + var6),2.581347*var6 - 1.18050039680691,220.03808958480457,10.0,5.907111,0.3494909010296473,(var2 - 1*(-1.4524927))*2.581347*(var6 - 0.45731953),PySRFunction(X=>(var2 - 1*(-1.4524927))*2.581347*(var6 - 0.45731953)),No_noise_all_var,med
var2,myfunction((((myfunction(var2) - -1.4524927) * 2.581347) * 0.97619164) * (-0.45731953 + var6)),2.51988936133908*var6 - 1.15239461837959,214.79934353425722,13.0,5.3805614,0.0311213870803659,(var2 - 1*(-1.4524927))*2.581347*0.97619164*(var6 - 0.45731953),PySRFunction(X=>(var2 - 1*(-1.4524927))*2.581347*0.97619164*(var6 - 0.45731953)),No_noise_all_var,med
var2,((((myfunction(var2) - -1.4524927) * 2.581347) * (0.97619164 * 0.8950292)) * var6) + var13,2.25537455916783*var6,210.64515544557628,14.0,4.584161,0.1601856172123294,var13 + (var2 - 1*(-1.4524927))*2.581347*0.97619164*0.8950292*var6,PySRFunction(X=>var13 + (var2 - 1*(-1.4524927))*2.581347*0.97619164*0.8950292*var6),No_noise_all_var,med
var2,myfunction(myfunction(var13 + ((((var6 + 0.7078832) + var6) + (var6 - var10)) * var2))),-var10 + 3*var6 + 0.7078832,213.49518558772925,15.0,2.1035452,0.7789829891459468,var13 + var2*(-var10 + var6 + var6 + var6 + 0.7078832),PySRFunction(X=>var13 + var2*(-var10 + var6 + var6 + var6 + 0.7078832)),No_noise_all_var,med
var2,myfunction(var13 + myfunction(var13 + ((((var6 + 0.7078832) + var6) + (var6 - var10)) * var2))),-var10 + 3*var6 + 0.7078832,213.49518558772925,17.0,1.1704295,0.2931266681747683,var13 + (var13 + var2*(-var10 + var6 + var6 + var6 + 0.7078832)),PySRFunction(X=>var13 + (var13 + var2*(-var10 + var6 + var6 + var6 + 0.7078832))),No_noise_all_var,med
var2,myfunction(var13 + (var13 + (((var6 - var10) + (myfunction(myfunction(var6 + 0.62920046)) + var6)) * myfunction(var2)))),-var10 + 3*var6 + 0.62920046,212.43193349064734,19.0,1.1358887,0.0149777176586433,var13 + var13 + var2*(-var10 + var6 + var6 + (var6 + 0.62920046)),PySRFunction(X=>var13 + var13 + var2*(-var10 + var6 + var6 + (var6 + 0.62920046))),No_noise_all_var,med
var2,myfunction((var13 * 0.9608005) + (var13 + (var2 * (myfunction((var6 + 0.7078832) + var6) + (myfunction(var6) - var10))))),-var10 + 3*var6 + 0.7078832,213.49518558772925,20.0,1.1355939,0.0002595661544184,var13*0.9608005 + var13 + var2*(-var10 + var6 + (var6 + var6 + 0.7078832)),PySRFunction(X=>var13*0.9608005 + var13 + var2*(-var10 + var6 + (var6 + var6 + 0.7078832))),No_noise_all_var,med
