chem,equation,parital derivative w/ respect to chem,integrated_derivative,complexity,loss,score,sympy_format,lambda_format,Dataset,Directory
var12,myfunction(((var13 / var10) + var10) + (var2 * myfunction(var6 * 2.9580061))) - var12,-1,-0.992567210622146,15.0,1.2421848,0.016717044462402,-var12 + (var10 + var2*(var6*2.9580061) + var13/var10),PySRFunction(X=>-var12 + (var10 + var2*(var6*2.9580061) + var13/var10)),Noise=1.5,med
var12,myfunction(((var13 / var10) + var10) + (var2 * myfunction(var6 * 2.9580061))) - var12,-1,-0.992567210622146,15.0,1.2421848,0.016717044462402,-var12 + (var10 + var2*(var6*2.9580061) + var13/var10),PySRFunction(X=>-var12 + (var10 + var2*(var6*2.9580061) + var13/var10)),Noise=1.5,med
var12,myfunction(((var13 / var10) + var10) + (var2 * myfunction(var6 * 2.9580061))) - var12,-1,-0.992567210622146,15.0,1.2421848,0.016717044462402,-var12 + (var10 + var2*(var6*2.9580061) + var13/var10),PySRFunction(X=>-var12 + (var10 + var2*(var6*2.9580061) + var13/var10)),Noise=1.5,med
var12,myfunction(((var13 / var10) + var10) + (var2 * myfunction(var6 * 2.9580061))) - var12,-1,-0.992567210622146,15.0,1.2421848,0.016717044462402,-var12 + (var10 + var2*(var6*2.9580061) + var13/var10),PySRFunction(X=>-var12 + (var10 + var2*(var6*2.9580061) + var13/var10)),Noise=1.5,med
var12,myfunction(((var13 / var10) + var10) + (var2 * myfunction(var6 * 2.9580061))) - var12,-1,-0.992567210622146,15.0,1.2421848,0.0144320013002725,-var12 + (var10 + var2*(var6*2.9580061) + var13/var10),PySRFunction(X=>-var12 + (var10 + var2*(var6*2.9580061) + var13/var10)),Noise=1.5,med
var12,myfunction(((var13 / var10) + var10) + (var2 * myfunction(var6 * 2.9580061))) - var12,-1,-0.992567210622146,15.0,1.2421848,0.0144320013002725,-var12 + (var10 + var2*(var6*2.9580061) + var13/var10),PySRFunction(X=>-var12 + (var10 + var2*(var6*2.9580061) + var13/var10)),Noise=1.5,med
var12,myfunction((var10 + myfunction((var13 / var10) + ((2.9580061 * var6) * myfunction(var2)))) - var12),-1,-0.992567210622146,16.0,1.2421845,0.0036155427760419,var10 - var12 + (2.9580061*var2*var6 + var13/var10),PySRFunction(X=>var10 - var12 + (2.9580061*var2*var6 + var13/var10)),Noise=1.5,med
var12,myfunction((var10 + myfunction((var13 / var10) + ((2.9580061 * var6) * myfunction(var2)))) - var12),-1,-0.992567210622146,16.0,1.2421845,0.0036155427760419,var10 - var12 + (2.9580061*var2*var6 + var13/var10),PySRFunction(X=>var10 - var12 + (2.9580061*var2*var6 + var13/var10)),Noise=1.5,med
var2,(var7 + var2) * var6,var6,93.39697239614974,5.0,14.007634,0.2102924500896337,var6*(var2 + var7),PySRFunction(X=>var6*(var2 + var7)),Noise=1.5,med
var2,myfunction((var2 * 2.581347) * (-0.04211813 + var6)),2.581347*var6 - 0.10872150852111,239.1511600348434,8.0,11.661563,0.0611014155830516,var2*2.581347*(var6 - 0.04211813),PySRFunction(X=>var2*2.581347*(var6 - 0.04211813)),Noise=1.5,med
