chem,var_importance,tot_instances,uniq_instances
<<<<<<< HEAD
var2,16269.751212415555,3227,138
var6,4809.978962232484,3702,141
var13,229.85016496485753,3669,134
var11,24.211672328538615,28,8
var9,1.0,1,1
var5,0.2999390915862915,3,3
var7,0.173716797481134,13,3
var1,1.8176981310515892e-05,2,2
var8,-0.00015824550868331533,14,1
var12,-3.435142124277281,2,2
var10,-16431.861330602947,2357,86
=======
var2,16269.751212415553,3227,138
var6,4825.4535642599985,4202,147
var13,229.85016496485753,3669,134
var11,24.211672328538615,28,8
var9,2.9232297309239046,3,3
var7,1.173716797481134,152,4
var5,0.2999390915862915,3,3
var1,1.8176981310515892e-05,2,2
var8,-0.00015824550868331533,14,1
var12,-3.435142124277281,2,2
var10,-16431.19089980594,2360,87
>>>>>>> dc43e259b8bec7d5a480553cd54821c0bf72e68b
