chem,var_importance,tot_instances,uniq_instances
<<<<<<< HEAD
var2,40543.331432453364,4491,128
var6,4168.289920986344,4491,128
var13,325.55024201184403,3991,125
var9,1.006964136127545,85,2
var3,0.49566213927845226,773,29
var4,0.29496150188567266,23,3
var12,0.09350194667357808,4,2
var15,0.0,286,4
var1,-0.01884515434429946,292,5
var11,-3.9182511918242806,182,3
var10,-26821.548179860485,3401,107
=======
var2,40544.152927998286,4504,131
var6,4174.289920986344,4995,134
var13,325.5502420118435,3991,125
var9,1.006964136127545,85,2
var7,1.0,459,1
var15,1.0,309,5
var3,0.4956621392784496,773,29
var4,0.29496150188567044,23,3
var12,0.09350194667357808,4,2
var1,-0.01884515434429946,292,5
var11,-3.9182511918242806,182,3
var10,-26821.54817986036,3401,107
>>>>>>> dc43e259b8bec7d5a480553cd54821c0bf72e68b
