complexity,loss,score,equation,sympy_format,lambda_format
1,54.5692,0.0,var3,var3,PySRFunction(X=>var3)
2,26.601397,0.7185058878154633,sqrt(3119.3206),55.8508782383948,PySRFunction(X=>55.8508782383948)
3,14.849478,0.5829990200898539,var6 * 11.485794,var6*11.485794,PySRFunction(X=>var6*11.485794)
5,3.3847778,0.739338225723338,(var6 * var2) / 0.31829947,var2*var6/0.31829947,PySRFunction(X=>var2*var6/0.31829947)
7,2.0840871,0.2424786720127914,var13 + (var6 * (var2 * 3.0555723)),var13 + var6*var2*3.0555723,PySRFunction(X=>var13 + var6*var2*3.0555723)
9,3.6414876e-06,6.628724598063939,((var2 * var6) * 3.0) + (var13 / var10),var2*var6*3.0 + var13/var10,PySRFunction(X=>var2*var6*3.0 + var13/var10)
11,3.5708704e-06,0.009791451940610449,((var2 * var6) * 3.0) + ((var13 / var10) + -3.988771e-7),var2*var6*3.0 - 3.988771e-7 + var13/var10,PySRFunction(X=>var2*var6*3.0 - 3.988771e-7 + var13/var10)
13,3.0784631e-06,0.07418944832917333,(((var2 * var6) * 3.0) + ((var13 / var10) - -0.31732467)) + -0.31732467,var2*var6*3.0 - 0.31732467 - 1*(-0.31732467) + var13/var10,PySRFunction(X=>var2*var6*3.0 - 0.31732467 - 1*(-0.31732467) + var13/var10)
15,3.006722e-06,0.01179001507777373,((var2 * 1.5084516) * var6) + (((var2 * 1.4915484) * var6) + (var13 / var10)),var2*1.4915484*var6 + var2*1.5084516*var6 + var13/var10,PySRFunction(X=>var2*1.4915484*var6 + var2*1.5084516*var6 + var13/var10)
19,2.8578422e-06,0.012695896059340668,(((var2 * 1.5084516) * var6) + ((((var2 * 1.4915484) * var6) + (var13 / var10)) + 1.5084516)) - 1.5084516,var2*1.4915484*var6 + var2*1.5084516*var6 - 1*1.5084516 + 1.5084516 + var13/var10,PySRFunction(X=>var2*1.4915484*var6 + var2*1.5084516*var6 - 1*1.5084516 + 1.5084516 + var13/var10)
