complexity,loss,score,equation,sympy_format,lambda_format
1,54.55708,0.0,chem3,chem3,PySRFunction(X=>chem3)
2,26.606287,0.7180999517973756,sqrt(3117.3794),55.8334971141876,PySRFunction(X=>55.8334971141876)
3,14.838583,0.5839167932390188,chem6 * 11.48361,chem6*11.48361,PySRFunction(X=>chem6*11.48361)
5,3.3577168,0.7429847644101957,chem2 * (3.141059 * chem6),chem2*3.141059*chem6,PySRFunction(X=>chem2*3.141059*chem6)
7,2.0587938,0.24457047092785072,chem13 + ((chem6 * 3.0549557) * chem2),chem13 + chem6*3.0549557*chem2,PySRFunction(X=>chem13 + chem6*3.0549557*chem2)
9,0.21786517,1.1229995855510162,(chem13 / chem10) + ((chem2 * chem6) * 2.9993904),chem2*chem6*2.9993904 + chem13/chem10,PySRFunction(X=>chem2*chem6*2.9993904 + chem13/chem10)
10,0.2178651,3.2129968840191664e-07,((chem2 * chem6) * sqrt(8.996329)) + (chem13 / chem10),2.99938810426393*chem2*chem6 + chem13/chem10,PySRFunction(X=>2.99938810426393*chem2*chem6 + chem13/chem10)
11,0.2148352,0.014004841329843169,(chem13 / (chem10 - -0.004182474)) + ((chem2 * chem6) * 3.0005426),chem13/(chem10 - 1*(-0.004182474)) + chem2*chem6*3.0005426,PySRFunction(X=>chem13/(chem10 - 1*(-0.004182474)) + chem2*chem6*3.0005426)
13,0.21283132,0.0046856477454378705,(chem13 / (chem10 - (-0.047703356 / chem8))) + ((chem2 * chem6) * 3.0009742),chem13/(chem10 - (-1)*0.047703356/chem8) + chem2*chem6*3.0009742,PySRFunction(X=>chem13/(chem10 - (-1)*0.047703356/chem8) + chem2*chem6*3.0009742)
14,0.2068969,0.028279325533002574,(log(chem10) / chem14) + ((3.0022073 * (chem2 * chem6)) + (chem13 / chem10)),3.0022073*chem2*chem6 + log(chem10)/chem14 + chem13/chem10,PySRFunction(X=>3.0022073*chem2*chem6 + log(chem10)/chem14 + chem13/chem10)
15,0.18893285,0.09082894063208594,(((chem6 * chem2) * 3.0000267) + (chem13 / chem10)) + (-0.052759137 / (chem1 - chem15)),chem6*chem2*3.0000267 - 0.052759137/(chem1 - chem15) + chem13/chem10,PySRFunction(X=>chem6*chem2*3.0000267 - 0.052759137/(chem1 - chem15) + chem13/chem10)
17,0.18587214,0.008166321473102804,(((chem6 * chem2) * 3.0000267) + (chem13 / chem10)) + (-0.052759137 / ((chem1 - chem15) + 0.039181277)),chem6*chem2*3.0000267 - 0.052759137/(chem1 - chem15 + 0.039181277) + chem13/chem10,PySRFunction(X=>chem6*chem2*3.0000267 - 0.052759137/(chem1 - chem15 + 0.039181277) + chem13/chem10)
20,0.18584378,5.086321485330613e-05,((3.0000267 * (chem6 * chem2)) + (chem13 / chem10)) + (-0.052759137 / ((chem1 - chem15) + (0.028312875 * log(chem6)))),3.0000267*chem2*chem6 - 0.052759137/(chem1 - chem15 + 0.028312875*log(chem6)) + chem13/chem10,PySRFunction(X=>3.0000267*chem2*chem6 - 0.052759137/(chem1 - chem15 + 0.028312875*log(chem6)) + chem13/chem10)
