complexity,loss,score,equation,sympy_format,lambda_format
1,55.132496,0.0,chem7,chem7,PySRFunction(X=>chem7)
2,39.692497,0.328577128993228,sqrt(692.41943),26.3138638363886,PySRFunction(X=>26.3138638363886)
3,14.857574,0.9826524084927188,chem6 * 11.475497,chem6*11.475497,PySRFunction(X=>chem6*11.475497)
5,3.6978374,0.6953808033054503,(chem6 * 3.1381893) * chem2,chem6*3.1381893*chem2,PySRFunction(X=>chem6*3.1381893*chem2)
7,2.5185437,0.19203366231683694,((chem6 / 0.3276497) * chem2) + chem13,chem13 + chem2*chem6/0.3276497,PySRFunction(X=>chem13 + chem2*chem6/0.3276497)
9,0.95456326,0.4850911000633676,((chem6 / 0.3337206) * chem2) + (chem13 / chem10),chem2*chem6/0.3337206 + chem13/chem10,PySRFunction(X=>chem2*chem6/0.3337206 + chem13/chem10)
11,0.9110685,0.023317914988417447,((chem6 / 0.3347445) * chem2) + (chem13 / (chem10 - 0.030298915)),chem13/(chem10 - 1*0.030298915) + chem2*chem6/0.3347445,PySRFunction(X=>chem13/(chem10 - 1*0.030298915) + chem2*chem6/0.3347445)
13,0.90681857,0.002337844749996989,((chem13 / (chem10 - 0.030549794)) + ((chem6 / 0.33585328) * chem2)) + 0.21839114,chem13/(chem10 - 1*0.030549794) + chem2*chem6/0.33585328 + 0.21839114,PySRFunction(X=>chem13/(chem10 - 1*0.030549794) + chem2*chem6/0.33585328 + 0.21839114)
14,0.88115984,0.028703357357102412,((((chem6 / 0.3329892) * chem2) + -2.8725977) + (chem13 / chem10)) + sqrt(chem7),3.00310040085384*chem2*chem6 + sqrt(chem7) - 2.8725977 + chem13/chem10,PySRFunction(X=>3.00310040085384*chem2*chem6 + sqrt(chem7) - 2.8725977 + chem13/chem10)
15,0.87196755,0.010486829758879808,(((0.4008156 + chem13) / chem10) + (chem2 * (chem6 / 0.33333588))) - (chem4 / chem7),chem2*chem6/0.33333588 - chem4/chem7 + (chem13 + 0.4008156)/chem10,PySRFunction(X=>chem2*chem6/0.33333588 - chem4/chem7 + (chem13 + 0.4008156)/chem10)
16,0.8611725,0.012457377121075542,((chem13 / (chem10 + -0.020719945)) + (((chem6 / 0.3337935) * chem2) + -2.8573306)) + sqrt(chem7),chem13/(chem10 - 0.020719945) + 2.99586420945884*chem2*chem6 + sqrt(chem7) - 2.8573306,PySRFunction(X=>chem13/(chem10 - 0.020719945) + 2.99586420945884*chem2*chem6 + sqrt(chem7) - 2.8573306)
18,0.8376918,0.013822290194020018,(((chem2 * (chem6 / 0.3326457)) + -2.864233) + (chem13 / ((chem10 / 0.85169995) + -0.07532953))) + sqrt(chem7),chem13/(1.17412241247637*chem10 - 0.07532953) + 3.00620149306003*chem2*chem6 + sqrt(chem7) - 2.864233,PySRFunction(X=>chem13/(1.17412241247637*chem10 - 0.07532953) + 3.00620149306003*chem2*chem6 + sqrt(chem7) - 2.864233)
20,0.8359106,0.0010642914186376595,((((chem6 / 0.33278906) * chem2) + -2.864233) + (chem13 / (((chem10 * 0.99069107) / 0.85169995) + -0.07532953))) + sqrt(chem7),chem13/(1.16319258912719*chem10 - 0.07532953) + 3.00490647138461*chem2*chem6 + sqrt(chem7) - 2.864233,PySRFunction(X=>chem13/(1.16319258912719*chem10 - 0.07532953) + 3.00490647138461*chem2*chem6 + sqrt(chem7) - 2.864233)
