complexity,loss,score,equation,sympy_format,lambda_format
1,26.601398,0.0,55.85189,55.8518900000000,PySRFunction(X=>55.8518900000000)
2,26.601397,3.759200998979564e-08,myfunction(55.84933),55.8493300000000,PySRFunction(X=>55.8493300000000)
3,25.25659,0.05187662143719464,chem6 + 50.875675,chem6 + 50.875675,PySRFunction(X=>chem6 + 50.875675)
5,23.944546,0.026673269135247393,(chem6 + 45.902523) + chem6,chem6 + chem6 + 45.902523,PySRFunction(X=>chem6 + chem6 + 45.902523)
7,22.670954,0.027328013908560905,((chem6 - -40.927364) + chem6) + chem6,chem6 + chem6 + chem6 - 1*(-40.927364),PySRFunction(X=>chem6 + chem6 + chem6 - 1*(-40.927364))
9,21.442667,0.027850911778851305,chem6 + ((chem6 + chem6) + (chem6 - -35.95504)),chem6 + chem6 + chem6 + chem6 - 1*(-35.95504),PySRFunction(X=>chem6 + chem6 + chem6 + chem6 - 1*(-35.95504))
10,21.442665,9.32719839341398e-08,chem6 + ((chem6 + myfunction(35.95168)) + (chem6 + chem6)),chem6 + chem6 + chem6 + chem6 + 35.95168,PySRFunction(X=>chem6 + chem6 + chem6 + chem6 + 35.95168)
11,20.267921,0.05634323901490082,chem6 + (((chem6 + chem6) + (chem6 + chem6)) - -30.979107),chem6 + chem6 + chem6 + chem6 + chem6 - 1*(-30.979107),PySRFunction(X=>chem6 + chem6 + chem6 + chem6 + chem6 - 1*(-30.979107))
13,19.156574,0.028196721651381818,((chem6 + ((chem6 + (chem6 + chem6)) + chem6)) - -26.004433) + chem6,chem6 + chem6 + chem6 + chem6 + chem6 + chem6 - 1*(-26.004433),PySRFunction(X=>chem6 + chem6 + chem6 + chem6 + chem6 + chem6 - 1*(-26.004433))
15,18.12029,0.027806820815822426,(((chem6 + chem6) + (chem6 + (chem6 + chem6))) + (chem6 + 21.030214)) + chem6,chem6 + chem6 + chem6 + chem6 + chem6 + chem6 + chem6 + 21.030214,PySRFunction(X=>chem6 + chem6 + chem6 + chem6 + chem6 + chem6 + chem6 + 21.030214)
17,17.172667,0.02685665649619129,((((chem6 + ((chem6 + (chem6 + chem6)) + chem6)) + chem6) - -16.055681) + chem6) + chem6,chem6 + chem6 + chem6 + chem6 + chem6 + chem6 + chem6 + chem6 - 1*(-16.055681),PySRFunction(X=>chem6 + chem6 + chem6 + chem6 + chem6 + chem6 + chem6 + chem6 - 1*(-16.055681))
19,16.240793,0.027896414159373738,((((chem6 + ((chem6 + (chem6 + (chem6 + chem6))) + chem6)) + chem6) - -14.529316) + chem6) + chem13,chem13 + chem6 + chem6 + chem6 + chem6 + chem6 + chem6 + chem6 + chem6 - 1*(-14.529316),PySRFunction(X=>chem13 + chem6 + chem6 + chem6 + chem6 + chem6 + chem6 + chem6 + chem6 - 1*(-14.529316))
