complexity,loss,score,equation,sympy_format,lambda_format
1,26.416433,0.0,56.19634,56.1963400000000,PySRFunction(X=>56.1963400000000)
3,25.087084,0.025816573301223274,51.226456 + chem6,chem6 + 51.226456,PySRFunction(X=>chem6 + 51.226456)
5,23.792446,0.026492498341419812,(chem6 - -46.246895) + chem6,chem6 + chem6 - 1*(-46.246895),PySRFunction(X=>chem6 + chem6 - 1*(-46.246895))
7,22.538502,0.02707154428162169,((chem6 + chem6) + chem6) - -41.277275,chem6 + chem6 + chem6 - 1*(-41.277275),PySRFunction(X=>chem6 + chem6 + chem6 - 1*(-41.277275))
9,21.332432,0.02749825148837819,((chem6 - -36.299732) + chem6) + (chem6 + chem6),chem6 + chem6 + chem6 + chem6 - 1*(-36.299732),PySRFunction(X=>chem6 + chem6 + chem6 + chem6 - 1*(-36.299732))
11,20.182817,0.027698472479372314,((chem6 + (chem6 + chem6)) + chem6) - (-31.325405 - chem6),chem6 + chem6 + chem6 + chem6 - (-chem6 - 31.325405),PySRFunction(X=>chem6 + chem6 + chem6 + chem6 - (-chem6 - 31.325405))
13,19.099857,0.027575375363349437,((chem6 + (chem6 + chem6)) + ((chem6 + chem6) + chem6)) - -26.350506,chem6 + chem6 + chem6 + chem6 + chem6 + chem6 - 1*(-26.350506),PySRFunction(X=>chem6 + chem6 + chem6 + chem6 + chem6 + chem6 - 1*(-26.350506))
15,18.09552,0.027008227145268016,(((chem6 + chem6) - (-21.375965 - ((chem6 + chem6) + chem6))) + chem6) + chem6,chem6 + chem6 + chem6 + chem6 - (-(chem6 + chem6 + chem6) - 21.375965),PySRFunction(X=>chem6 + chem6 + chem6 + chem6 - (-(chem6 + chem6 + chem6) - 21.375965))
17,17.182585,0.02588401146399863,chem6 + (((chem6 + chem6) + ((chem6 + chem6) + ((chem6 + 19.849447) + chem6))) + chem13),chem13 + chem6 + chem6 + chem6 + chem6 + chem6 + chem6 + chem6 + 19.849447,PySRFunction(X=>chem13 + chem6 + chem6 + chem6 + chem6 + chem6 + chem6 + chem6 + 19.849447)
18,17.182583,1.1639692831975839e-07,((((chem6 + chem6) - (-19.849411 - (myfunction(chem6 + chem6) + chem6))) + chem6) + chem13) + chem6,chem13 + chem6 + chem6 + chem6 + chem6 - (-(chem6 + (chem6 + chem6)) - 19.849411),PySRFunction(X=>chem13 + chem6 + chem6 + chem6 + chem6 - (-(chem6 + (chem6 + chem6)) - 19.849411))
19,16.15681,0.06155462188139041,((chem6 + chem3) + (((chem6 + (chem6 + chem6)) + chem6) + ((chem6 + chem6) + chem6))) + chem6,chem3 + chem6 + chem6 + chem6 + chem6 + chem6 + chem6 + chem6 + chem6 + chem6,PySRFunction(X=>chem3 + chem6 + chem6 + chem6 + chem6 + chem6 + chem6 + chem6 + chem6 + chem6)
