complexity,loss,score,equation,sympy_format,lambda_format
1,56.373333,0.0,var1,var1,PySRFunction(X=>var1)
2,26.601397,0.7510324943352745,myfunction(55.85216),55.8521600000000,PySRFunction(X=>55.8521600000000)
3,14.849479,0.5829989527474216,var6 / 0.087070785,var6/0.087070785,PySRFunction(X=>var6/0.087070785)
4,14.849478,6.734243234427931e-08,myfunction(var6 * 11.485794),var6*11.485794,PySRFunction(X=>var6*11.485794)
5,3.3847778,1.478676451446676,(var6 * var2) / 0.31829947,var2*var6/0.31829947,PySRFunction(X=>var2*var6/0.31829947)
6,3.3847773,1.477201951065816e-07,myfunction((var6 * 3.1416786) * var2),var6*3.1416786*var2,PySRFunction(X=>var6*3.1416786*var2)
7,2.0840871,0.48495719630538786,((var6 * 3.055594) * var2) + var13,var13 + var6*3.055594*var2,PySRFunction(X=>var13 + var6*3.055594*var2)
9,4.152592e-06,6.563054379009871,(var13 / var10) + ((var6 * var2) / 0.33333334),var2*var6/0.33333334 + var13/var10,PySRFunction(X=>var2*var6/0.33333334 + var13/var10)
11,3.4648708e-06,0.0905286863993033,(var13 / var10) + (((var6 * var2) / -3.384211) / -0.098496616),var2*var6/((-0.098496616)*(-3.384211)) + var13/var10,PySRFunction(X=>var2*var6/((-0.098496616)*(-3.384211)) + var13/var10)
16,3.0636556e-06,0.024613300263482463,myfunction((((var13 / var10) + -0.44279304) + (((var6 * var2) / -3.384211) / -0.098496616)) - -0.44279304),var2*var6/((-0.098496616)*(-3.384211)) - 0.44279304 - 1*(-0.44279304) + var13/var10,PySRFunction(X=>var2*var6/((-0.098496616)*(-3.384211)) - 0.44279304 - 1*(-0.44279304) + var13/var10)
