complexity,loss,score,equation,sympy_format,lambda_format
1,55.367535,0.0,var7,var7,PySRFunction(X=>var7)
2,26.429443,0.7395147572938415,myfunction(56.15427),56.1542700000000,PySRFunction(X=>56.1542700000000)
3,14.948602,0.5698608700990974,11.520432 * var6,11.520432*var6,PySRFunction(X=>11.520432*var6)
5,3.841109,0.6794283283854214,(var2 * 3.1505067) * var6,var2*3.1505067*var6,PySRFunction(X=>var2*3.1505067*var6)
7,2.8122845,0.1558819923074954,((var2 * var6) / 0.3263358) + var13,var13 + var2*var6/0.3263358,PySRFunction(X=>var13 + var2*var6/0.3263358)
8,2.8122842,1.0667484598423512e-07,myfunction(3.0644023 * (var2 * var6)) + var13,var13 + 3.0644023*var2*var6,PySRFunction(X=>var13 + 3.0644023*var2*var6)
9,1.9571943,0.36248506759297505,(var13 / var10) + ((var6 * var2) / 0.33235717),var2*var6/0.33235717 + var13/var10,PySRFunction(X=>var2*var6/0.33235717 + var13/var10)
11,1.9075212,0.012853684983278572,(var13 / var10) + ((var2 * (0.14197627 + var6)) / 0.34061378),var2*(var6 + 0.14197627)/0.34061378 + var13/var10,PySRFunction(X=>var2*(var6 + 0.14197627)/0.34061378 + var13/var10)
13,1.8493934,0.015473452354132184,((var13 / var10) + ((var2 * var6) / 0.33571973)) - (-0.15772621 / var11),var2*var6/0.33571973 - (-1)*0.15772621/var11 + var13/var10,PySRFunction(X=>var2*var6/0.33571973 - (-1)*0.15772621/var11 + var13/var10)
15,1.8319557,0.004736804346590395,(((var2 * var6) / 0.33835405) + ((var13 + var11) / var10)) - (-0.16457385 / var11),var2*var6/0.33835405 - (-1)*0.16457385/var11 + (var11 + var13)/var10,PySRFunction(X=>var2*var6/0.33835405 - (-1)*0.16457385/var11 + (var11 + var13)/var10)
16,1.8250891,0.0037552769763485685,myfunction((((var6 * var2) / 0.33751643) + (var13 / var10)) - ((-1.579613 / var11) / var8)),var2*var6/0.33751643 - (-1)*1.579613/(var11*var8) + var13/var10,PySRFunction(X=>var2*var6/0.33751643 - (-1)*1.579613/(var11*var8) + var13/var10)
17,1.8014946,0.013012154061075204,((((var6 * var2) / 0.33984655) + (var13 / var10)) - (-0.16199675 / var11)) - (-4.5416236 / var8),var2*var6/0.33984655 - (-1)*4.5416236/var8 - (-1)*0.16199675/var11 + var13/var10,PySRFunction(X=>var2*var6/0.33984655 - (-1)*4.5416236/var8 - (-1)*0.16199675/var11 + var13/var10)
18,1.7913139,0.00566728076305179,myfunction((((var6 * var2) / 0.33835405) + (var13 / var10)) - (((-1.5823077 / var8) / var11) / var10)),var2*var6/0.33835405 + var13/var10 - (-1)*1.5823077/(var10*var11*var8),PySRFunction(X=>var2*var6/0.33835405 + var13/var10 - (-1)*1.5823077/(var10*var11*var8))
19,1.7634693,0.0156663109564639,((((var6 * var2) / 0.34061378) + (var13 / var10)) + (0.14818154 / var11)) - (-4.6515365 / (var8 * var10)),var2*var6/0.34061378 - (-1)*4.6515365/(var10*var8) + 0.14818154/var11 + var13/var10,PySRFunction(X=>var2*var6/0.34061378 - (-1)*4.6515365/(var10*var8) + 0.14818154/var11 + var13/var10)
