complexity,loss,score,equation,sympy_format,lambda_format
1,26.826883,0.0,55.74674,55.7467400000000,PySRFunction(X=>55.7467400000000)
3,14.923045,0.29324890967093353,var6 * 11.4828,var6*11.4828,PySRFunction(X=>var6*11.4828)
5,3.655325,0.7033608269434719,(3.141059 * var6) * var2,3.141059*var2*var6,PySRFunction(X=>3.141059*var2*var6)
7,2.399759,0.21040834644607984,((var6 * var2) + var13) * 2.8871546,(var13 + var2*var6)*2.8871546,PySRFunction(X=>(var13 + var2*var6)*2.8871546)
9,1.1342357,0.3747046418062686,(2.9993415 * (var2 * var6)) + (var13 / var10),2.9993415*var2*var6 + var13/var10,PySRFunction(X=>2.9993415*var2*var6 + var13/var10)
11,1.095352,0.01744162961725161,(3.0480568 * (var2 * (var6 + -0.091528624))) + (var13 / var10),3.0480568*var2*(var6 - 0.091528624) + var13/var10,PySRFunction(X=>3.0480568*var2*(var6 - 0.091528624) + var13/var10)
12,1.0953519,9.129485740015711e-08,(3.0480487 * (var2 * (myfunction(var6) + -0.09151546))) + (var13 / var10),3.0480487*var2*(var6 - 0.09151546) + var13/var10,PySRFunction(X=>3.0480487*var2*(var6 - 0.09151546) + var13/var10)
13,1.0632768,0.029720220932171044,((var2 * (var6 - (0.015283072 * var15))) / 0.33088607) + (var13 / var10),var2*(-0.015283072*var15 + var6)/0.33088607 + var13/var10,PySRFunction(X=>var2*(-0.015283072*var15 + var6)/0.33088607 + var13/var10)
15,1.0138137,0.023818150046377246,(2.9968238 * (var2 * (var6 - (-0.037317816 / (var4 - 0.9707592))))) + (var13 / var10),2.9968238*var2*(var6 - (-1)*0.037317816/(var4 - 1*0.9707592)) + var13/var10,PySRFunction(X=>2.9968238*var2*(var6 - (-1)*0.037317816/(var4 - 1*0.9707592)) + var13/var10)
16,1.0138136,9.863745673766977e-08,myfunction((((var6 - (-0.03732153 / (var4 - 0.9707901))) * var2) * 2.9968276) + (var13 / var10)),(var6 - (-1)*0.03732153/(var4 - 1*0.9707901))*var2*2.9968276 + var13/var10,PySRFunction(X=>(var6 - (-1)*0.03732153/(var4 - 1*0.9707901))*var2*2.9968276 + var13/var10)
17,0.99119854,0.0225594834712174,(3.0321767 * (var2 * ((var6 - (-0.036402766 / (var4 - 1.0003542))) + -0.068216))) + (var13 / var10),3.0321767*var2*(var6 - 0.068216 - (-1)*0.036402766/(var4 - 1*1.0003542)) + var13/var10,PySRFunction(X=>3.0321767*var2*(var6 - 0.068216 - (-1)*0.036402766/(var4 - 1*1.0003542)) + var13/var10)
19,0.9835231,0.0038868661270059853,((3.0383208 * (var2 * ((var6 - (-0.03836167 / (var4 - 1.0089071))) + -0.12684746))) + (var13 / var10)) + 0.5344063,3.0383208*var2*(var6 - 0.12684746 - (-1)*0.03836167/(var4 - 1*1.0089071)) + 0.5344063 + var13/var10,PySRFunction(X=>3.0383208*var2*(var6 - 0.12684746 - (-1)*0.03836167/(var4 - 1*1.0089071)) + 0.5344063 + var13/var10)
20,0.97408175,0.009645892739154796,myfunction((((var6 - (-0.052877318 * ((var10 / (var4 - 1.0235481)) - var12))) * var2) * 3.003657) + (var13 / var10)),(var6 - (-1)*0.052877318*(var10/(var4 - 1*1.0235481) - var12))*var2*3.003657 + var13/var10,PySRFunction(X=>(var6 - (-1)*0.052877318*(var10/(var4 - 1*1.0235481) - var12))*var2*3.003657 + var13/var10)
