complexity,loss,score,equation,sympy_format,lambda_format
1,55.172096,0.0,var7,var7,PySRFunction(X=>var7)
2,26.097054,0.7486348838300805,myfunction(56.100235),56.1002350000000,PySRFunction(X=>56.1002350000000)
3,14.616098,0.5796989103606591,var6 * 11.499137,var6*11.499137,PySRFunction(X=>var6*11.499137)
5,4.02008,0.6454108605518201,var2 * (3.140347 * var6),var2*3.140347*var6,PySRFunction(X=>var2*3.140347*var6)
7,3.0740898,0.13414647274429772,((var2 * var6) * 3.054235) + var13,var13 + var2*var6*3.054235,PySRFunction(X=>var13 + var2*var6*3.054235)
8,3.0740895,9.758986695321829e-08,myfunction((var2 * (3.0541987 * var6)) + var13),var13 + var2*3.0541987*var6,PySRFunction(X=>var13 + var2*3.0541987*var6)
9,2.0479202,0.40618401827760536,((var2 * var6) * 2.9986389) + (var13 / var10),var2*var6*2.9986389 + var13/var10,PySRFunction(X=>var2*var6*2.9986389 + var13/var10)
11,1.8863786,0.04108291759868364,(((var2 * var6) + var9) * 2.9663227) + (var13 / var10),(var2*var6 + var9)*2.9663227 + var13/var10,PySRFunction(X=>(var2*var6 + var9)*2.9663227 + var13/var10)
13,1.8470181,0.010543202766379758,(((var2 * var6) + var9) * 2.9336011) + ((var13 + 0.51393574) / var10),(var2*var6 + var9)*2.9336011 + (var13 + 0.51393574)/var10,PySRFunction(X=>(var2*var6 + var9)*2.9336011 + (var13 + 0.51393574)/var10)
14,1.8470179,1.082826480486629e-07,(myfunction((var6 * var2) + var9) * 2.9335358) + ((var13 + 0.5149367) / var10),(var2*var6 + var9)*2.9335358 + (var13 + 0.5149367)/var10,PySRFunction(X=>(var2*var6 + var9)*2.9335358 + (var13 + 0.5149367)/var10)
15,1.8017824,0.024795995383860087,((var9 + (var2 * var6)) * 2.975255) + (var13 / ((1.4095528 * var10) - 0.16655765)),var13/(1.4095528*var10 - 1*0.16655765) + (var2*var6 + var9)*2.975255,PySRFunction(X=>var13/(1.4095528*var10 - 1*0.16655765) + (var2*var6 + var9)*2.975255)
17,1.7723299,0.008240694254066835,((var9 + (var2 * var6)) * 2.9762764) + (var13 / ((var10 * 1.3801177) - (0.56180835 * var9))),var13/(var10*1.3801177 - 0.56180835*var9) + (var2*var6 + var9)*2.9762764,PySRFunction(X=>var13/(var10*1.3801177 - 0.56180835*var9) + (var2*var6 + var9)*2.9762764)
19,1.7492214,0.00656211701180626,((var9 + (var6 * var2)) * 2.972302) + (var13 / (((1.5524344 * var10) - 0.18516617) - (var11 * var12))),var13/(1.5524344*var10 - var11*var12 - 1*0.18516617) + (var2*var6 + var9)*2.972302,PySRFunction(X=>var13/(1.5524344*var10 - var11*var12 - 1*0.18516617) + (var2*var6 + var9)*2.972302)
20,1.7492213,5.716829362331379e-08,((var9 + (var6 * var2)) * 2.972302) + (var13 / (((1.552435 * var10) - 0.18516298) - myfunction(var11 * var12))),var13/(1.552435*var10 - var11*var12 - 1*0.18516298) + (var2*var6 + var9)*2.972302,PySRFunction(X=>var13/(1.552435*var10 - var11*var12 - 1*0.18516298) + (var2*var6 + var9)*2.972302)
