Input,Binary operators,Unary Operators,Level,RMSE,Equation,time
Noise=0.25,"['-', '+']",['myfunction(x) = x'],4,16.045824094061846,((((var6 + var3) + var6) + var6) + (var6 + var6)) + (var6 + (var6 + (var6 + var6))),2937.717341184616
Noise=0.5,"['-', '+']",['myfunction(x) = x'],4,16.175373027482006,var6 + ((var6 + (var3 + (var6 + (var6 + var6)))) + (var6 + (var6 + (var6 + var6)))),2937.717341184616
Noise=0.75,"['-', '+']",['myfunction(x) = x'],3,17.151563418970333,((var6 - ((((-16.032179 - var6) - var6) - var6) - (var6 + var6))) + var6) + var6,2937.717341184616
Noise=1,"['-', '+']",['myfunction(x) = x'],3,22.877319086349196,var6 + ((var6 + var6) - -40.82341),2937.717341184616
Noise=1.25,"['-', '+']",['myfunction(x) = x'],4,16.027047054339825,(((var6 + (var6 + var6)) + var6) + ((var6 + var6) + var6)) + ((var6 + var6) + var3),2937.717341184616
Noise=1.5,"['-', '+']",['myfunction(x) = x'],4,15.99898709903444,var6 + (var6 + ((var6 + ((var3 + (var6 + ((var6 + var6) + var6))) + var6)) + var6)),2937.717341184616
Noise=1.75,"['-', '+']",['myfunction(x) = x'],4,16.127584674387016,((var6 + (((((var6 + (var6 + var6)) + var6) + var6) + var6) + var6)) + var3) + var6,2937.717341184616
Noise=2,"['-', '+']",['myfunction(x) = x'],4,15.784274956634244,(((var6 + (var6 + var6)) + var3) + ((var6 + var6) + ((var6 + var6) + var6))) + var6,2937.717341184616
No_noise_all_var,"['-', '+']",['myfunction(x) = x'],4,16.05945319590942,var6 + (var6 + (var6 + (((var6 + (var6 + var6)) + (var3 + (var6 + var6))) + var6))),2937.717341184616
No_noise_rel_var,"['-', '+']",['myfunction(x) = x'],3,19.156577256573517,(((26.004671 + (var6 + var6)) + var6) + var6) + (var6 + var6),2937.717341184616
Noise=0.25,"['-', '+', '*', '/']",['myfunction(x) = x'],1,0.2091662575463901,((3.0008287 * var2) * var6) + (var13 / var10),2937.717341184616
Noise=0.5,"['-', '+', '*', '/']",['myfunction(x) = x'],1,0.4287841999060116,(var6 / (0.33305693 / var2)) + (var13 / var10),2937.717341184616
Noise=0.75,"['-', '+', '*', '/']",['myfunction(x) = x'],1,0.7159226581227836,(var13 / var10) + ((var6 * var2) / 0.33362612),2937.717341184616
Noise=1,"['-', '+', '*', '/']",['myfunction(x) = x'],1,1.134235953154441,(var13 / var10) + ((var6 / 0.33340812) * var2),2937.717341184616
Noise=1.25,"['-', '+', '*', '/']",['myfunction(x) = x'],1,1.217853073826425,(var6 / (0.33394697 / var2)) + (var13 / var10),2937.717341184616
Noise=1.5,"['-', '+', '*', '/']",['myfunction(x) = x'],1,1.281033306128561,(var6 / (0.33500037 / var2)) + (var13 / var10),2937.717341184616
Noise=1.75,"['-', '+', '*', '/']",['myfunction(x) = x'],1,1.9571962585310392,(var13 / var10) + ((var6 * var2) / 0.33235717),2937.717341184616
Noise=2,"['-', '+', '*', '/']",['myfunction(x) = x'],1,2.0479203746527403,((var6 * 2.9986775) * var2) + (var13 / var10),2937.717341184616
No_noise_all_var,"['-', '+', '*', '/']",['myfunction(x) = x'],1,1.1796973351468345e-06,(var13 / var10) + ((var6 * var2) / 0.33333334),2937.717341184616
No_noise_rel_var,"['-', '+', '*', '/']",['myfunction(x) = x'],1,1.966162273776252e-06,myfunction((var6 * (2.193478 * var2)) + ((var13 / var10) + ((0.8065219 * var2) * var6))),2937.717341184616
Noise=0.25,"['-', '+', '*', '/']","['log', 'sqrt']",1,0.20916645240764906,(var2 * (var6 / 0.33324245)) + (var13 / var10),2937.717341184616
Noise=0.5,"['-', '+', '*', '/']","['log', 'sqrt']",1,0.4287842380298951,(var13 / var10) + ((var2 * var6) / 0.33305746),2937.717341184616
Noise=0.75,"['-', '+', '*', '/']","['log', 'sqrt']",1,0.7159225938651359,((var2 * var6) / 0.333625) + (var13 / var10),2937.717341184616
Noise=1,"['-', '+', '*', '/']","['log', 'sqrt']",1,1.134235860050648,((var2 * 2.9993496) * var6) + (var13 / var10),2937.717341184616
Noise=1.25,"['-', '+', '*', '/']","['log', 'sqrt']",1,1.217853110841618,(var13 / var10) + (var2 * (var6 / 0.33394757)),2937.717341184616
Noise=1.5,"['-', '+', '*', '/']","['log', 'sqrt']",1,1.281033327837486,(var13 / var10) + (var2 * (var6 * 2.9850624)),2937.717341184616
Noise=1.75,"['-', '+', '*', '/']","['log', 'sqrt']",1,1.9571963048092755,((var2 * var6) / 0.3323584) + (var13 / var10),2937.717341184616
Noise=2,"['-', '+', '*', '/']","['log', 'sqrt']",1,2.0479203746527403,(var2 * (var6 * 2.9986775)) + (var13 / var10),2937.717341184616
No_noise_all_var,"['-', '+', '*', '/']","['log', 'sqrt']",1,0,(var13 / var10) + ((var2 * 3.0) * var6),2937.717341184616
No_noise_rel_var,"['-', '+', '*', '/']","['log', 'sqrt']",1,0,(var6 * ((var2 + var2) + var2)) + (var13 / var10),2937.717341184616
