complexity,loss,score,equation,sympy_format,lambda_format
1,85.73513,0.0,0.8929147,0.892914700000000,PySRFunction(X=>0.892914700000000)
3,22.623602,0.6661344811541177,41.45957 - -42.12972,41.45957 - 1*(-42.12972),PySRFunction(X=>41.45957 - 1*(-42.12972))
4,22.263155,0.016060627765468707,78.59615 - Eugenol,78.59615 - Eugenol,PySRFunction(X=>78.59615 - Eugenol)
6,17.719809,0.11412495175919167,(Eugenol * -23.941734) - 35.95483,Eugenol*(-23.941734) - 1*35.95483,PySRFunction(X=>Eugenol*(-23.941734) - 1*35.95483)
8,17.719807,5.6434020088826334e-08,(-23.946056 * (Eugenol + 1.4726341)) + -0.7167692,-23.946056*(Eugenol + 1.4726341) - 0.7167692,PySRFunction(X=>-23.946056*(Eugenol + 1.4726341) - 0.7167692)
9,17.606535,0.006412913524794478,(Eugenol * (Retene - 10.53442)) + 0.68877196,Eugenol*(Retene - 1*10.53442) + 0.68877196,PySRFunction(X=>Eugenol*(Retene - 1*10.53442) + 0.68877196)
10,17.510702,0.005457903074491466,((Retene + -10.386968) * Eugenol) - Guaiacol,Eugenol*(Retene - 10.386968) - Guaiacol,PySRFunction(X=>Eugenol*(Retene - 10.386968) - Guaiacol)
11,16.880499,0.03665318652822937,(((5.9145026 - Eugenol) + Benzobfluoranthene) * 19.46096) - 0.4220405,(Benzobfluoranthene - Eugenol + 5.9145026)*19.46096 - 1*0.4220405,PySRFunction(X=>(Benzobfluoranthene - Eugenol + 5.9145026)*19.46096 - 1*0.4220405)
13,16.862783,0.000525023073564695,-0.103425905 + (((Benzokfluoranthene * 0.6812794) + (3.928737 - Eugenol)) * 19.590708),(Benzokfluoranthene*0.6812794 - Eugenol + 3.928737)*19.590708 - 0.103425905,PySRFunction(X=>(Benzokfluoranthene*0.6812794 - Eugenol + 3.928737)*19.590708 - 0.103425905)
14,16.844637,0.0010766769899895204,((Guaiacol - (Acenaphthylene + 6.5289054)) * (Dibenzofuran - 10.128716)) - 1.2882919,(Dibenzofuran - 1*10.128716)*(Guaiacol - (Acenaphthylene + 6.5289054)) - 1*1.2882919,PySRFunction(X=>(Dibenzofuran - 1*10.128716)*(Guaiacol - (Acenaphthylene + 6.5289054)) - 1*1.2882919)
16,16.677088,0.0049982629255910516,((Eugenol * ((Benzokfluoranthene * -2.4481916) - 37.73583)) + (Pentacosane / 0.28881818)) + -0.5547604,Eugenol*(Benzokfluoranthene*(-2.4481916) - 1*37.73583) + Pentacosane/0.28881818 - 0.5547604,PySRFunction(X=>Eugenol*(Benzokfluoranthene*(-2.4481916) - 1*37.73583) + Pentacosane/0.28881818 - 0.5547604)
18,16.3812,0.008950732769576695,(((-15.163205 * Eugenol) - ((Dibenzofuran * 10.437119) - (20.801853 * Benzobfluoranthene))) - -75.23446) + 0.25612625,-15.163205*Eugenol - (-20.801853*Benzobfluoranthene + Dibenzofuran*10.437119) + 0.25612625 - 1*(-75.23446),PySRFunction(X=>-15.163205*Eugenol - (-20.801853*Benzobfluoranthene + Dibenzofuran*10.437119) + 0.25612625 - 1*(-75.23446))
