complexity,loss,score,equation,sympy_format,lambda_format
1,85.73513,0.0,0.8929147,0.892914700000000,PySRFunction(X=>0.892914700000000)
2,84.87943,0.010030881009578163,Vanillin,Vanillin,PySRFunction(X=>Vanillin)
3,22.623602,1.3222380812986572,48.231327 + 35.36095,35.36095 + 48.231327,PySRFunction(X=>35.36095 + 48.231327)
4,21.888508,0.033031947386515825,77.889175 + Na,Na + 77.889175,PySRFunction(X=>Na + 77.889175)
6,20.187489,0.04044934707202771,2.579105 + (Silicon / 0.07854578),Silicon/0.07854578 + 2.579105,PySRFunction(X=>Silicon/0.07854578 + 2.579105)
8,17.614155,0.06818010796410498,((-1.5734931 - P) * -19.039577) - -1.2942686,(-P - 1.5734931)*(-19.039577) - 1*(-1.2942686),PySRFunction(X=>(-P - 1.5734931)*(-19.039577) - 1*(-1.2942686))
9,17.397089,0.012399946788981011,((-2.0530386 - P) * -17.672802) - Vanillin,-Vanillin + (-P - 2.0530386)*(-17.672802),PySRFunction(X=>-Vanillin + (-P - 2.0530386)*(-17.672802))
11,17.344204,0.0015222530966054906,((P * (-4.8537683 + 21.579483)) - Isoeugenol) - -41.15482,-Isoeugenol + P*(-4.8537683 + 21.579483) - 1*(-41.15482),PySRFunction(X=>-Isoeugenol + P*(-4.8537683 + 21.579483) - 1*(-41.15482))
12,17.139246,0.011887465643778817,(((-2.0530386 - var26_Dimethylnaphthalene) - P) * -17.672802) - Vanillin,-Vanillin + (-P - var26_Dimethylnaphthalene - 2.0530386)*(-17.672802),PySRFunction(X=>-Vanillin + (-P - var26_Dimethylnaphthalene - 2.0530386)*(-17.672802))
13,16.707022,0.02554181144881928,((-5.4217544 * Isoeugenol) - ((3.4954596 + Acenaphthylene) * -26.288782)) - -0.35757995,-5.4217544*Isoeugenol - (-26.288782)*(Acenaphthylene + 3.4954596) - 1*(-0.35757995),PySRFunction(X=>-5.4217544*Isoeugenol - (-26.288782)*(Acenaphthylene + 3.4954596) - 1*(-0.35757995))
14,16.64643,0.0036333310661044367,((Isoeugenol * -5.4633427) - (-26.288418 * (3.4977443 + Acenaphthylene))) + Heptacosane,Heptacosane + Isoeugenol*(-5.4633427) - (-1)*26.288418*(Acenaphthylene + 3.4977443),PySRFunction(X=>Heptacosane + Isoeugenol*(-5.4633427) - (-1)*26.288418*(Acenaphthylene + 3.4977443))
16,16.544682,0.003065529070684273,(((Acenaphthylene + (P + 2.688463)) - -0.46592394) / 0.069144115) - (2.4124014 * Coniferylaldehyde),-2.4124014*Coniferylaldehyde + (Acenaphthylene + P - 1*(-0.46592394) + 2.688463)/0.069144115,PySRFunction(X=>-2.4124014*Coniferylaldehyde + (Acenaphthylene + P - 1*(-0.46592394) + 2.688463)/0.069144115)
18,16.257101,0.008767461469726536,-5.3238564 + (((13.27712 - ((-5.282971 + Eugenol) * P)) / 0.25267577) + (-0.8120859 / Methylfluorene)),(13.27712 - P*(Eugenol - 5.282971))/0.25267577 - 5.3238564 - 0.8120859/Methylfluorene,PySRFunction(X=>(13.27712 - P*(Eugenol - 5.282971))/0.25267577 - 5.3238564 - 0.8120859/Methylfluorene)
