complexity,loss,score,equation,sympy_format,lambda_format
1,85.98262,0.0,0.6363561,0.636356100000000,PySRFunction(X=>0.636356100000000)
3,22.623602,0.667575742592524,42.14922 + 41.440353,41.440353 + 42.14922,PySRFunction(X=>41.440353 + 42.14922)
4,19.963047,0.12511078307835427,83.58925 - PC_1,83.58925 - PC_1,PySRFunction(X=>83.58925 - PC_1)
6,19.963041,1.502776830656362e-07,(45.93499 - PC_1) - -37.654247,-PC_1 - 1*(-37.654247) + 45.93499,PySRFunction(X=>-PC_1 - 1*(-37.654247) + 45.93499)
7,19.259632,0.0358713147579222,(83.58925 + PC_3) - PC_1,-PC_1 + PC_3 + 83.58925,PySRFunction(X=>-PC_1 + PC_3 + 83.58925)
8,18.67266,0.030950877266804597,(41.8921 - -41.697144) - (2.2360647 * PC_1),-2.2360647*PC_1 - 1*(-41.697144) + 41.8921,PySRFunction(X=>-2.2360647*PC_1 - 1*(-41.697144) + 41.8921)
9,17.970177,0.03834687146666809,PC_3 + ((PC_1 + -38.001312) * -2.2354198),PC_3 + (PC_1 - 38.001312)*(-2.2354198),PySRFunction(X=>PC_3 + (PC_1 - 38.001312)*(-2.2354198))
10,17.969315,4.796951499274799e-05,((PC_3 - PC_1) - PC_1) - -83.58932,-PC_1 - PC_1 + PC_3 - 1*(-83.58932),PySRFunction(X=>-PC_1 - PC_1 + PC_3 - 1*(-83.58932))
11,17.918665,0.00282267397771823,((38.985783 - (PC_1 * 2.235909)) + PC_3) - -44.601974,-2.235909*PC_1 + PC_3 + 38.985783 - 1*(-44.601974),PySRFunction(X=>-2.235909*PC_1 + PC_3 + 38.985783 - 1*(-44.601974))
12,17.285126,0.03599654409939173,((PC_2 - (PC_1 / 0.44745362)) - -83.589516) + PC_3,-PC_1/0.44745362 + PC_2 + PC_3 - 1*(-83.589516),PySRFunction(X=>-PC_1/0.44745362 + PC_2 + PC_3 - 1*(-83.589516))
14,17.166801,0.00343450934537843,(PC_2 - ((PC_1 / 0.44745362) + (-1.5594362 * PC_3))) - -83.589516,PC_2 - (PC_1/0.44745362 - 1.5594362*PC_3) - 1*(-83.589516),PySRFunction(X=>PC_2 - (PC_1/0.44745362 - 1.5594362*PC_3) - 1*(-83.589516))
15,16.981026,0.010880741127670438,((PC_2 - (PC_1 / 0.44745362)) - -83.589516) + (PC_3 + PC_4),-PC_1/0.44745362 + PC_2 + PC_3 + PC_4 - 1*(-83.589516),PySRFunction(X=>-PC_1/0.44745362 + PC_2 + PC_3 + PC_4 - 1*(-83.589516))
17,16.860569,0.0035594512822851045,((PC_2 - ((PC_1 / 0.44745362) + (-1.5594362 * PC_3))) - -83.589516) + PC_4,PC_2 + PC_4 - (PC_1/0.44745362 - 1.5594362*PC_3) - 1*(-83.589516),PySRFunction(X=>PC_2 + PC_4 - (PC_1/0.44745362 - 1.5594362*PC_3) - 1*(-83.589516))
19,16.860062,1.5035305835170553e-05,(83.49504 - ((PC_1 - (PC_3 / 1.4330753)) * 2.235776)) - (-1.007208 * (PC_2 + PC_4)),-2.235776*(PC_1 - PC_3/1.4330753) - (-1)*1.007208*(PC_2 + PC_4) + 83.49504,PySRFunction(X=>-2.235776*(PC_1 - PC_3/1.4330753) - (-1)*1.007208*(PC_2 + PC_4) + 83.49504)
20,16.759174,0.006001820079877352,PC_3 + (((PC_4 - -83.713615) + ((PC_1 * -2.2360272) - (-0.6223907 / PC_2))) + PC_2),PC_1*(-2.2360272) + PC_2 + PC_3 + PC_4 - 1*(-83.713615) - (-1)*0.6223907/PC_2,PySRFunction(X=>PC_1*(-2.2360272) + PC_2 + PC_3 + PC_4 - 1*(-83.713615) - (-1)*0.6223907/PC_2)
