complexity,loss,score,equation,sympy_format,lambda_format
1,22.623602,0.0,83.58923,83.5892300000000,PySRFunction(X=>83.5892300000000)
3,17.819721,0.11934396613360787,P + 64.7897,P + 64.7897,PySRFunction(X=>P + 64.7897)
5,17.29851,0.01484269736374785,P + (66.26641 - Propylguaiacol),P - Propylguaiacol + 66.26641,PySRFunction(X=>P - Propylguaiacol + 66.26641)
7,16.660683,0.018784369165009588,P + (69.73592 - (Propylguaiacol / Fluoranthene)),P + 69.73592 - Propylguaiacol/Fluoranthene,PySRFunction(X=>P + 69.73592 - Propylguaiacol/Fluoranthene)
9,16.175335,0.014782040575353352,P + (68.78448 - (Propylguaiacol / (Tetracosane - Benzobfluoranthene))),P - Propylguaiacol/(-Benzobfluoranthene + Tetracosane) + 68.78448,PySRFunction(X=>P - Propylguaiacol/(-Benzobfluoranthene + Tetracosane) + 68.78448)
11,16.003971,0.005325336099930648,P + (69.70558 - ((Propylguaiacol + Docosane) / (Tetracosane - Benzokfluoranthene))),P + 69.70558 - (Docosane + Propylguaiacol)/(-Benzokfluoranthene + Tetracosane),PySRFunction(X=>P + 69.70558 - (Docosane + Propylguaiacol)/(-Benzokfluoranthene + Tetracosane))
13,15.950626,0.0016694014183855066,P + (70.26916 - (((Propylguaiacol + Docosane) ^ 1.112809) / (Tetracosane - Benzokfluoranthene))),P + 70.26916 - (Docosane + Propylguaiacol)**1.112809/(-Benzokfluoranthene + Tetracosane),PySRFunction(X=>P + 70.26916 - (Docosane + Propylguaiacol)**1.112809/(-Benzokfluoranthene + Tetracosane))
15,15.94173,0.00027893832085413683,(P * 0.95175797) + (71.29248 - (((Propylguaiacol + Docosane) ^ 1.1332159) / (Tetracosane - Benzokfluoranthene))),P*0.95175797 + 71.29248 - (Docosane + Propylguaiacol)**1.1332159/(-Benzokfluoranthene + Tetracosane),PySRFunction(X=>P*0.95175797 + 71.29248 - (Docosane + Propylguaiacol)**1.1332159/(-Benzokfluoranthene + Tetracosane))
17,15.932508,0.0002893245716907576,2.1101394 * ((P ^ 0.7561573) + (32.773243 - (0.6451827 * (Propylguaiacol / (Tetracosane - (Benzokfluoranthene * 0.76577365)))))),2.1101394*(P**0.7561573 - 0.6451827*Propylguaiacol/(-0.76577365*Benzokfluoranthene + Tetracosane) + 32.773243),PySRFunction(X=>2.1101394*(P**0.7561573 - 0.6451827*Propylguaiacol/(-0.76577365*Benzokfluoranthene + Tetracosane) + 32.773243))
19,15.927756,0.0001491513075735062,2.1216462 * ((P ^ 0.75248945) + (32.773228 - (0.6531799 * ((Propylguaiacol / (Tetracosane - (Benzokfluoranthene * 0.77537155))) + Phytane)))),2.1216462*(P**0.75248945 - 0.6531799*(Phytane + Propylguaiacol/(-0.77537155*Benzokfluoranthene + Tetracosane)) + 32.773228),PySRFunction(X=>2.1216462*(P**0.75248945 - 0.6531799*(Phytane + Propylguaiacol/(-0.77537155*Benzokfluoranthene + Tetracosane)) + 32.773228))
