complexity,loss,score,equation,sympy_format,lambda_format
1,22.6236,0.0,83.58715,83.5871500000000,PySRFunction(X=>83.5871500000000)
3,17.819723,0.11934386581438139,P + 64.78738,P + 64.78738,PySRFunction(X=>P + 64.78738)
5,17.29851,0.014842753481346041,(66.26427 + P) - Propylguaiacol,P - Propylguaiacol + 66.26427,PySRFunction(X=>P - Propylguaiacol + 66.26427)
7,16.687763,0.0179723371455221,(P + 68.78561) - (Propylguaiacol / Fluoranthene),P + 68.78561 - Propylguaiacol/Fluoranthene,PySRFunction(X=>P + 68.78561 - Propylguaiacol/Fluoranthene)
9,16.175335,0.015594072594840807,(P - (Propylguaiacol / (Tetracosane - Benzobfluoranthene))) + 68.7856,P - Propylguaiacol/(-Benzobfluoranthene + Tetracosane) + 68.7856,PySRFunction(X=>P - Propylguaiacol/(-Benzobfluoranthene + Tetracosane) + 68.7856)
11,15.999277,0.0054720087137122625,(69.849 + P) + ((Propylguaiacol + Octadecane) / (Benzokfluoranthene - Tetracosane)),P + 69.849 + (Octadecane + Propylguaiacol)/(Benzokfluoranthene - Tetracosane),PySRFunction(X=>P + 69.849 + (Octadecane + Propylguaiacol)/(Benzokfluoranthene - Tetracosane))
13,15.953139,0.001443960671588939,71.139565 + (P - (((Propylguaiacol / 0.79769355) + Octadecane) / (Tetracosane - Benzokfluoranthene))),P + 71.139565 - (Octadecane + Propylguaiacol/0.79769355)/(-Benzokfluoranthene + Tetracosane),PySRFunction(X=>P + 71.139565 - (Octadecane + Propylguaiacol/0.79769355)/(-Benzokfluoranthene + Tetracosane))
15,15.9388275,0.00044874940404390984,(71.139565 + (P - (((Propylguaiacol / 0.79769355) + Octadecane) / (Tetracosane - Benzokfluoranthene)))) - Pyrene,P - Pyrene + 71.139565 - (Octadecane + Propylguaiacol/0.79769355)/(-Benzokfluoranthene + Tetracosane),PySRFunction(X=>P - Pyrene + 71.139565 - (Octadecane + Propylguaiacol/0.79769355)/(-Benzokfluoranthene + Tetracosane))
17,15.937833,3.119837475831867e-05,(71.139565 + (P - (((Propylguaiacol / 0.79769355) + Octadecane) / (Tetracosane - Benzokfluoranthene)))) - (Pyrene - NH_4),P - (-NH_4 + Pyrene) + 71.139565 - (Octadecane + Propylguaiacol/0.79769355)/(-Benzokfluoranthene + Tetracosane),PySRFunction(X=>P - (-NH_4 + Pyrene) + 71.139565 - (Octadecane + Propylguaiacol/0.79769355)/(-Benzokfluoranthene + Tetracosane))
19,15.934282,0.00011141400608944809,(71.139565 + ((P - (((Propylguaiacol / 0.79769355) + Octadecane) / (Tetracosane - Benzokfluoranthene))) - Cd)) - (Pyrene - NH_4),-Cd + P - (-NH_4 + Pyrene) + 71.139565 - (Octadecane + Propylguaiacol/0.79769355)/(-Benzokfluoranthene + Tetracosane),PySRFunction(X=>-Cd + P - (-NH_4 + Pyrene) + 71.139565 - (Octadecane + Propylguaiacol/0.79769355)/(-Benzokfluoranthene + Tetracosane))
