complexity,loss,score,equation,sympy_format,lambda_format
1,22.623602,0.0,83.58855,83.5885500000000,PySRFunction(X=>83.5885500000000)
3,21.12281,0.03432009919571882,83.588264 - PC_1,83.588264 - PC_1,PySRFunction(X=>83.588264 - PC_1)
5,19.488434,0.040266168917882914,84.93438 + (-29.758535 / PC_1),84.93438 - 29.758535/PC_1,PySRFunction(X=>84.93438 - 29.758535/PC_1)
7,17.811232,0.04499594593216891,83.58947 - ((-2.805753 + PC_2) * PC_3),83.58947 - PC_3*(PC_2 - 2.805753),PySRFunction(X=>83.58947 - PC_3*(PC_2 - 2.805753))
9,16.920448,0.025653219080595722,((PC_3 - PC_1) + (PC_2 - -45.3577)) * 1.8428996,(-PC_1 + PC_2 + PC_3 - 1*(-45.3577))*1.8428996,PySRFunction(X=>(-PC_1 + PC_2 + PC_3 - 1*(-45.3577))*1.8428996)
11,16.779978,0.004168220707674219,(83.58855 + (2.0928051 * (PC_2 + PC_3))) - (PC_1 / 0.64197004),-PC_1/0.64197004 + 2.0928051*(PC_2 + PC_3) + 83.58855,PySRFunction(X=>-PC_1/0.64197004 + 2.0928051*(PC_2 + PC_3) + 83.58855)
13,16.778343,4.872115030109704e-05,((2.059137 * (PC_2 + (PC_3 / 0.9629125))) + 83.58871) - (PC_1 * 1.557761),-1.557761*PC_1 + 2.059137*(PC_2 + PC_3/0.9629125) + 83.58871,PySRFunction(X=>-1.557761*PC_1 + 2.059137*(PC_2 + PC_3/0.9629125) + 83.58871)
15,16.38804,0.011768573580489475,((PC_2 + ((PC_3 - PC_1) - -45.3577)) * 1.8348323) + (PC_4 / (PC_1 - 1.3479189)),PC_4/(PC_1 - 1*1.3479189) + (-PC_1 + PC_2 + PC_3 - 1*(-45.3577))*1.8348323,PySRFunction(X=>PC_4/(PC_1 - 1*1.3479189) + (-PC_1 + PC_2 + PC_3 - 1*(-45.3577))*1.8348323)
17,16.3113,0.0023468406666899144,((PC_2 + ((PC_3 - PC_1) - -45.592457)) * 1.8289691) + ((-0.77024007 * PC_4) / (1.4160818 - PC_1)),-0.77024007*PC_4/(1.4160818 - PC_1) + (-PC_1 + PC_2 + PC_3 - 1*(-45.592457))*1.8289691,PySRFunction(X=>-0.77024007*PC_4/(1.4160818 - PC_1) + (-PC_1 + PC_2 + PC_3 - 1*(-45.592457))*1.8289691)
19,16.243145,0.002093572769417301,((PC_2 + ((PC_3 - (0.8370311 * PC_1)) - -45.3577)) * 1.8428998) + ((-0.77751505 * PC_4) / (1.4206998 - PC_1)),-0.77751505*PC_4/(1.4206998 - PC_1) + (-0.8370311*PC_1 + PC_2 + PC_3 - 1*(-45.3577))*1.8428998,PySRFunction(X=>-0.77751505*PC_4/(1.4206998 - PC_1) + (-0.8370311*PC_1 + PC_2 + PC_3 - 1*(-45.3577))*1.8428998)
