complexity,loss,score,equation,sympy_format,lambda_format,Iteration
7,22.626078,0.0994804882949659,(-2.487967 * 1.3011733) / (-0.03256474 / 0.844215),-2.487967*1.3011733/(-0.03256474/0.844215),PySRFunction(X=>-2.487967*1.3011733/(-0.03256474/0.844215)),1
11,22.191748,0.004845656698794,((-2.487967 * 1.3011733) / (0.8817351 ^ Benzokfluoranthene)) / (-0.03256474 / 0.844215),-2.487967*1.3011733/(0.8817351**Benzokfluoranthene*(-0.03256474/0.844215)),PySRFunction(X=>-2.487967*1.3011733/(0.8817351**Benzokfluoranthene*(-0.03256474/0.844215))),1
13,18.592607,0.0884782397385504,((((0.84718907 + (Chrysene + 2.011388)) / 0.30749416) / 0.19092529) * 1.724872) - Eugenol,-Eugenol + (Chrysene + 0.84718907 + 2.011388)*1.724872/(0.30749416*0.19092529),PySRFunction(X=>-Eugenol + (Chrysene + 0.84718907 + 2.011388)*1.724872/(0.30749416*0.19092529)),1
15,18.477964,0.0030925708018208,(((((0.84718907 + (Chrysene + 2.011388)) / 0.30749416) / 0.19092529) * 1.724872) - var35_Dimethoxyphenol) - Eugenol,-Eugenol - var35_Dimethoxyphenol + (Chrysene + 0.84718907 + 2.011388)*1.724872/(0.30749416*0.19092529),PySRFunction(X=>-Eugenol - var35_Dimethoxyphenol + (Chrysene + 0.84718907 + 2.011388)*1.724872/(0.30749416*0.19092529)),1
17,17.600061,0.0243382595183328,(((((0.6841397 + (Chrysene + 1.84569)) / 0.23909967) - (Dibenzofuran * 3.4751031)) / 0.16831088) * 1.381938) - Eugenol,-Eugenol + (-3.4751031*Dibenzofuran + (Chrysene + 0.6841397 + 1.84569)/0.23909967)*1.381938/0.16831088,PySRFunction(X=>-Eugenol + (-3.4751031*Dibenzofuran + (Chrysene + 0.6841397 + 1.84569)/0.23909967)*1.381938/0.16831088),1
19,17.559967,0.0011403295065282,((((((1.5002126 + (Chrysene + 0.6410133)) / 0.35232893) - (Dibenzofuran * 1.6402603)) / 0.25608495) * 3.6384041) - var35_Dimethoxyphenol) - Eugenol,-Eugenol - var35_Dimethoxyphenol + (-1.6402603*Dibenzofuran + (Chrysene + 0.6410133 + 1.5002126)/0.35232893)*3.6384041/0.25608495,PySRFunction(X=>-Eugenol - var35_Dimethoxyphenol + (-1.6402603*Dibenzofuran + (Chrysene + 0.6410133 + 1.5002126)/0.35232893)*3.6384041/0.25608495),1
3,18.073547,0.0,P + 67.80656,P + 67.80656,PySRFunction(X=>P + 67.80656),10
5,17.78139,0.0081484863902665,(P + 61.529438) + Ti,P + Ti + 61.529438,PySRFunction(X=>P + Ti + 61.529438),10
7,17.40127,0.010804606347562,(P + 60.546886) + (Ti ^ 2.851052),P + Ti**2.851052 + 60.546886,PySRFunction(X=>P + Ti**2.851052 + 60.546886),10
9,17.177576,0.0064691898785095,((P + 60.546886) + (Ti ^ 2.851052)) + Pentacosane,P + Pentacosane + Ti**2.851052 + 60.546886,PySRFunction(X=>P + Pentacosane + Ti**2.851052 + 60.546886),10
11,16.87752,0.0088111266814327,(P + (((-0.154459 / Ti) / Methylfluorene) - -68.71269)) - Methylfluorene,-Methylfluorene + P - 1*(-68.71269) - 0.154459/(Methylfluorene*Ti),PySRFunction(X=>-Methylfluorene + P - 1*(-68.71269) - 0.154459/(Methylfluorene*Ti)),10
13,16.7969,0.0023941066848689,((((-0.1607346 / Ti) / Methylfluorene) - -66.12162) + (P + 1.3707918)) + Phenanthrene,P + Phenanthrene + 1.3707918 - 1*(-66.12162) - 0.1607346/(Methylfluorene*Ti),PySRFunction(X=>P + Phenanthrene + 1.3707918 - 1*(-66.12162) - 0.1607346/(Methylfluorene*Ti)),10
15,16.767872,0.0008648355256836,((P + var26_Dimethylnaphthalene) + (((-0.154459 / Ti) / Methylfluorene) - -68.71269)) + (-1.9352294 + Fluoranthene),Fluoranthene + P + var26_Dimethylnaphthalene - 1.9352294 - 1*(-68.71269) - 0.154459/(Methylfluorene*Ti),PySRFunction(X=>Fluoranthene + P + var26_Dimethylnaphthalene - 1.9352294 - 1*(-68.71269) - 0.154459/(Methylfluorene*Ti)),10
17,16.730762,0.0011078068192544,((((-0.154459 / Ti) / Methylfluorene) - -68.71269) + (((0.10922983 + P) + Cd) - SO_4)) + -0.020316042,Cd + P - SO_4 - 0.020316042 + 0.10922983 - 1*(-68.71269) - 0.154459/(Methylfluorene*Ti),PySRFunction(X=>Cd + P - SO_4 - 0.020316042 + 0.10922983 - 1*(-68.71269) - 0.154459/(Methylfluorene*Ti)),10
19,16.449106,0.0084889658266018,(1.4839118 * ((45.15057 / 0.7283899) + ((-2.5099142 - (-0.017598465 - Fluoranthene)) / ((Octadecane / Coniferylaldehyde) + Hexacosane)))) - Hexacosane,-Hexacosane + 1.4839118*(45.15057/0.7283899 + (-(-Fluoranthene - 0.017598465) - 2.5099142)/(Hexacosane + Octadecane/Coniferylaldehyde)),PySRFunction(X=>-Hexacosane + 1.4839118*(45.15057/0.7283899 + (-(-Fluoranthene - 0.017598465) - 2.5099142)/(Hexacosane + Octadecane/Coniferylaldehyde))),10
3,17.826622,0.78389159163113,P + 65.283936,P + 65.283936,PySRFunction(X=>P + 65.283936),100
5,17.326275,0.0142344112555987,(65.283936 + P) - Propylguaiacol,P - Propylguaiacol + 65.283936,PySRFunction(X=>P - Propylguaiacol + 65.283936),100
7,16.642708,0.0201259864524122,(Cu + (-1.0031166 / Acenaphthylene)) + 71.77226,Cu + 71.77226 - 1.0031166/Acenaphthylene,PySRFunction(X=>Cu + 71.77226 - 1.0031166/Acenaphthylene),100
9,16.605139,0.0011299683853129,((Cu + 72.46386) + (-0.94980806 / Acenaphthylene)) + Acenaphthylene,Acenaphthylene + Cu + 72.46386 - 0.94980806/Acenaphthylene,PySRFunction(X=>Acenaphthylene + Cu + 72.46386 - 0.94980806/Acenaphthylene),100
11,16.354788,0.007595763628379,((72.60379 + Cu) + ((-0.8578757 - Anthracene) / Acenaphthylene)) - SO_4,Cu - SO_4 + 72.60379 + (-Anthracene - 0.8578757)/Acenaphthylene,PySRFunction(X=>Cu - SO_4 + 72.60379 + (-Anthracene - 0.8578757)/Acenaphthylene),100
13,16.3522,7.912682162600368e-05,(((-0.8578757 - Anthracene) / Acenaphthylene) + (72.60379 + (Cu + 1.3244835))) - Sb,Cu - Sb + 1.3244835 + 72.60379 + (-Anthracene - 0.8578757)/Acenaphthylene,PySRFunction(X=>Cu - Sb + 1.3244835 + 72.60379 + (-Anthracene - 0.8578757)/Acenaphthylene),100
