Iteration,RMSE,Complexity,Equation
1,87.35810171579874,1,PySRFunction(X=>-0.788527130000000)
1,82.84113564684945,3,PySRFunction(X=>1.8220208 + 2.0751646)
1,78.77649274155449,4,PySRFunction(X=>0.46453214 - Ti)
1,22.62360397014809,5,PySRFunction(X=>-1*(-25.981298) + 28.398085 + 29.20979)
1,20.534031101241695,9,PySRFunction(X=>2.0153747*Dibenzofuran*Retene - 1*(-0.8115869))
1,19.363709984173735,11,PySRFunction(X=>2.0153747*(Dibenzofuran*Retene + 2.390985) - 1*(-1.6979923))
1,18.077031518936145,13,PySRFunction(X=>Ethylguaiacol*(Cl + Ethylguaiacol + Retene) - 1*(-2.1125376))
1,17.703522671039032,15,PySRFunction(X=>Dibenzofuran*Eugenol/0.42481688 + Fluoranthene - Retene - 1*(-4.892624))
1,17.372423327787022,16,PySRFunction(X=>Eugenol*Fe + Eugenol*(Ethylguaiacol + Retene) - 1.110627)
1,17.260890212741725,18,PySRFunction(X=>(Dibenzofuran*(-0.23875092 + 0.62328315)*(Eugenol - 0.6797642) + Pyrene + 5.7675333)*5.8695145)
2,87.35810171579874,1,PySRFunction(X=>-0.788527130000000)
2,37.4050955022074,3,PySRFunction(X=>0.22113866 + 53.580307)
2,22.62360397014809,5,PySRFunction(X=>-1*(-25.981298) + 28.398085 + 29.20979)
2,21.953586788416914,7,PySRFunction(X=>Ethylguaiacol*Ni + 53.580307)
2,20.534031101241695,9,PySRFunction(X=>2.0153747*Dibenzofuran*Retene - 1*(-0.8115869))
2,18.232092385580035,11,PySRFunction(X=>Ni*(Isoeugenol - 1*(-4.0172596) + 5.424672) + 124.551704)
2,18.077031518936145,13,PySRFunction(X=>Ethylguaiacol*(Cl + Ethylguaiacol + Retene) - 1*(-2.1125376))
2,18.015514937224484,14,PySRFunction(X=>Ni*(Ethylguaiacol + Isoeugenol - 1*(-1.9012234) + 2.9950094) + 53.580307)
2,17.703522671039032,15,PySRFunction(X=>Dibenzofuran*Eugenol/0.42481688 + Fluoranthene - Retene - 1*(-4.892624))
2,17.361924243799468,16,PySRFunction(X=>Eugenol*Fe + Eugenol*(Ethylguaiacol + Retene) - 1.6904285)
2,17.001228141134302,18,PySRFunction(X=>Eugenol*(Dibenzofuran - 2.640042)*(Fluoranthene*0.83394176 + Propylguaiacol)/Fluoranthene)
2,16.998149841313367,19,PySRFunction(X=>Ba*(Guaiacol - (Acenaphthylene - 4.123117) - (Acenaphthylene - 3.968858)) - 1*(-99.08434) + 100.08034)
3,87.35810171579874,1,PySRFunction(X=>-0.788527130000000)
3,22.623603970137133,3,PySRFunction(X=>43.157593 - 1*(-40.431583))
3,21.953586788416914,7,PySRFunction(X=>Ethylguaiacol*Ni + 53.580307)
3,20.534031101241695,9,PySRFunction(X=>2.0153747*Dibenzofuran*Retene - 1*(-0.8115869))
3,18.232092385580035,11,PySRFunction(X=>Ni*(Isoeugenol - 1*(-4.0172596) + 5.424672) + 124.551704)
3,18.077031518936145,13,PySRFunction(X=>Ethylguaiacol*(Cl + Ethylguaiacol + Retene) - 1*(-2.1125376))
3,17.414098741687464,14,PySRFunction(X=>Eugenol*(Eugenol + Retene - 1*4.0517483) + 2.84362 + 6.830378)
3,17.361924243799468,16,PySRFunction(X=>Eugenol*Fe + Eugenol*(Ethylguaiacol + Retene) - 1.6904285)
3,17.001228141134302,18,PySRFunction(X=>Eugenol*(Dibenzofuran - 2.640042)*(Fluoranthene*0.83394176 + Propylguaiacol)/Fluoranthene)
3,16.998149841313367,19,PySRFunction(X=>Ba*(Guaiacol - (Acenaphthylene - 4.123117) - (Acenaphthylene - 3.968858)) - 1*(-99.08434) + 100.08034)
3,16.815229068914935,20,PySRFunction(X=>Dibenzofuran*Eugenol/0.51593333 + Pyrene*11.092176 - Retene - Retene + 75.4635)
4,87.35810171579874,1,PySRFunction(X=>-0.788527130000000)
4,22.623603970137133,3,PySRFunction(X=>43.157593 - 1*(-40.431583))
4,21.953586788416914,7,PySRFunction(X=>Ethylguaiacol*Ni + 53.580307)
4,19.970620805554635,9,PySRFunction(X=>Eugenol*Retene - 1*(-0.20073141) + 49.24193)
4,17.719807117708918,10,PySRFunction(X=>-23.947702*Eugenol - 16.83786 - 16.800505 - 2.3466103)
4,17.414098741687464,14,PySRFunction(X=>Eugenol*(Eugenol + Retene - 1*4.0517483) + 2.84362 + 6.830378)
4,17.361924243799468,16,PySRFunction(X=>Eugenol*Fe + Eugenol*(Ethylguaiacol + Retene) - 1.6904285)
4,17.031517231335823,17,PySRFunction(X=>Dibenzofuran*Eugenol/0.51593333 + 11.092176*Fluoranthene - Retene + 75.4635)
