Iteration,RMSE,Complexity,Equation
1,91.11686751748198,2,PySRFunction(X=>Methoxymethylphenol)
1,83.07528440367761,3,PySRFunction(X=>1.1031678 + 2.550644)
1,76.97518903661708,4,PySRFunction(X=>0.8155742 - Pb)
1,22.62365617154783,6,PySRFunction(X=>Dibenzofuran/3862.7776 + 83.5907)
1,19.020248377405434,11,PySRFunction(X=>Methoxymethylphenol*var1_Methylnaphthalene/0.33816943 + 0.15045178 + 1.9815385)
1,18.069682778606097,12,PySRFunction(X=>Propylguaiacol*(1.8147509*Propylguaiacol + Retene) - 1*(-0.88897645))
1,17.688525605351774,13,PySRFunction(X=>Propylguaiacol*(1.8147509*Propylguaiacol + Retene) - Propylguaiacol)
1,17.661129610299334,15,PySRFunction(X=>Propylguaiacol*(1.8147509*Propylguaiacol + Retene) - Vanillin + 0.8572417)
1,17.61564088580109,18,PySRFunction(X=>Propylguaiacol*(Propylguaiacol*2.6391335 + Retene + 3.405375) - 1*1.1339515 + 0.4138651 + 0.43799263)
2,91.11686751748198,2,PySRFunction(X=>Methoxymethylphenol)
2,58.48419092486302,3,PySRFunction(X=>138.70949 - 1*1.189044)
2,54.45393008136625,4,PySRFunction(X=>PO_4 + 138.70949)
2,22.623603970007895,5,PySRFunction(X=>-67.11881 - 1*(-74.48878) - 1*(-76.21926))
2,21.880747202849815,6,PySRFunction(X=>PO_4 - 1*(-44.333183) - 1*(-44.507698))
2,19.30488620290403,9,PySRFunction(X=>2.1501074*Methoxymethylphenol*Pb - 1*2.1501074)
2,17.75621032716638,11,PySRFunction(X=>Cr*(Propylguaiacol - 1*(-32.079235)) + 140.53041 - 1*(-143.61742))
2,17.688525605351774,13,PySRFunction(X=>Propylguaiacol*(1.8147509*Propylguaiacol + Retene) - Propylguaiacol)
2,17.616631888131845,14,PySRFunction(X=>Propylguaiacol*(Propylguaiacol*2.6391335 + Retene + 3.405375) - 0.45697436)
2,17.55408299177349,16,PySRFunction(X=>Isoeugenol/(-0.13885725) - Propylguaiacol/0.16537024 + Retene*(-3.8073435) + 1.5878237)
2,17.169405309909816,17,PySRFunction(X=>Propylguaiacol*(-2.467652*Benzaanthracene + 3.3259947*Propylguaiacol + Retene) - 1*(-44.436897))
2,17.120460159238473,20,PySRFunction(X=>PO_4*(1.0352203*var3_Methylnonadecane + 8.593938 - 32.566814/Retene) - 1*3.6836326 - 1*3.6565247 + 134.84201)
3,86.78032245997187,1,PySRFunction(X=>-0.190196840000000)
3,22.623603970034125,3,PySRFunction(X=>53.90261 - 1*(-29.686691))
3,21.880747202849815,6,PySRFunction(X=>PO_4 - 1*(-44.333183) - 1*(-44.507698))
3,19.469016556811685,8,PySRFunction(X=>8.593938*PO_4 - 1*0.75097996 + 134.84201)
3,19.30488620290403,9,PySRFunction(X=>2.1501074*Methoxymethylphenol*Pb - 1*2.1501074)
3,18.82220428814342,10,PySRFunction(X=>8.593938*PO_4 - 1*3.6565247 - 0.509165 + 134.84201)
3,17.75621032716638,11,PySRFunction(X=>Cr*(Propylguaiacol - 1*(-32.079235)) + 140.53041 - 1*(-143.61742))
3,17.688525605351774,13,PySRFunction(X=>Propylguaiacol*(1.8147509*Propylguaiacol + Retene) - Propylguaiacol)
3,17.61563655552227,14,PySRFunction(X=>Propylguaiacol*(2.6391335*Propylguaiacol + Retene + 3.405375) - 1*0.27062717)
3,17.31247561494014,16,PySRFunction(X=>PO_4*(var3_Methylnonadecane + 8.593938 - 32.566814/Retene) - 1*3.6565247 + 134.84201)
3,17.169405309909816,17,PySRFunction(X=>Propylguaiacol*(-2.467652*Benzaanthracene + 3.3259947*Propylguaiacol + Retene) - 1*(-44.436897))
3,17.1251022249645,18,PySRFunction(X=>PO_4*(var3_Methylnonadecane + 8.593938 - 32.566814/Retene) - 1*3.6565247 - 1*2.3395422 + 134.84201)
