Iteration,RMSE,Complexity,Equation
1,4.3856291749611245,3,PySRFunction(X=>3.2769327 + 3.2769327)
1,3.1189937849367455,5,PySRFunction(X=>27.829657 - 1*(-27.880047) - 1*(-27.880047))
1,3.053793474510272,6,PySRFunction(X=>1.6797875*PC_2 + 83.5887)
1,2.9803887638770568,16,PySRFunction(X=>(-PC_1 + (2.8070188 + (2.428727 - 1*0.73334175)/0.16681091)/0.28865033)/0.5536613 + 2.428727)
1,2.907994790677465,17,PySRFunction(X=>PC_2 + (-PC_1 + (2.8070188 + (2.428727 - 1*0.6635709)/0.16681091)/0.28865033)/0.5536613)
1,2.907942220344724,19,PySRFunction(X=>PC_2 + (-PC_1 + (2.8070188 + (2.428727 - 1*0.73334175)/0.16681091)/0.28865033)/0.5536613 + 2.428727)
1,2.8613306874744833,20,PySRFunction(X=>PC_2 + PC_3 + (-PC_1 + (2.8070188 + (2.428727 - 1*0.6635709)/0.16681091)/0.28865033)/0.5536613)
2,4.457795211202277,1,PySRFunction(X=>0.310506220000000)
2,3.1217408778409776,3,PySRFunction(X=>1.6797875 + 83.5887)
2,3.0669409348350785,4,PySRFunction(X=>PC_2 - 1*(-82.27808))
2,3.053793474510272,6,PySRFunction(X=>1.6797875*PC_2 + 83.5887)
2,2.9508862045669377,7,PySRFunction(X=>-PC_1 + PC_2 - 1*(-82.27808))
2,2.8948518448491734,9,PySRFunction(X=>1.6797875*(-PC_1 + PC_2) + 83.5887)
2,2.846883326018537,12,PySRFunction(X=>PC_3 + 1.6797875*(-PC_1 + PC_2) + 83.5887)
2,2.8421461472158174,15,PySRFunction(X=>PC_3 + PC_3 + (-PC_1 + PC_2)*1.6797875 + 83.5887)
2,2.8389934352612025,17,PySRFunction(X=>0.45876673*PC_3 + PC_3 + (-PC_1 + PC_2)*1.6797875 + 83.5887)
2,2.8368385523343553,19,PySRFunction(X=>-PC_1 - PC_1 + (PC_2 + PC_3)*1.3946347/0.923699 - 1*(-1.7499517) - 1*(-82.27808))
2,2.8303385065681494,20,PySRFunction(X=>(-PC_1 + PC_2 - 1.9983588*(-1.1239074/0.04129638 + 1.0735191/PC_2))/0.6773598 + 0.31565523)
3,4.457795211202277,1,PySRFunction(X=>0.310506220000000)
3,3.1191123588073264,3,PySRFunction(X=>0.36791664 + 82.872925)
3,3.0650737770348426,4,PySRFunction(X=>PC_2 + 83.59595)
3,3.053793474510272,6,PySRFunction(X=>1.6797875*PC_2 + 83.5887)
3,2.948530024781527,7,PySRFunction(X=>-PC_1 + PC_2 + 83.58918)
3,2.8948518448491734,9,PySRFunction(X=>1.6797875*(-PC_1 + PC_2) + 83.5887)
3,2.8930634736779153,11,PySRFunction(X=>1.7981318*(-PC_1 + PC_2) - 0.19995719 + 83.60708)
3,2.846883326018537,12,PySRFunction(X=>PC_3 + 1.6797875*(-PC_1 + PC_2) + 83.5887)
3,2.8447626366403895,14,PySRFunction(X=>PC_3 + (-PC_1 + PC_2)*1.8302288 - 1*0.040305234 + 83.60708)
3,2.8401025093483687,15,PySRFunction(X=>PC_3 + PC_3 + 1.7981318*(-PC_1 + PC_2) + 83.60708)
3,2.8389934352612025,17,PySRFunction(X=>0.45876673*PC_3 + PC_3 + (-PC_1 + PC_2)*1.6797875 + 83.5887)
3,2.829249592873263,18,PySRFunction(X=>(8.597086 - 0.3676132/PC_2)*9.285242 + (-PC_1 + PC_2)/0.6358749 + 0.6952163)
3,2.82793943630402,20,PySRFunction(X=>(12.871534 - 0.4876569/PC_2)*6.2354503 + (-PC_1 + PC_2)/0.6106366 + 0.17616288 + 0.19989765)
4,4.457795211202277,1,PySRFunction(X=>0.310506220000000)
