Variable,Coefficient
Myc_30907,6.052878905188614
Myl3_75394,4.470506817535339
Cyp1a1_79654,4.218901791043061
Rpl3l_76369,4.038042292790977
Egr1_58083,3.5148882856974315
Hist1h2bc_29206,3.332561668750185
March3_58049,2.5939847969431713
Cacng7_59342,2.263317497506942
Arf1_31811,1.9294244619556362
Igkv16-104_74538,1.4628040799465227
Aldh3a1_60545,1.3879953755228915
Nkain4_74119,0.8407332895920213
Igkv6-15_64030,0.6221764179051085
Ephb6_66860,0.5125800863521868
Slc35f3_61620,0.3202362626369696
Ugt8a_79952,0.22989220420501572
Slurp1_55564,0.1364457719026507
Gm21190_82342,-0.03382763928955288
AC132444.6_82305,-0.1237513299533017
Ky_60676,-0.46834316780022783
Lipo5_56386,-0.8366595573440985
Fam76b_71997,-0.9657901527645865
Myl2_32080,-1.1338467756366886
Syt14_59917,-1.5360762906409553
Hcn2_57591,-1.738430381441343
Rsph3b_31489,-1.8969932214170897
Dydc1_55826,-2.2211030301575683
Tacr1_72530,-2.36008057343583
Mettl14_68520,-3.799533028730857
Asb14_29409,-5.187619529144761
Eef1a2_67152,-6.406925157028481
