complexity,loss,score,equation,sympy_format,lambda_format
1,87.762665,0.0,-1.2073132,-1.20731320000000,PySRFunction(X=>-1.20731320000000)
3,22.623602,0.6778212423970031,42.427464 + 41.16205,41.16205 + 42.427464,PySRFunction(X=>41.16205 + 42.427464)
6,22.318693,0.0045230397235885575,(38.117043 + Fpr_1_30738) - -40.271507,Fpr_1_30738 + 38.117043 - 1*(-40.271507),PySRFunction(X=>Fpr_1_30738 + 38.117043 - 1*(-40.271507))
7,21.561556,0.034512664327817445,Ptpn_1_29137 + (Mt_2_76492 / 0.13093548),Mt_2_76492/0.13093548 + Ptpn_1_29137,PySRFunction(X=>Mt_2_76492/0.13093548 + Ptpn_1_29137)
10,20.473166,0.017265620348461005,1.6030315 + ((Tspan_4_30708 + Cyp_1_b_1_72511) * Myc_66507),Myc_66507*(Cyp_1_b_1_72511 + Tspan_4_30708) + 1.6030315,PySRFunction(X=>Myc_66507*(Cyp_1_b_1_72511 + Tspan_4_30708) + 1.6030315)
11,18.636862,0.09397360563178529,((Mt_2_76492 / 0.13093548) + (Cyp_1_a_1_79654 / 0.6268308)) - -1.7697978,Cyp_1_a_1_79654/0.6268308 + Mt_2_76492/0.13093548 - 1*(-1.7697978),PySRFunction(X=>Cyp_1_a_1_79654/0.6268308 + Mt_2_76492/0.13093548 - 1*(-1.7697978))
12,18.552042,0.004561583588381427,Ptpn_1_29137 + ((Cyp_1_a_1_79654 / 0.6268308) + (Mt_2_76492 / 0.13093548)),Cyp_1_a_1_79654/0.6268308 + Mt_2_76492/0.13093548 + Ptpn_1_29137,PySRFunction(X=>Cyp_1_a_1_79654/0.6268308 + Mt_2_76492/0.13093548 + Ptpn_1_29137)
14,18.39841,0.00415780800994242,((Mt_2_76492 / 0.13093548) + ((Cyp_1_a_1_79654 / 0.6268308) + Rpl_3_l_76369)) - 0.01355407,Cyp_1_a_1_79654/0.6268308 + Mt_2_76492/0.13093548 + Rpl_3_l_76369 - 1*0.01355407,PySRFunction(X=>Cyp_1_a_1_79654/0.6268308 + Mt_2_76492/0.13093548 + Rpl_3_l_76369 - 1*0.01355407)
15,17.22365,0.06598080846508832,((Mt_2_76492 / 0.13093548) + ((Cyp_1_a_1_79654 - Arntl_59197) * AI_661384_31503)) - 0.0066719265,AI_661384_31503*(-Arntl_59197 + Cyp_1_a_1_79654) + Mt_2_76492/0.13093548 - 1*0.0066719265,PySRFunction(X=>AI_661384_31503*(-Arntl_59197 + Cyp_1_a_1_79654) + Mt_2_76492/0.13093548 - 1*0.0066719265)
16,16.516317,0.041934638023576075,((Mt_2_76492 / 0.11212675) + ((Cyp_1_a_1_79654 - Rgs_22_79648) * AI_661384_31503)) - Cldn_15_60727,AI_661384_31503*(Cyp_1_a_1_79654 - Rgs_22_79648) - Cldn_15_60727 + Mt_2_76492/0.11212675,PySRFunction(X=>AI_661384_31503*(Cyp_1_a_1_79654 - Rgs_22_79648) - Cldn_15_60727 + Mt_2_76492/0.11212675)
19,16.414276,0.0020657857895754897,((Mt_2_76492 / 0.13093548) + (((Cyp_1_a_1_79654 - Arntl_59197) * (AI_661384_31503 + 0.95343024)) + 1.1632966)) - 0.003989021,Mt_2_76492/0.13093548 + (AI_661384_31503 + 0.95343024)*(-Arntl_59197 + Cyp_1_a_1_79654) - 1*0.003989021 + 1.1632966,PySRFunction(X=>Mt_2_76492/0.13093548 + (AI_661384_31503 + 0.95343024)*(-Arntl_59197 + Cyp_1_a_1_79654) - 1*0.003989021 + 1.1632966)
