complexity,loss,score,equation,sympy_format,lambda_format
1,85.77422,0.0,0.8523817,0.852381700000000,PySRFunction(X=>0.852381700000000)
2,79.38702,0.07738361632554565,Trappc_6_b_65552,Trappc_6_b_65552,PySRFunction(X=>Trappc_6_b_65552)
3,22.623602,1.2553411811972348,42.427464 + 41.16205,41.16205 + 42.427464,PySRFunction(X=>41.16205 + 42.427464)
4,21.720558,0.04073451227818571,Stab_1_67351 * 13.606094,Stab_1_67351*13.606094,PySRFunction(X=>Stab_1_67351*13.606094)
6,19.740232,0.04780019931048934,(Mt_2_76492 / 0.11212675) - -0.59834,Mt_2_76492/0.11212675 - 1*(-0.59834),PySRFunction(X=>Mt_2_76492/0.11212675 - 1*(-0.59834))
7,19.255547,0.02485961165346523,(Csrnp_1_69505 * Cyp_1_a_1_79654) - -48.262672,Csrnp_1_69505*Cyp_1_a_1_79654 - 1*(-48.262672),PySRFunction(X=>Csrnp_1_69505*Cyp_1_a_1_79654 - 1*(-48.262672))
9,17.596533,0.0450486405330475,((Tspan_4_30708 + Myc_30907) / 0.105135776) - -0.18287642,(Myc_30907 + Tspan_4_30708)/0.105135776 - 1*(-0.18287642),PySRFunction(X=>(Myc_30907 + Tspan_4_30708)/0.105135776 - 1*(-0.18287642))
10,16.802904,0.04615016538893675,2.4375353 + (Csrnp_1_69505 * (Cyp_1_a_1_79654 + Slc_26_a_4_56472)),Csrnp_1_69505*(Cyp_1_a_1_79654 + Slc_26_a_4_56472) + 2.4375353,PySRFunction(X=>Csrnp_1_69505*(Cyp_1_a_1_79654 + Slc_26_a_4_56472) + 2.4375353)
11,16.269146,0.032281298004665546,Kbtbd_7_76521 + (Csrnp_1_69505 * (Cyp_1_a_1_79654 + Slc_26_a_4_56472)),Csrnp_1_69505*(Cyp_1_a_1_79654 + Slc_26_a_4_56472) + Kbtbd_7_76521,PySRFunction(X=>Csrnp_1_69505*(Cyp_1_a_1_79654 + Slc_26_a_4_56472) + Kbtbd_7_76521)
12,14.859896,0.09060438999831291,(Csrnp_1_69505 * ((Cyp_1_a_1_79654 + Cxcl_10_29431) - -9.636239)) + -37.025192,Csrnp_1_69505*(Cxcl_10_29431 + Cyp_1_a_1_79654 - 1*(-9.636239)) - 37.025192,PySRFunction(X=>Csrnp_1_69505*(Cxcl_10_29431 + Cyp_1_a_1_79654 - 1*(-9.636239)) - 37.025192)
14,14.083579,0.02682826592055157,((((Myc_30907 / 0.6465576) + Tspan_4_30708) - Tacr_1_72530) / 0.113464326) - -16.386765,(Myc_30907/0.6465576 - Tacr_1_72530 + Tspan_4_30708)/0.113464326 - 1*(-16.386765),PySRFunction(X=>(Myc_30907/0.6465576 - Tacr_1_72530 + Tspan_4_30708)/0.113464326 - 1*(-16.386765))
15,13.258224,0.060391469634095925,(((Tspan_4_30708 + Myc_30907) * 12.420483) - (Tacr_1_72530 * Il_4_i_1_31821)) - 0.7479334,-Il_4_i_1_31821*Tacr_1_72530 + (Myc_30907 + Tspan_4_30708)*12.420483 - 1*0.7479334,PySRFunction(X=>-Il_4_i_1_31821*Tacr_1_72530 + (Myc_30907 + Tspan_4_30708)*12.420483 - 1*0.7479334)
16,12.632703,0.04832911141942031,((((Mcur_1_30741 - Mettl_14_68520) + Slc_26_a_4_56472) + Cyp_1_a_1_79654) * Csrnp_1_69505) - -0.9147265,Csrnp_1_69505*(Cyp_1_a_1_79654 + Mcur_1_30741 - Mettl_14_68520 + Slc_26_a_4_56472) - 1*(-0.9147265),PySRFunction(X=>Csrnp_1_69505*(Cyp_1_a_1_79654 + Mcur_1_30741 - Mettl_14_68520 + Slc_26_a_4_56472) - 1*(-0.9147265))
18,12.528095,0.004157602741326598,(((((Mcur_1_30741 - Mettl_14_68520) * 1.3292587) + Slc_26_a_4_56472) + Cyp_1_a_1_79654) * Csrnp_1_69505) - 1.0095177,Csrnp_1_69505*(Cyp_1_a_1_79654 + Slc_26_a_4_56472 + (Mcur_1_30741 - Mettl_14_68520)*1.3292587) - 1*1.0095177,PySRFunction(X=>Csrnp_1_69505*(Cyp_1_a_1_79654 + Slc_26_a_4_56472 + (Mcur_1_30741 - Mettl_14_68520)*1.3292587) - 1*1.0095177)
19,12.239607,0.023296553508170052,((((Mcur_1_30741 - Mettl_14_68520) + Slc_26_a_4_56472) + Cyp_1_a_1_79654) * (Csrnp_1_69505 - -0.39252135)) - Mcur_1_30741,-Mcur_1_30741 + (Csrnp_1_69505 - 1*(-0.39252135))*(Cyp_1_a_1_79654 + Mcur_1_30741 - Mettl_14_68520 + Slc_26_a_4_56472),PySRFunction(X=>-Mcur_1_30741 + (Csrnp_1_69505 - 1*(-0.39252135))*(Cyp_1_a_1_79654 + Mcur_1_30741 - Mettl_14_68520 + Slc_26_a_4_56472))
20,11.674494,0.047270706580931354,(((((Mcur_1_30741 - Mettl_14_68520) + Slc_26_a_4_56472) + Cyp_1_a_1_79654) * Csrnp_1_69505) + Arf_1_31811) - Ms_4_a_6_b_55953,Arf_1_31811 + Csrnp_1_69505*(Cyp_1_a_1_79654 + Mcur_1_30741 - Mettl_14_68520 + Slc_26_a_4_56472) - Ms_4_a_6_b_55953,PySRFunction(X=>Arf_1_31811 + Csrnp_1_69505*(Cyp_1_a_1_79654 + Mcur_1_30741 - Mettl_14_68520 + Slc_26_a_4_56472) - Ms_4_a_6_b_55953)
