complexity,loss,score,equation,sympy_format,lambda_format
1,85.635994,0.0,0.9956967,0.995696700000000,PySRFunction(X=>0.995696700000000)
2,79.38702,0.07577080660158982,Trappc_6_b_65552,Trappc_6_b_65552,PySRFunction(X=>Trappc_6_b_65552)
3,22.623602,1.2553411811972348,42.427464 + 41.16205,41.16205 + 42.427464,PySRFunction(X=>41.16205 + 42.427464)
4,19.729239,0.1368919490355129,Mt_2_76492 / 0.11114499,Mt_2_76492/0.11114499,PySRFunction(X=>Mt_2_76492/0.11114499)
6,19.728607,1.601709328111427e-05,(Mt_2_76492 / 0.11114499) + -0.08364345,Mt_2_76492/0.11114499 - 0.08364345,PySRFunction(X=>Mt_2_76492/0.11114499 - 0.08364345)
7,19.172909,0.028571421332349443,(Tspan_4_30708 * Mt_2_76492) - -36.54621,Mt_2_76492*Tspan_4_30708 - 1*(-36.54621),PySRFunction(X=>Mt_2_76492*Tspan_4_30708 - 1*(-36.54621))
9,17.310162,0.05110228258537065,(Csrnp_1_69505 * (Cyp_1_a_1_79654 - -15.582378)) - 40.62686,Csrnp_1_69505*(Cyp_1_a_1_79654 - 1*(-15.582378)) - 1*40.62686,PySRFunction(X=>Csrnp_1_69505*(Cyp_1_a_1_79654 - 1*(-15.582378)) - 1*40.62686)
10,16.676521,0.03729192586177996,((Myc_30907 + Cyp_1_b_1_72511) * Stx_11_69405) - 1.0098705,Stx_11_69405*(Cyp_1_b_1_72511 + Myc_30907) - 1*1.0098705,PySRFunction(X=>Stx_11_69405*(Cyp_1_b_1_72511 + Myc_30907) - 1*1.0098705)
11,15.173671,0.0944400471780553,Arf_1_31811 + (Csrnp_1_69505 * (Cyp_1_a_1_79654 + Slc_26_a_4_56472)),Arf_1_31811 + Csrnp_1_69505*(Cyp_1_a_1_79654 + Slc_26_a_4_56472),PySRFunction(X=>Arf_1_31811 + Csrnp_1_69505*(Cyp_1_a_1_79654 + Slc_26_a_4_56472))
12,14.780293,0.02626701544649136,(((Cxcl_10_29431 / 0.6317407) + Cyp_1_a_1_79654) * Csrnp_1_69505) - 1.715434,Csrnp_1_69505*(Cxcl_10_29431/0.6317407 + Cyp_1_a_1_79654) - 1*1.715434,PySRFunction(X=>Csrnp_1_69505*(Cxcl_10_29431/0.6317407 + Cyp_1_a_1_79654) - 1*1.715434)
14,13.784375,0.03487951754949858,(12.63482 * ((Tspan_4_30708 + Alg_11_64834) - (Asb_14_29409 + -1.4790914))) - -0.38585937,12.63482*(Alg_11_64834 + Tspan_4_30708 - (Asb_14_29409 - 1.4790914)) - 1*(-0.38585937),PySRFunction(X=>12.63482*(Alg_11_64834 + Tspan_4_30708 - (Asb_14_29409 - 1.4790914)) - 1*(-0.38585937))
15,12.855455,0.06976746943167533,(Plscr_4_55764 * (((Myc_30907 + Tspan_4_30708) / 0.5877595) - Tacr_1_72530)) + 1.3732413,Plscr_4_55764*(-Tacr_1_72530 + (Myc_30907 + Tspan_4_30708)/0.5877595) + 1.3732413,PySRFunction(X=>Plscr_4_55764*(-Tacr_1_72530 + (Myc_30907 + Tspan_4_30708)/0.5877595) + 1.3732413)
16,12.584319,0.021316719794462837,((((Tspan_4_30708 + Myc_30907) / 0.5940252) - Tacr_1_72530) * Plscr_4_55764) + Igkv_16104_74538,Igkv_16104_74538 + Plscr_4_55764*(-Tacr_1_72530 + (Myc_30907 + Tspan_4_30708)/0.5940252),PySRFunction(X=>Igkv_16104_74538 + Plscr_4_55764*(-Tacr_1_72530 + (Myc_30907 + Tspan_4_30708)/0.5940252))
18,12.415058,0.0067707121838948186,-0.12305321 + ((Plscr_4_55764 * (((Tspan_4_30708 + Myc_30907) / 0.59643227) - Tacr_1_72530)) + March_3_58049),March_3_58049 + Plscr_4_55764*(-Tacr_1_72530 + (Myc_30907 + Tspan_4_30708)/0.59643227) - 0.12305321,PySRFunction(X=>March_3_58049 + Plscr_4_55764*(-Tacr_1_72530 + (Myc_30907 + Tspan_4_30708)/0.59643227) - 0.12305321)
19,12.239607,0.014232921991664909,((((Mcur_1_30741 - Mettl_14_68520) + Slc_26_a_4_56472) + Cyp_1_a_1_79654) * (Csrnp_1_69505 - -0.39252135)) - Mcur_1_30741,-Mcur_1_30741 + (Csrnp_1_69505 - 1*(-0.39252135))*(Cyp_1_a_1_79654 + Mcur_1_30741 - Mettl_14_68520 + Slc_26_a_4_56472),PySRFunction(X=>-Mcur_1_30741 + (Csrnp_1_69505 - 1*(-0.39252135))*(Cyp_1_a_1_79654 + Mcur_1_30741 - Mettl_14_68520 + Slc_26_a_4_56472))
20,11.674494,0.047270706580931354,(((((Mcur_1_30741 - Mettl_14_68520) + Slc_26_a_4_56472) + Cyp_1_a_1_79654) * Csrnp_1_69505) + Arf_1_31811) - Ms_4_a_6_b_55953,Arf_1_31811 + Csrnp_1_69505*(Cyp_1_a_1_79654 + Mcur_1_30741 - Mettl_14_68520 + Slc_26_a_4_56472) - Ms_4_a_6_b_55953,PySRFunction(X=>Arf_1_31811 + Csrnp_1_69505*(Cyp_1_a_1_79654 + Mcur_1_30741 - Mettl_14_68520 + Slc_26_a_4_56472) - Ms_4_a_6_b_55953)
