chem,equation,parital derivative w/ respect to chem,integrated_derivative,complexity,loss,score
PC_4,((PC_2 / 0.510941) + ((0.5628472 / PC_2) - -83.58234)) - PC_4,-1,-17.79710916507623,14.0,18.750101,0.008824527990239
PC_4,((PC_2 / 0.5033379) + ((0.87604386 / PC_2) - (-83.528625 + PC_4))) - -0.51348114,-1,-17.79710916507623,16.0,18.68012,0.0018696411528231
PC_4,((PC_2 / 0.510941) + ((0.5628472 / PC_2) - -83.58234)) - PC_4,-1,-17.79710916507623,14.0,18.750101,0.008824527990239
PC_4,(((PC_2 + 83.98257) + PC_2) - PC_4) - (-0.8710078 / PC_2),-1,-17.79710916507623,15.0,18.680387,0.0037249891377294
PC_4,((PC_2 / 0.5033379) + ((0.87604386 / PC_2) - (-83.528625 + PC_4))) - -0.51348114,-1,-17.79710916507623,16.0,18.68012,1.4293167916892508e-05
PC_4,((PC_2 / 0.5033379) + ((0.87604386 / PC_2) - (-83.528625 + PC_4))) - (-0.9359993 / PC_4),-1 - 0.9359993/PC_4**2,0.0,19.0,18.511858,0.0030161190137059
PC_4,((PC_2 / 0.510941) + ((0.5628472 / PC_2) - -83.58234)) - PC_4,-1,-17.79710916507623,14.0,18.750101,0.008824527990239
PC_4,(((PC_2 + 83.98257) + PC_2) - PC_4) - (-0.8710078 / PC_2),-1,-17.79710916507623,15.0,18.680387,0.0037249891377294
PC_4,(((0.87604386 / PC_2) - -83.528625) + (PC_2 / 0.5033379)) - (PC_4 / 1.605188),-0.622979987390885,-11.087242843253392,16.0,18.650337,0.0016099342991858
PC_4,(((0.87604386 / PC_2) - -83.528625) + (PC_2 / 0.5033379)) - ((PC_4 + -0.8445013) / 1.605188),-0.622979987390885,-11.087242843253392,18.0,18.643232,0.0001905154233417
PC_4,((PC_2 / 0.5033379) + ((0.87604386 / PC_2) - (-83.528625 + PC_4))) - (-0.9359993 / PC_4),-1 - 0.9359993/PC_4**2,0.0,19.0,18.511858,0.0070716850631652
PC_4,((PC_2 / 0.510941) + ((0.5628472 / PC_2) - -83.58234)) - PC_4,-1,-17.79710916507623,14.0,18.750101,0.008824527990239
PC_4,(((PC_2 + 83.98257) + PC_2) - PC_4) - (-0.8710078 / PC_2),-1,-17.79710916507623,15.0,18.680387,0.0037249891377294
PC_4,(((0.87604386 / PC_2) - -83.528625) + (PC_2 / 0.5033379)) - (PC_4 / 1.605188),-0.622979987390885,-11.087242843253392,16.0,18.650337,0.0016099342991858
PC_4,((5.155266 ^ 2.7017672) - ((-0.80209655 / PC_2) - (PC_2 / 0.50275064))) - (PC_4 * 0.68534416),-0.685344160000000,-12.197144831167467,18.0,18.63825,0.0003241474508898
PC_4,((PC_2 / 0.5033379) + ((0.87604386 / PC_2) - (-83.528625 + PC_4))) - (-0.9359993 / PC_4),-1 - 0.9359993/PC_4**2,0.0,19.0,18.511858,0.0068044210080691
PC_4,(((0.87506753 / PC_2) - -82.95606) + (PC_2 / 0.503142)) - PC_4,-1,-17.79710916507623,14.0,18.711718,0.0108737084334683
