Iteration,RMSE,Complexity,Equation
1,82.35671525793892,2,PySRFunction(X=>Ifit_1_bl_1_54956)
1,22.623603970053363,3,PySRFunction(X=>42.737366 - 1*(-40.851944))
1,22.46669839241134,7,PySRFunction(X=>Cebpd_68861*Timp_1_30249 - 1.309836)
1,22.2492097320283,9,PySRFunction(X=>Cebpd_68861*Timp_1_30249 + 0.83534896/(-0.29643965))
1,22.06083197844569,10,PySRFunction(X=>Mt_2_76492*(Cdkn_2_a_67661 + Hmox_1_55177) - 1*1.126992)
1,21.62849701791999,11,PySRFunction(X=>-Acta_1_74234 + Mt_2_76492*(Cdkn_2_a_67661 + Hmox_1_55177))
1,20.097124921466918,12,PySRFunction(X=>Chil_3_66072*(Cxcl_10_29431 + 1.2610366) + Cyp_1_a_1_29719 - 1*(-1.4302235))
1,19.346802791695026,13,PySRFunction(X=>Atp_6_v_0_d_2_76694*Stx_11_67128/0.8090767 + Cyp_1_a_1_29719*Serpina_3_n_29367)
1,19.0410277034396,15,PySRFunction(X=>Atp_6_v_0_d_2_76694*Stx_11_67128/0.8090767 + Cyp_1_a_1_29719*Serpina_3_n_29367 + 0.8090767)
1,17.792286890224567,16,PySRFunction(X=>Atp_6_v_0_d_2_76694*Stx_11_67128/0.8090767 + Cyp_1_a_1_29719*Serpina_3_n_29367 + Timp_1_30249)
1,17.609420061220984,18,PySRFunction(X=>Atp_6_v_0_d_2_76694*Stx_11_67128/0.99670714 + Cyp_1_a_1_29719*Serpina_3_n_29367 + Lhfpl_2_60768 - 1*(-12.537755))
2,81.09938550418207,2,PySRFunction(X=>Cxcl_10_29431)
2,22.623603970053363,3,PySRFunction(X=>42.737366 - 1*(-40.851944))
2,22.46669839241134,7,PySRFunction(X=>Cebpd_68861*Timp_1_30249 - 1.309836)
2,22.2492097320283,9,PySRFunction(X=>Cebpd_68861*Timp_1_30249 + 0.83534896/(-0.29643965))
2,20.332042969297373,10,PySRFunction(X=>Mt_2_76492*(Cdkn_2_a_67661 + Tgm_1_60333) - 0.05965261)
2,19.909124182072155,12,PySRFunction(X=>Chil_3_66072*(Cxcl_10_29431 + 1.3784034) + Cyp_1_a_1_29719 + 1.3784034)
2,18.901117331989823,13,PySRFunction(X=>Chil_3_66072*(Cxcl_10_29431 + 1.2940315) + Cyp_1_a_1_29719 + Cyp_1_a_1_29719)
2,17.37890431235779,15,PySRFunction(X=>Atp_6_v_0_d_2_76694*Stx_11_67128 + Cyp_1_b_1_72511*Serpina_3_n_29367 - 0.50138354 - 1*(-12.537755))
2,16.09874720067996,17,PySRFunction(X=>Chil_3_66072*(Cxcl_10_29431 + 1.3784034) + (Cyp_1_a_1_29719 - Tacr_1_72530)/0.25311038 - 1*(-0.2787188))
2,15.951420471624504,19,PySRFunction(X=>Chil_3_66072*(Cxcl_10_29431 + 1.1773994) + 1.1773994*(Cyp_1_a_1_29719 - Tacr_1_72530)/0.25311038 - 1*0.46751228)
2,15.331031867240176,20,PySRFunction(X=>Chil_3_66072*(Cxcl_10_29431 - 0.61533785) - (-1)*3.9798675*Egr_1_30209 + (Cyp_1_a_1_29719 - Tacr_1_72530)/0.18834099)
3,81.09938550418207,2,PySRFunction(X=>Cxcl_10_29431)
3,22.623603970053363,3,PySRFunction(X=>42.737366 - 1*(-40.851944))
3,22.46669839241134,7,PySRFunction(X=>Cebpd_68861*Timp_1_30249 - 1.309836)
3,22.190029345376345,9,PySRFunction(X=>Cyp_1_a_1_79654 + Nkain_4_74119 + 38.66901 + 38.66901)
3,19.170425086284723,10,PySRFunction(X=>Mt_2_76492*(Cdkn_2_a_67661 + Tgm_1_60333) - 1*6.833886)
3,19.04478072832152,12,PySRFunction(X=>Cyp_1_a_1_29719 + Sfn_31323*Stx_11_69405/0.74856883 - 1*(-1.0176543))
3,18.901117331989823,13,PySRFunction(X=>Chil_3_66072*(Cxcl_10_29431 + 1.2940315) + Cyp_1_a_1_29719 + Cyp_1_a_1_29719)
3,16.858517700866773,14,PySRFunction(X=>(Csrnp_1_69505*Gdnf_29292 + Cyp_1_a_1_29719)*2.8265362 - 11.602172 - 1*0.64942014)
3,16.391737685123363,16,PySRFunction(X=>Atp_6_v_0_d_2_76694*Stx_11_67128 + Cyp_1_b_1_72511*Serpina_3_n_29367*1.5208867 - Mettl_14_68520)
3,15.931388556279536,17,PySRFunction(X=>Chil_3_66072*(Cxcl_10_29431 + 1.0524696) + (Cyp_1_a_1_29719 - Tacr_1_72530)/0.20889413 - 1*(-0.96850574))
3,15.925693454075315,19,PySRFunction(X=>Chil_3_66072*(Cxcl_10_29431 + 1.0524696) + (Cyp_1_a_1_29719 - Tacr_1_72530)/0.20889413 + 0.46430016 - 1*(-0.96850574))
3,14.835566877427702,20,PySRFunction(X=>Chil_3_66072*Cxcl_10_29431 - (-1)*6.3812613*Egr_1_58083 + (Cyp_1_a_1_29719 - Tacr_1_72530)/0.19295704 - 17.659508)
4,86.14245200827717,1,PySRFunction(X=>0.470699760000000)
4,81.09938550418207,2,PySRFunction(X=>Cxcl_10_29431)
