Iteration,RMSE,Complexity,Equation
1,22.623603969996683,3,PySRFunction(X=>40.17439 + 43.414852)
1,21.14151171718131,12,PySRFunction(X=>Aldh_3_a_1_60545*Hist_1_h_2_bc_29206 - 8.84403*Tacr_1_72530 + 41.018696)
1,20.253183644704098,16,PySRFunction(X=>(0.65421396 + 0.93398327 + 2.8530614)*(Cyp_1_a_1_79654 + Egr_1_58083 + Hist_1_h_2_bc_29206) + 0.29138052)
1,18.884719287127982,17,PySRFunction(X=>Myl_2_32080 + (Cyp_1_a_1_79654 + Egr_1_58083 + Rpl_3_l_76369 - 1*(-2.9908593) - 1*(-2.9953542))/0.23394231)
1,18.50871540630081,18,PySRFunction(X=>Cacng_7_59342/0.09229445 - (Myc_30907*(-1.7658055) - 1*(-1.6180562))*(March_3_58049 - 1*(-2.5100405) - 1*(-2.513644)))
1,18.242109807966834,19,PySRFunction(X=>Cyp_1_a_1_79654*(Myc_30907 - 0.08033145 - 1*(-0.24298026) + 0.87942773) + Egr_1_58083*Egr_1_58083 - 1*(-31.398273))
2,86.2482945014585,1,PySRFunction(X=>0.361011650000000)
2,22.623603969996683,3,PySRFunction(X=>40.17439 + 43.414852)
2,22.416290020517003,8,PySRFunction(X=>-Fam_76_b_71997 - 0.68332547 + 31.011541 + 56.083996)
2,20.192461055299116,11,PySRFunction(X=>Cacng_7_59342*Myc_30907/0.37001052 + 24.554203 + 24.554203)
2,17.613036993121003,13,PySRFunction(X=>Arf_1_31811 + (Cyp_1_a_1_79654 + Egr_1_58083 + Myc_30907)*5.3019776)
2,17.577620063986732,17,PySRFunction(X=>Arf_1_31811 + 4.8968673*(Cyp_1_a_1_79654 + Egr_1_58083 + Myc_30907 + 0.4036755 + 0.8472754))
2,16.67870533335556,18,PySRFunction(X=>Arf_1_31811*Myc_30907 + Cyp_1_a_1_79654*Egr_1_58083 - Mettl_14_68520 - 1*(-2.6068254) - 1*(-33.497665))
2,16.657344067923578,20,PySRFunction(X=>Arf_1_31811*Myc_30907 + Cyp_1_a_1_79654*(Egr_1_58083 - 1*(-0.5077673)) - Mettl_14_68520 + 1.4086646 - 1*(-31.398273))
3,86.14245200827717,1,PySRFunction(X=>0.470699760000000)
3,83.32793879449513,2,PySRFunction(X=>March_3_58049)
3,22.623603969996683,3,PySRFunction(X=>40.17439 + 43.414852)
3,22.35544897856804,4,PySRFunction(X=>Egr_1_58083 + 79.015724)
3,21.162963461122317,9,PySRFunction(X=>Cyp_1_a_1_79654 + Cyp_1_a_1_79654 - 1*(-23.168856) + 47.975105)
3,20.192461055299116,11,PySRFunction(X=>Cacng_7_59342*Myc_30907/0.37001052 + 24.554203 + 24.554203)
3,17.613036993121003,13,PySRFunction(X=>Arf_1_31811 + (Cyp_1_a_1_79654 + Egr_1_58083 + Myc_30907)*5.3019776)
3,16.291936125777884,16,PySRFunction(X=>-Asb_14_29409/0.15864582 + (Cacng_7_59342 + 9.13864)*(Myc_30907 + 4.3899584) - 1*(-2.0665834))
3,14.74362295571173,20,PySRFunction(X=>-Asb_14_29409/0.087681256 + (Cacng_7_59342 + 10.577188)*(Myc_30907 + 5.096229) - 0.12717453 - 1*(-1.4087095) - 1*(-2.3102474))
4,86.14245200827717,1,PySRFunction(X=>0.470699760000000)
4,83.32793879449513,2,PySRFunction(X=>March_3_58049)
4,22.623603969996683,3,PySRFunction(X=>40.17439 + 43.414852)
4,22.35544897856804,4,PySRFunction(X=>Egr_1_58083 + 79.015724)
4,21.969844349472734,7,PySRFunction(X=>-Dydc_1_55826 + Rpl_3_l_76369 + 86.66078)
4,21.162963461122317,9,PySRFunction(X=>Cyp_1_a_1_79654 + Cyp_1_a_1_79654 - 1*(-23.168856) + 47.975105)
4,20.192461055299116,11,PySRFunction(X=>Cacng_7_59342*Myc_30907/0.37001052 + 24.554203 + 24.554203)
4,18.394547612168562,12,PySRFunction(X=>Arf_1_31811 + Cyp_1_a_1_79654*(Myc_30907 + 0.7147469) - 1*(-47.42055))
4,17.613036993121003,13,PySRFunction(X=>Arf_1_31811 + (Cyp_1_a_1_79654 + Egr_1_58083 + Myc_30907)*5.3019776)
4,17.361403774215457,14,PySRFunction(X=>(Cyp_1_a_1_79654 - Mettl_14_68520 + Myc_30907 - 0.7561929)/0.17869891 + 57.676876)
4,16.65861579159245,15,PySRFunction(X=>-Dydc_1_55826 + (Cyp_1_a_1_79654 - Mettl_14_68520 + Myc_30907)/0.17869891 + 57.676876)
4,14.885523680881395,16,PySRFunction(X=>-Asb_14_29409/0.087681256 + (Cacng_7_59342 + 10.577188)*(Myc_30907 + 5.096229) - 1*(-2.3102474))
4,13.952056702997208,17,PySRFunction(X=>-Asb_14_29409*Mettl_14_68520 + Myc_30907*(Cyp_1_a_1_79654 + 6.999784) + 1020.7135/20.88584)
4,13.15781825184247,18,PySRFunction(X=>-Asb_14_29409*Mettl_14_68520 + Myc_30907*(Cyp_1_a_1_79654 + Nkain_4_74119) + 27.349676/0.47469717)
5,86.14245200827717,1,PySRFunction(X=>0.470699760000000)
5,83.32793879449513,2,PySRFunction(X=>March_3_58049)
5,22.623603969996683,3,PySRFunction(X=>40.17439 + 43.414852)
5,22.35544897856804,4,PySRFunction(X=>Egr_1_58083 + 79.015724)
5,21.969844349472734,7,PySRFunction(X=>-Dydc_1_55826 + Rpl_3_l_76369 + 86.66078)
5,21.162963461122317,9,PySRFunction(X=>Cyp_1_a_1_79654 + Cyp_1_a_1_79654 - 1*(-23.168856) + 47.975105)
5,20.192461055299116,11,PySRFunction(X=>Cacng_7_59342*Myc_30907/0.37001052 + 24.554203 + 24.554203)
5,18.394547612168562,12,PySRFunction(X=>Arf_1_31811 + Cyp_1_a_1_79654*(Myc_30907 + 0.7147469) - 1*(-47.42055))
5,17.613036993121003,13,PySRFunction(X=>Arf_1_31811 + (Cyp_1_a_1_79654 + Egr_1_58083 + Myc_30907)*5.3019776)
5,17.361403774215457,14,PySRFunction(X=>(Cyp_1_a_1_79654 - Mettl_14_68520 + Myc_30907 - 0.7561929)/0.17869891 + 57.676876)
5,16.65861579159245,15,PySRFunction(X=>-Dydc_1_55826 + (Cyp_1_a_1_79654 - Mettl_14_68520 + Myc_30907)/0.17869891 + 57.676876)
5,14.885523680881395,16,PySRFunction(X=>-Asb_14_29409/0.087681256 + (Cacng_7_59342 + 10.577188)*(Myc_30907 + 5.096229) - 1*(-2.3102474))
5,13.952056702997208,17,PySRFunction(X=>-Asb_14_29409*Mettl_14_68520 + Myc_30907*(Cyp_1_a_1_79654 + 6.999784) + 1020.7135/20.88584)
5,13.15781825184247,18,PySRFunction(X=>-Asb_14_29409*Mettl_14_68520 + Myc_30907*(Cyp_1_a_1_79654 + Nkain_4_74119) + 27.349676/0.47469717)
5,13.071574418286344,20,PySRFunction(X=>-Mettl_14_68520*(Asb_14_29409 + 0.20449832) + Myc_30907*(Cyp_1_a_1_79654 + Nkain_4_74119) + 27.349676/0.47469717)
6,86.14245200827717,1,PySRFunction(X=>0.470699760000000)
6,83.32793879449513,2,PySRFunction(X=>March_3_58049)
6,22.623603969996683,3,PySRFunction(X=>40.17439 + 43.414852)
6,22.35544897856804,4,PySRFunction(X=>Egr_1_58083 + 79.015724)
6,21.677742909184413,6,PySRFunction(X=>Arf_1_31811*2.4238362 + 69.33815)
6,21.162963461122317,9,PySRFunction(X=>Cyp_1_a_1_79654 + Cyp_1_a_1_79654 - 1*(-23.168856) + 47.975105)
6,16.63302342002685,11,PySRFunction(X=>(-Asb_14_29409 + Myc_30907)/0.08799331 + 1.2920591 + 88.87523)
6,16.538272724387337,13,PySRFunction(X=>(-Asb_14_29409 + Myc_30907)/0.08799331 - 1*0.60266024 + 1.2920591 + 88.87523)
6,16.30775005408888,14,PySRFunction(X=>-Mettl_14_68520 + (-Asb_14_29409 + Myc_30907)/0.08799331 - 0.9007832 + 88.87523)
6,14.885523680881395,16,PySRFunction(X=>-Asb_14_29409/0.087681256 + (Cacng_7_59342 + 10.577188)*(Myc_30907 + 5.096229) - 1*(-2.3102474))
6,13.952056702997208,17,PySRFunction(X=>-Asb_14_29409*Mettl_14_68520 + Myc_30907*(Cyp_1_a_1_79654 + 6.999784) + 1020.7135/20.88584)
6,13.15781825184247,18,PySRFunction(X=>-Asb_14_29409*Mettl_14_68520 + Myc_30907*(Cyp_1_a_1_79654 + Nkain_4_74119) + 27.349676/0.47469717)
6,13.071574418286344,20,PySRFunction(X=>-Mettl_14_68520*(Asb_14_29409 + 0.20449832) + Myc_30907*(Cyp_1_a_1_79654 + Nkain_4_74119) + 27.349676/0.47469717)
7,86.14245200827717,1,PySRFunction(X=>0.470699760000000)
7,83.32793879449513,2,PySRFunction(X=>March_3_58049)
7,22.623603969996683,3,PySRFunction(X=>40.17439 + 43.414852)
7,22.35544897856804,4,PySRFunction(X=>Egr_1_58083 + 79.015724)
7,21.677742909184413,6,PySRFunction(X=>Arf_1_31811*2.4238362 + 69.33815)
7,20.86206013064959,9,PySRFunction(X=>-Asb_14_29409*Mettl_14_68520 + 45.107796 + 54.823845)
7,16.63302342002685,11,PySRFunction(X=>(-Asb_14_29409 + Myc_30907)/0.08799331 + 1.2920591 + 88.87523)
7,16.23512448963358,12,PySRFunction(X=>-Igkv_615_64030 + (-Asb_14_29409 + Myc_30907)/0.08799331 + 88.87523)
7,16.02447059958483,14,PySRFunction(X=>Arf_1_31811 + (-Asb_14_29409 + Myc_30907)/0.083382264 - 1.3816159 + 87.20409)
7,15.677341382190912,15,PySRFunction(X=>Cyp_1_a_1_79654 - Igkv_615_64030 + (-Asb_14_29409 + Myc_30907)/0.08799331 + 88.87523)
7,14.664867195781904,16,PySRFunction(X=>-Asb_14_29409/0.08469235 + (Cacng_7_59342 + 10.44498)*(Myc_30907 + 4.2305646) + 19.26782)
7,13.952056702997208,17,PySRFunction(X=>-Asb_14_29409*Mettl_14_68520 + Myc_30907*(Cyp_1_a_1_79654 + 6.999784) + 1020.7135/20.88584)
