Iteration,RMSE,Complexity,Equation
1,82.55708916566658,3,PySRFunction(X=>2.0475588*2.0475588)
1,34.40058103598608,5,PySRFunction(X=>1/(0.16195442**1.4675429*0.25076437))
1,20.24049214606841,6,PySRFunction(X=>-0.24664511*PC_2 - 1*(-83.58927))
1,20.2181280967261,17,PySRFunction(X=>-0.25023177*PC_2 - 1*(-83.92826) + (-1*6.670508 - 2.221002/4.232222)/((-2.7187438)*PC_4))
2,22.623603969998893,3,PySRFunction(X=>30.301313 + 53.287926)
2,20.24049214606841,6,PySRFunction(X=>-0.24664511*PC_2 - 1*(-83.58927))
2,20.235626936634933,13,PySRFunction(X=>(PC_2 - 1.4163505/PC_4)*(-0.24664511) + 0.32161984 - 1*(-83.58927))
2,20.016546194183082,14,PySRFunction(X=>-23.63637*PC_2/95.83352 - 1*(-84.14801) + PC_4/PC_1)
2,19.987947792330676,16,PySRFunction(X=>-23.63637*PC_2/95.83352 - 1*(-84.14801) + PC_4/(0.7945317*PC_1))
2,19.970344929667295,18,PySRFunction(X=>-23.63637*PC_2/95.83352 - (-84.14801 + 0.6539376) + PC_4/(0.7945317*PC_1))
2,19.948602846076223,19,PySRFunction(X=>(83.597084 - (-38.69469)*28.588068*PC_2*(PC_1 + 522.66296))/((-3100.4014)*522.66296) + 83.597084)
2,19.948601756291254,20,PySRFunction(X=>(-(-38.69469)*28.588068*PC_2*(PC_1 + 522.66296) + PC_4)/((-3100.4014)*522.66296) + 83.597084)
3,22.623603969998893,3,PySRFunction(X=>30.301313 + 53.287926)
3,20.24049214606841,6,PySRFunction(X=>-0.24664511*PC_2 - 1*(-83.58927))
3,20.07667971720035,12,PySRFunction(X=>-0.28495628*PC_2 - 1*(-83.58927) + PC_4/PC_1)
3,20.06469402451532,13,PySRFunction(X=>-0.28495628*(PC_2 - (-0.32023674)*PC_4) - 0.24664535 - 1*(-83.58927))
3,19.994855707796226,14,PySRFunction(X=>(PC_2 + PC_2 + PC_4)*(-0.12330415) + 0.023713663 - 1*(-83.573395))
3,19.987947792330676,16,PySRFunction(X=>-23.63637*PC_2/95.83352 - 1*(-84.14801) + PC_4/(0.7945317*PC_1))
3,19.887221269221918,18,PySRFunction(X=>PC_2/PC_3 - 16.405945*(PC_2/66.52735 + 0.9344456) - 0.7683921 - 1*(-101.803185))
3,19.789470001472306,20,PySRFunction(X=>PC_2/PC_3 - 16.405945*(PC_2/66.52735 + 0.9344456) - 2.7467508 + 0.013312481 - 1*(-101.803185))
4,22.623603969998893,3,PySRFunction(X=>30.301313 + 53.287926)
4,20.24049214606841,6,PySRFunction(X=>-0.24664511*PC_2 - 1*(-83.58927))
4,20.07667971720035,12,PySRFunction(X=>-0.28495628*PC_2 - 1*(-83.58927) + PC_4/PC_1)
4,20.00815557232579,13,PySRFunction(X=>(2.4533222*PC_2 + PC_4)*(-0.09475858) - 4.670161 - 1*(-88.08568))
4,19.994855707796226,14,PySRFunction(X=>(PC_2 + PC_2 + PC_4)*(-0.12330415) + 0.023713663 - 1*(-83.573395))
4,19.122454321112613,16,PySRFunction(X=>PC_2/(-3.8585887) - (-1)*3.8585887*PC_2/PC_3 + 19.709362 + 64.96405)
4,19.115443847903745,18,PySRFunction(X=>PC_2/(-3.8585887) - (-1)*3.8585887*PC_2/PC_3 - 0.5884239 + 19.709362 + 64.96405)
4,19.068683216225352,20,PySRFunction(X=>PC_2/(-4.1943417) - 1*0.3614519 + 19.715376 + 64.97088 - (-1)*4.5594473*(PC_2 - 1*1.0100739)/PC_3)
5,22.623603969998893,3,PySRFunction(X=>30.301313 + 53.287926)
5,20.24049214606841,6,PySRFunction(X=>-0.24664511*PC_2 - 1*(-83.58927))
5,20.238987471715397,11,PySRFunction(X=>-0.23438218*PC_2 - 0.0017861631*PC_4 - 1*(-83.58927))
5,20.0040258816577,12,PySRFunction(X=>-0.23438218*PC_2 - 1*(-83.58927) + PC_4/PC_1)
5,19.981758596938008,14,PySRFunction(X=>-0.23438218*PC_2 - 0.0017861631*PC_3*PC_4 - 1*(-83.58927))
5,19.122454321112613,16,PySRFunction(X=>PC_2/(-3.8585887) - (-1)*3.8585887*PC_2/PC_3 + 19.709362 + 64.96405)
5,19.071997835833727,18,PySRFunction(X=>PC_2*(-0.2381061) + PC_2/(0.22108528*PC_3) - 1*(-0.3603875) + 2.234743 - 1*(-81.65416))
5,19.068683216225352,20,PySRFunction(X=>PC_2/(-4.1943417) - 1*0.3614519 + 19.715376 + 64.97088 - (-1)*4.5594473*(PC_2 - 1*1.0100739)/PC_3)
6,22.623603969998893,3,PySRFunction(X=>30.301313 + 53.287926)
6,20.24049214606841,6,PySRFunction(X=>-0.24664511*PC_2 - 1*(-83.58927))
6,20.238987471715397,11,PySRFunction(X=>-0.23438218*PC_2 - 0.0017861631*PC_4 - 1*(-83.58927))
6,20.0040258816577,12,PySRFunction(X=>-0.23438218*PC_2 - 1*(-83.58927) + PC_4/PC_1)
6,19.822491979246884,13,PySRFunction(X=>PC_2*(PC_2 + 266.88593)/(-1082.1044) - 1*(-1.9561565) + 83.61343)
6,19.791460284553956,14,PySRFunction(X=>PC_2*(-0.2381061) + PC_2/PC_3 + 1.9798874 - 1*(-81.65416))
6,19.081884820609623,16,PySRFunction(X=>PC_2*(-0.2381061) + PC_2/(0.22108528*PC_3) + 1.9798874 - 1*(-81.65416))
6,19.071997835833727,18,PySRFunction(X=>PC_2*(-0.2381061) + PC_2/(0.22108528*PC_3) - 1*(-0.3603875) + 2.234743 - 1*(-81.65416))
6,19.068683216225352,20,PySRFunction(X=>PC_2/(-4.1943417) - 1*0.3614519 + 19.715376 + 64.97088 - (-1)*4.5594473*(PC_2 - 1*1.0100739)/PC_3)
7,22.623603969998893,3,PySRFunction(X=>30.301313 + 53.287926)
7,20.24049214606841,6,PySRFunction(X=>-0.24664511*PC_2 - 1*(-83.58927))
7,20.238987471715397,11,PySRFunction(X=>-0.23438218*PC_2 - 0.0017861631*PC_4 - 1*(-83.58927))
7,20.0040258816577,12,PySRFunction(X=>-0.23438218*PC_2 - 1*(-83.58927) + PC_4/PC_1)
7,19.7940883648286,13,PySRFunction(X=>PC_2*(PC_2 + 287.95245)/(-1076.0133) + 2.237221 + 82.05384)
7,19.791460284553956,14,PySRFunction(X=>PC_2*(-0.2381061) + PC_2/PC_3 + 1.9798874 - 1*(-81.65416))
7,19.76724690637351,15,PySRFunction(X=>PC_2*(PC_2 + 301.7647)/(-1070.2257) - 0.25104177 + 2.4639919 + 82.943756)
7,19.081884820609623,16,PySRFunction(X=>PC_2*(-0.2381061) + PC_2/(0.22108528*PC_3) + 1.9798874 - 1*(-81.65416))
7,19.071997835833727,18,PySRFunction(X=>PC_2*(-0.2381061) + PC_2/(0.22108528*PC_3) - 1*(-0.3603875) + 2.234743 - 1*(-81.65416))
7,19.068683216225352,20,PySRFunction(X=>PC_2/(-4.1943417) - 1*0.3614519 + 19.715376 + 64.97088 - (-1)*4.5594473*(PC_2 - 1*1.0100739)/PC_3)
8,86.29703246266526,1,PySRFunction(X=>0.310506220000000)
8,22.623603969998893,3,PySRFunction(X=>30.301313 + 53.287926)
8,20.24049214606841,6,PySRFunction(X=>-0.24664511*PC_2 - 1*(-83.58927))
8,20.238987471715397,11,PySRFunction(X=>-0.23438218*PC_2 - 0.0017861631*PC_4 - 1*(-83.58927))
8,20.0040258816577,12,PySRFunction(X=>-0.23438218*PC_2 - 1*(-83.58927) + PC_4/PC_1)
